@relation automobile

@attribute Normalized-losses numeric
@attribute Curb-weight numeric
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,2912,mpfi,-2
103,2935,mpfi,-2
103,3045,mpfi,-2
65,2480,idi,-1
65,2414,mpfi,-1
93,3770,idi,-1
90,3131,mpfi,-1
93,3750,idi,-1
65,2326,mpfi,-1
74,3157,mpfi,-1
110,2535,2bbl,-1
93,3515,idi,-1
74,2535,2bbl,-1
95,3049,mpfi,-1
95,3217,idi,-1
95,3012,mpfi,-1
65,2458,mpfi,-1
137,2403,spdi,-1
74,3034,mpfi,-1
74,3042,mpfi,-1
91,2094,2bbl,0
91,2081,2bbl,0
161,3197,idi,0
161,3252,idi,0
91,2122,2bbl,0
78,2024,1bbl,0
128,3095,mpfi,0
188,2710,mpfi,0
102,2145,2bbl,0
81,1909,2bbl,0
81,2290,2bbl,0
91,2109,2bbl,0
161,3075,mpfi,0
110,2010,1bbl,0
188,2765,mpfi,0
115,2410,2bbl,0
102,2190,2bbl,0
85,2650,mpfi,0
102,2510,mpfi,0
161,3130,mpfi,0
93,3495,idi,0
161,3252,idi,0
85,2465,mpfi,0
89,2290,2bbl,0
115,2425,2bbl,0
108,3060,mpfi,0
91,2140,2bbl,0
91,2275,idi,0
85,2372,1bbl,0
106,2302,2bbl,0
106,2289,1bbl,0
161,3075,mpfi,0
108,3296,mpfi,0
102,2385,2bbl,0
102,2340,mpfi,0
85,2420,2bbl,0
89,2455,mpfi,0
106,2236,1bbl,0
115,2410,2bbl,0
106,2324,2bbl,0
145,4066,mpfi,0
192,2395,mpfi,0
85,2304,1bbl,0
87,2040,2bbl,1
154,1967,2bbl,1
128,1889,2bbl,1
103,2024,2bbl,1
104,1900,2bbl,1
113,1950,2bbl,1
154,1989,2bbl,1
125,2405,2bbl,1
74,2015,2bbl,1
158,2844,mpfi,1
118,2128,mpfi,1
168,2169,2bbl,1
168,2300,mpfi,1
129,2385,2bbl,1
125,2365,2bbl,1
87,1985,2bbl,1
129,2385,2bbl,1
104,1890,2bbl,1
128,2028,2bbl,1
104,1905,2bbl,1
119,2128,spdi,1
101,1956,1bbl,1
168,2204,2bbl,1
103,2037,2bbl,1
168,2265,mpfi,1
128,1951,2bbl,1
128,1918,2bbl,1
113,1945,2bbl,1
158,3086,mpfi,1
101,1940,1bbl,1
118,1876,2bbl,1
119,1918,2bbl,1
128,2017,idi,1
148,1967,2bbl,1
148,1989,2bbl,1
231,3139,mpfi,1
107,2293,2bbl,1
118,1876,2bbl,1
148,1989,2bbl,1
125,2403,spdi,1
94,2319,idi,2
94,2275,mpfi,2
94,2264,idi,2
122,2261,idi,2
164,2824,mpfi,2
161,2004,2bbl,2
94,2212,mpfi,2
137,1713,1bbl,2
161,1944,2bbl,2
122,2209,mpfi,2
134,2975,mpfi,2
94,2300,mpfi,2
104,2695,mpfi,2
137,1819,1bbl,2
134,2679,mpfi,2
134,2551,mpfi,2
104,2847,mpfi,2
83,2050,2bbl,2
161,1918,2bbl,2
121,1488,2bbl,2
168,2008,2bbl,2
83,2240,2bbl,2
164,2337,mpfi,2
134,2536,mpfi,2
134,2540,mpfi,2
83,2120,2bbl,2
153,2328,2bbl,3
145,2811,mfi,3
153,2370,spdi,3
150,2658,mpfi,3
194,3071,mpfi,3
142,3685,mpfi,3
256,2221,mpfi,3
186,2778,mpfi,3
194,3139,mpfi,3
197,2976,mpfi,3
197,3016,mpfi,3
