@relation automobile

@attribute Length numeric
@attribute Curb-weight numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
188.8,2935,-2
188.8,3045,-2
175.6,2414,-1
175.6,2458,-1
190.9,3515,-1
174.6,2535,-1
188.8,3012,-1
188.8,3034,-1
188.8,3042,-1
188.8,2952,-1
172.4,2403,-1
175.6,2414,-1
175.6,2326,-1
175.6,2480,-1
190.9,3750,-1
188.8,3049,-1
187.8,3131,-1
188.8,3062,-1
202.6,3770,-1
188.8,3157,-1
177.8,2410,0
172,2510,0
186.7,3252,0
181.7,3095,0
186.7,3252,0
175,2670,0
176.8,2710,0
177.8,2425,0
172,2190,0
186.7,3075,0
173.6,2650,0
166.3,2275,0
176.8,2395,0
186.7,3197,0
173.5,2455,0
199.6,4066,0
169.7,3110,0
173.6,2420,0
173.4,2302,0
175.4,2372,0
175.4,2465,0
176.8,2765,0
177.8,2410,0
166.3,2094,0
172,2145,0
186.7,3020,0
187.5,3495,0
184.6,3296,0
173.4,2324,0
169.7,2280,0
166.3,2081,0
186.7,3130,0
186.7,3075,0
163.4,2010,0
166.3,2109,0
172,2340,0
166.3,2275,0
167.5,2289,0
173.5,2290,0
166.3,2122,0
167.5,2236,0
158.8,1909,0
165.3,1971,1
157.3,1876,1
157.3,1918,1
170.2,2037,1
172.4,2405,1
168.7,2300,1
157.3,1967,1
158.7,1985,1
165.3,2017,1
167.3,1989,1
177.8,2385,1
192.7,2844,1
178.5,3139,1
192.7,3086,1
168.7,2204,1
157.3,2145,1
168.7,2265,1
165.3,1918,1
169.1,2293,1
150,1940,1
167.3,2191,1
150,1956,1
157.3,1989,1
177.8,2385,1
150,1837,1
159.1,1900,1
155.9,1874,1
170.2,2024,1
168.7,2169,1
172.4,2365,1
165.3,1951,1
157.3,1989,1
166.8,1950,1
159.1,1890,1
172.4,2403,1
157.3,1876,1
165.3,1889,1
157.3,1967,1
157.3,2128,1
165.3,1938,1
166.8,1945,1
171.7,2264,2
176.2,2975,2
171.7,2300,2
171.7,2275,2
176.2,2714,2
176.2,2551,2
141.1,1488,2
176.6,2337,2
176.2,2536,2
156.9,2050,2
186.6,2847,2
171.7,2261,2
176.2,2540,2
157.3,2240,2
176.6,2824,2
144.6,1713,2
176.2,2679,2
157.3,1944,2
157.3,1918,2
162.4,2008,2
186.6,2758,2
186.6,2695,2
176.8,2395,2
171.7,2319,2
157.3,2004,2
171.7,2212,2
170.7,3071,3
183.5,3016,3
180.3,3685,3
186.6,2808,3
173.2,2811,3
170.7,3139,3
173,2328,3
168.9,2778,3
186.6,2658,3
165.7,2221,3
186.6,2707,3
183.5,2976,3
