@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
73,153,143,172,bus
62,122,127,112,van
79,174,154,206,bus
77,140,142,158,saab
86,153,156,200,van
104,205,151,202,opel
103,209,163,212,opel
83,172,134,152,saab
84,171,138,161,bus
100,197,158,234,saab
87,157,161,186,van
105,201,148,201,opel
82,146,140,137,van
70,147,143,153,bus
104,197,147,198,saab
107,222,174,199,opel
64,136,136,127,van
74,151,136,140,saab
90,177,131,145,opel
104,219,172,217,saab
71,153,149,191,bus
74,157,128,123,saab
58,122,140,150,van
68,147,143,180,bus
57,114,135,145,van
101,222,180,213,opel
66,131,127,115,van
53,116,121,127,saab
54,129,127,140,saab
88,173,151,205,saab
103,200,147,200,opel
66,132,127,142,saab
72,158,133,127,bus
91,151,148,171,van
78,147,152,199,van
77,154,145,172,opel
100,250,162,262,bus
109,217,162,206,opel
83,176,154,222,saab
64,133,141,159,van
78,140,123,129,opel
108,216,172,187,opel
72,133,123,125,saab
70,149,145,186,bus
69,135,126,128,opel
70,150,145,172,bus
64,135,144,155,van
75,154,147,192,bus
74,162,133,130,opel
71,145,141,171,bus
66,152,133,163,opel
71,150,143,173,bus
89,186,145,182,bus
103,221,177,218,opel
109,220,174,214,saab
71,157,134,125,saab
76,137,137,124,van
61,150,144,172,bus
105,207,157,168,saab
70,152,143,168,bus
66,128,129,112,van
105,205,169,216,opel
104,220,167,214,saab
59,132,137,157,van
66,123,144,160,van
71,144,141,172,bus
104,191,148,169,saab
66,142,137,164,saab
77,139,139,123,van
70,167,148,171,bus
103,206,155,215,saab
98,225,165,231,bus
101,213,168,221,saab
73,143,148,176,van
55,132,139,158,van
98,218,156,213,bus
92,188,148,159,opel
70,148,134,143,bus
105,201,155,162,opel
93,189,161,240,opel
63,122,130,144,opel
72,166,131,138,bus
96,189,143,166,opel
72,137,144,171,van
