@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
62,19,152,van
68,18,144,van
66,19,150,van
61,19,152,van
59,17,139,van
61,17,127,van
126,19,156,van
69,18,148,van
64,18,144,van
63,19,143,van
55,18,138,van
60,19,155,van
55,17,128,van
65,19,157,van
56,20,167,van
56,17,137,van
59,20,160,van
58,20,153,van
56,17,135,van
56,20,155,van
58,17,128,van
70,20,155,van
68,19,148,van
57,17,128,van
57,19,149,van
54,20,162,van
59,17,139,van
52,18,139,van
66,19,144,van
56,18,144,van
58,19,155,van
58,17,140,van
62,18,137,van
51,18,139,van
58,19,151,van
57,20,170,van
58,19,145,van
53,17,129,van
54,17,127,van
68,18,142,van
59,18,139,van
55,17,128,van
60,18,130,van
62,18,127,van
64,18,143,van
62,19,144,van
48,18,141,van
63,20,160,van
63,20,157,van
63,18,146,van
56,20,155,van
68,18,147,van
54,20,163,van
55,19,150,van
67,20,149,van
62,18,150,van
65,19,141,van
49,18,145,van
62,18,142,van
67,20,157,van
53,20,165,van
66,19,147,van
65,19,145,van
61,19,145,van
54,17,126,van
58,18,146,van
60,18,141,van
63,19,150,van
105,18,145,van
138,19,155,van
48,18,139,van
55,17,122,van
66,20,155,van
64,20,149,van
56,20,162,van
60,18,134,van
58,18,138,van
72,20,159,van
64,18,129,van
57,18,136,van
64,19,151,van
64,19,139,van
49,18,142,van
59,17,137,van
59,18,131,van
55,20,161,van
63,19,147,van
66,20,159,van
64,19,148,van
60,17,134,van
52,18,144,van
53,18,137,van
65,19,156,van
53,18,139,van
55,18,146,van
56,20,164,van
58,20,163,van
58,17,125,van
59,18,142,van
60,20,159,van
62,17,132,van
52,17,129,van
58,20,160,van
66,20,158,van
54,20,151,van
58,19,144,van
57,17,125,van
60,18,135,van
62,20,156,van
56,20,156,van
64,20,161,van
62,18,134,van
64,18,145,van
52,18,140,van
102,20,160,van
66,18,139,van
56,18,145,van
59,17,135,van
55,20,158,van
59,18,129,van
59,18,133,van
52,20,160,van
57,17,144,van
64,19,148,van
64,20,163,van
63,20,165,van
55,17,134,van
63,18,148,van
64,20,163,van
68,19,137,van
53,18,140,van
57,19,143,van
66,19,145,van
63,19,140,van
55,18,135,van
69,18,136,van
64,20,160,van
66,18,140,van
51,18,141,van
66,19,147,van
60,19,156,van
52,18,135,van
64,18,143,van
58,20,157,van
59,17,125,van
64,20,167,van
54,19,153,van
54,17,121,van
64,18,145,van
51,18,144,van
67,20,150,van
65,18,146,van
63,19,148,van
48,19,140,van
59,20,158,van
64,18,142,van
56,17,129,van
64,18,145,van
56,18,143,van
54,18,132,van
67,19,147,van
55,20,160,van
64,20,157,van
59,18,130,van
68,20,156,van
50,18,141,van
61,19,157,van
64,18,141,van
54,17,132,van
64,19,153,van
61,18,140,van
133,20,163,van
67,19,149,van
68,19,139,van
56,18,144,van
56,17,130,van
63,18,134,van
59,18,130,van
61,18,130,van
62,19,139,saab
54,19,131,saab
68,24,166,saab
61,22,149,saab
67,19,129,saab
66,24,164,saab
58,18,134,saab
59,19,143,saab
56,18,123,saab
67,25,177,saab
65,24,168,saab
65,23,164,saab
66,22,157,saab
69,25,169,saab
56,18,135,saab
56,20,148,saab
56,19,140,saab
59,19,129,saab
60,20,148,saab
66,21,151,saab
61,24,173,saab
60,22,162,saab
66,22,143,saab
67,22,158,saab
63,22,144,saab
63,21,154,saab
61,24,168,saab
59,21,140,saab
57,24,162,saab
60,23,147,saab
56,24,159,saab
59,20,148,saab
64,20,153,saab
56,18,141,saab
64,23,152,saab
62,22,146,saab
59,24,156,saab
63,21,132,saab
56,19,149,saab
60,22,161,saab
54,24,162,saab
68,24,164,saab
60,21,134,saab
64,23,163,saab
62,21,132,saab
63,25,168,saab
67,23,162,saab
58,18,130,saab
59,24,163,saab
56,19,126,saab
60,21,134,saab
62,24,170,saab
62,19,133,saab
64,24,172,saab
54,24,171,saab
64,23,150,saab
56,25,167,saab
57,17,123,saab
59,23,158,saab
53,17,118,saab
60,22,160,saab
62,20,139,saab
59,20,131,saab
57,19,128,saab
55,24,171,saab
64,20,125,saab
66,23,158,saab
59,24,162,saab
64,25,166,saab
53,18,126,saab
63,23,159,saab
55,18,125,saab
58,19,137,saab
60,23,162,saab
70,24,168,saab
58,19,136,saab
60,19,128,saab
58,24,159,saab
60,19,131,saab
68,25,170,saab
60,24,162,saab
63,25,172,saab
64,20,138,saab
57,17,125,saab
67,25,173,saab
62,19,129,saab
57,24,168,saab
61,23,167,saab
55,18,127,saab
65,22,156,saab
59,22,138,saab
56,24,163,saab
53,18,127,saab
64,25,168,saab
55,19,132,saab
57,17,127,saab
68,25,172,saab
62,24,165,saab
64,22,150,saab
67,24,165,saab
65,20,136,saab
61,19,138,saab
60,24,169,saab
58,18,124,saab
54,19,132,saab
64,24,171,saab
65,23,152,saab
60,24,156,saab
61,20,150,saab
68,24,169,saab
60,21,155,saab
56,19,134,saab
64,20,134,saab
55,24,168,saab
60,21,131,saab
63,25,175,saab
62,22,162,saab
60,21,153,saab
61,24,159,saab
66,22,148,saab
65,22,160,saab
63,20,134,saab
61,24,157,saab
58,18,142,saab
59,18,133,saab
57,18,129,saab
65,24,163,saab
65,25,167,saab
64,20,147,saab
58,19,136,saab
64,24,158,saab
68,24,173,saab
62,21,143,saab
54,19,146,saab
58,21,139,saab
58,17,121,saab
67,23,167,saab
53,18,126,saab
62,23,155,saab
60,20,149,saab
61,23,150,saab
73,25,174,saab
69,24,168,saab
56,24,162,saab
61,24,153,saab
66,22,144,saab
66,24,167,saab
61,21,158,saab
62,23,151,saab
62,24,165,saab
59,24,163,saab
66,23,149,saab
59,23,154,saab
66,19,133,saab
64,20,151,saab
61,20,134,saab
57,18,125,saab
60,19,128,saab
59,19,143,saab
62,25,163,saab
66,24,173,saab
51,19,130,saab
53,19,131,saab
60,20,131,saab
54,18,127,saab
65,24,167,saab
55,19,130,saab
66,24,169,saab
71,24,171,saab
68,20,134,saab
63,18,128,saab
61,20,154,saab
58,20,132,saab
60,20,133,saab
56,18,136,saab
53,18,127,saab
63,25,168,saab
69,25,170,saab
58,21,133,saab
59,20,131,saab
69,22,156,saab
59,19,144,saab
63,21,155,saab
62,18,125,saab
64,25,168,saab
71,25,172,saab
57,25,174,saab
61,21,144,saab
59,20,152,saab
55,19,128,saab
61,23,149,saab
63,22,144,saab
64,21,135,saab
66,23,165,saab
57,17,119,saab
51,28,170,bus
51,29,174,bus
69,19,144,bus
68,19,148,bus
54,19,144,bus
74,20,149,bus
73,20,134,bus
66,19,129,bus
69,21,139,bus
64,19,145,bus
68,19,137,bus
61,19,149,bus
66,19,136,bus
54,19,147,bus
61,21,139,bus
68,20,136,bus
71,20,150,bus
53,19,141,bus
