@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
19,147,van
17,128,van
18,145,van
19,150,van
18,150,van
18,140,van
20,165,van
19,141,van
20,170,van
19,153,van
17,125,van
18,131,van
18,141,van
17,135,van
19,156,van
20,155,van
18,136,van
20,157,van
17,121,van
19,152,van
17,134,van
20,155,van
17,125,van
17,128,van
17,129,van
17,139,van
18,138,van
18,137,van
18,147,van
18,146,van
18,134,van
17,124,van
18,148,van
17,129,van
18,148,van
17,134,van
17,144,van
20,158,van
20,160,van
18,142,van
18,142,van
18,141,van
19,137,van
17,128,van
17,122,van
20,157,van
19,156,van
18,137,van
19,155,van
20,160,van
20,159,van
18,141,van
19,147,van
18,146,van
17,127,van
18,144,van
18,130,van
19,152,van
19,151,van
20,157,van
20,156,van
19,144,van
18,145,van
18,139,van
17,125,van
20,160,van
20,156,van
18,144,van
19,145,van
17,140,van
19,157,van
20,159,van
17,132,van
19,140,van
18,142,van
18,146,van
20,164,van
19,147,van
18,132,van
20,162,van
18,146,van
19,145,van
20,157,van
19,149,van
19,151,van
19,139,van
18,144,van
20,158,van
18,139,van
20,155,van
20,160,van
17,132,van
18,144,van
18,144,van
19,156,van
17,129,van
20,161,van
20,160,van
19,140,van
19,147,van
19,155,van
18,140,van
20,158,van
18,135,van
19,149,van
18,130,van
18,142,van
19,145,van
18,141,van
19,143,van
20,149,van
20,160,van
17,128,van
17,130,van
18,127,van
18,139,van
20,160,van
20,158,van
18,139,van
18,130,van
19,143,van
20,158,van
20,163,van
18,129,van
18,144,van
18,145,van
19,145,van
18,143,van
18,145,van
20,155,van
17,137,van
20,149,van
20,167,van
19,155,van
19,148,van
18,129,van
17,126,van
18,142,van
19,148,van
18,140,van
20,163,van
18,145,van
20,160,van
20,153,van
20,165,van
18,135,van
18,148,van
18,139,van
20,167,van
19,148,van
18,142,van
19,157,van
20,157,van
18,143,van
18,136,van
20,167,van
19,149,van
18,142,van
19,148,van
18,143,van
18,137,van
19,149,van
18,144,van
20,151,van
19,144,van
18,143,van
17,128,van
19,153,van
19,139,van
20,162,van
20,158,van
19,148,van
18,138,van
18,141,van
17,135,van
20,156,van
20,163,van
17,127,van
17,132,van
21,133,saab
23,149,saab
24,162,saab
19,138,saab
18,124,saab
19,131,saab
23,167,saab
20,138,saab
21,131,saab
23,164,saab
24,171,saab
24,170,saab
25,172,saab
25,169,saab
21,143,saab
24,171,saab
25,175,saab
22,138,saab
25,174,saab
19,129,saab
23,151,saab
22,143,saab
21,134,saab
22,144,saab
17,123,saab
21,132,saab
23,159,saab
18,127,saab
19,128,saab
22,162,saab
20,150,saab
20,139,saab
25,173,saab
22,156,saab
17,121,saab
19,129,saab
19,139,saab
19,143,saab
23,150,saab
24,166,saab
24,163,saab
24,164,saab
19,134,saab
24,163,saab
24,157,saab
19,132,saab
18,126,saab
23,152,saab
20,152,saab
18,126,saab
18,142,saab
24,168,saab
20,134,saab
22,146,saab
20,131,saab
19,143,saab
25,167,saab
18,135,saab
24,173,saab
24,171,saab
22,160,saab
19,144,saab
22,150,saab
17,118,saab
24,173,saab
24,169,saab
20,149,saab
22,148,saab
21,154,saab
24,171,saab
21,155,saab
24,172,saab
25,168,saab
25,168,saab
24,168,saab
25,170,saab
24,153,saab
20,148,saab
25,172,saab
17,119,saab
20,132,saab
25,170,saab
23,165,saab
22,144,saab
24,168,saab
18,133,saab
19,131,saab
19,133,saab
24,169,saab
19,129,saab
20,153,saab
21,153,saab
19,149,saab
24,164,saab
24,165,saab
24,168,saab
22,161,saab
18,127,saab
24,165,saab
25,167,saab
24,159,saab
17,118,saab
19,133,saab
20,134,saab
21,152,saab
20,154,saab
24,165,saab
23,147,saab
23,155,saab
23,150,saab
18,141,saab
20,148,saab
18,129,saab
18,130,saab
22,160,saab
23,149,saab
19,132,saab
19,143,saab
19,128,saab
23,152,saab
24,156,saab
17,127,saab
20,136,saab
20,131,saab
17,125,saab
23,158,saab
19,128,saab
19,130,saab
24,162,saab
19,131,saab
18,123,saab
25,168,saab
22,162,saab
25,168,saab
22,158,saab
23,167,saab
24,163,saab
19,140,saab
21,135,saab
22,144,saab
24,159,saab
25,177,saab
25,172,saab
23,158,saab
21,151,saab
18,131,saab
20,134,saab
25,166,saab
20,134,saab
19,136,saab
23,152,saab
19,136,saab
24,167,saab
19,137,saab
20,151,saab
20,134,saab
24,158,saab
23,158,saab
21,134,saab
18,135,saab
21,144,saab
19,146,saab
21,132,saab
18,124,saab
24,171,saab
22,138,saab
21,140,saab
18,125,saab
24,163,saab
21,139,saab
24,166,saab
25,163,saab
20,147,saab
23,164,saab
21,158,saab
19,130,saab
18,127,saab
18,136,saab
24,167,saab
24,173,saab
23,163,saab
24,168,saab
24,169,saab
18,127,saab
25,174,saab
20,125,saab
24,162,saab
23,162,saab
19,126,saab
25,172,saab
20,133,saab
20,147,saab
20,148,saab
19,128,saab
18,127,saab
21,134,saab
28,169,bus
19,145,bus
27,166,bus
19,146,bus
26,160,bus
19,145,bus
20,128,bus
19,147,bus
20,149,bus
