@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
94,66,201,van
89,81,193,van
94,66,208,van
94,68,196,van
89,74,193,van
89,63,188,van
95,76,193,van
93,90,203,van
90,81,196,van
91,84,199,van
90,72,209,van
88,76,209,van
89,77,191,van
95,88,198,van
92,70,185,van
90,81,195,van
89,85,193,van
86,62,204,van
90,78,192,van
96,87,201,van
85,71,196,van
84,70,205,van
95,85,204,van
91,70,202,van
93,83,197,van
85,75,191,van
91,66,194,van
89,81,192,van
90,63,204,van
86,66,208,van
86,68,201,van
94,85,195,van
95,76,200,van
92,66,183,van
83,59,183,van
83,62,185,van
88,60,209,van
83,73,199,van
90,85,197,van
85,51,184,van
89,51,185,van
88,66,198,van
95,83,197,van
96,80,207,van
93,85,204,van
93,82,207,van
88,55,183,van
93,78,210,van
88,84,196,van
93,85,196,van
91,76,192,van
93,73,188,van
90,85,192,van
93,85,195,van
90,78,192,van
85,82,193,van
93,63,201,van
97,88,200,van
91,60,198,van
85,68,187,van
94,85,196,van
89,70,187,van
89,77,200,van
85,68,203,van
87,52,190,van
98,68,187,van
93,62,184,van
92,58,203,van
87,53,183,van
100,90,200,van
92,60,194,van
86,75,192,van
84,53,183,van
93,88,206,van
92,66,184,van
91,64,201,van
96,85,202,van
94,68,196,van
95,66,183,van
89,66,191,van
87,81,199,van
97,66,200,van
96,77,208,van
86,78,201,van
89,84,192,van
95,84,206,van
89,70,207,van
90,78,193,van
95,92,200,van
88,58,206,van
97,91,205,van
83,53,183,van
96,70,183,van
90,73,193,van
84,80,193,van
90,80,193,van
90,86,194,van
89,84,200,van
93,84,195,van
90,85,196,van
89,84,197,van
85,80,199,van
91,78,200,van
87,64,201,van
94,85,199,van
89,85,197,van
88,80,197,van
94,81,202,van
93,64,201,van
98,78,207,van
86,60,207,van
83,49,184,van
89,58,206,van
90,57,182,van
93,64,185,van
94,82,197,van
94,87,195,van
89,68,209,van
87,66,196,van
91,66,194,van
91,77,209,van
89,89,199,van
90,66,202,van
90,72,203,van
93,79,203,van
96,58,182,van
90,69,191,van
98,66,194,van
82,70,199,van
94,72,195,van
88,51,183,van
86,58,194,van
89,80,193,van
87,81,198,van
98,70,185,van
89,68,196,van
91,80,199,van
93,82,194,van
94,87,194,van
86,70,202,van
88,53,183,van
90,75,192,van
93,75,185,van
93,64,204,van
84,70,202,van
85,57,202,van
90,62,208,van
89,51,183,van
89,78,194,van
92,62,210,van
95,82,191,van
88,84,195,van
88,64,210,van
91,66,197,van
89,60,199,van
87,64,201,van
85,47,184,van
86,60,190,van
89,85,196,van
89,74,191,van
86,76,196,van
94,83,196,van
92,82,206,van
86,44,183,van
86,69,195,van
89,83,194,van
89,85,197,van
85,73,199,van
91,88,207,van
91,70,194,van
100,85,196,van
97,87,202,van
94,87,194,van
89,79,197,van
96,64,184,van
86,62,208,van
93,70,190,van
86,58,186,van
94,82,192,van
104,100,194,saab
96,101,197,saab
109,104,199,saab
98,78,199,saab
92,80,195,saab
87,60,192,saab
91,79,208,saab
85,40,183,saab
108,103,199,saab
91,72,189,saab
88,90,199,saab
82,66,187,saab
90,72,209,saab
83,54,183,saab
106,101,201,saab
91,88,198,saab
106,101,204,saab
90,83,195,saab
86,66,189,saab
104,96,206,saab
99,104,197,saab
106,98,197,saab
93,86,204,saab
89,83,193,saab
96,100,202,saab
108,103,197,saab
106,107,203,saab
107,98,197,saab
111,103,200,saab
107,108,204,saab
95,71,208,saab
105,100,200,saab
97,76,206,saab
98,101,197,saab
93,87,195,saab
88,57,184,saab
85,66,186,saab
109,109,202,saab
105,108,201,saab
86,86,199,saab
103,106,199,saab
98,90,208,saab
101,112,206,saab
91,83,200,saab
79,55,183,saab
105,106,199,saab
91,83,194,saab
89,52,184,saab
97,95,197,saab
98,104,196,saab
108,104,199,saab
95,104,200,saab
109,109,202,saab
89,89,196,saab
93,76,197,saab
102,106,200,saab
84,77,187,saab
