@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
103,19,144,bus
55,17,118,saab
73,19,146,bus
52,17,128,van
61,18,135,van
50,19,147,bus
53,24,173,opel
62,19,124,opel
59,18,135,saab
59,24,152,bus
66,19,147,bus
69,20,137,bus
60,20,148,opel
57,19,143,saab
61,19,143,bus
65,19,146,bus
69,25,176,opel
59,20,132,saab
63,23,152,saab
65,25,182,opel
63,19,148,van
57,19,147,bus
59,19,141,opel
63,19,145,bus
60,25,162,bus
66,25,176,opel
61,18,127,saab
62,19,148,van
58,18,137,opel
62,23,164,saab
71,20,144,bus
64,24,173,opel
61,19,148,bus
64,20,158,van
50,19,141,bus
59,18,124,saab
72,26,163,bus
74,24,175,opel
64,23,158,saab
69,24,173,opel
54,19,143,bus
54,19,149,van
60,19,125,opel
58,18,127,opel
63,18,131,saab
97,19,149,van
60,24,167,opel
57,20,147,saab
60,21,152,saab
59,20,134,saab
53,19,135,opel
64,21,153,opel
72,24,171,saab
68,19,124,bus
65,24,162,saab
65,21,156,opel
70,25,163,opel
71,25,167,saab
59,24,173,opel
57,20,167,van
54,24,173,opel
58,21,134,saab
63,24,166,saab
75,19,143,bus
59,20,158,van
63,22,161,opel
58,20,158,van
52,18,143,van
58,17,132,van
56,20,160,van
63,20,157,van
52,26,160,bus
58,18,142,van
56,17,124,van
73,20,127,bus
60,19,133,saab
61,18,142,van
61,19,128,saab
52,18,137,van
63,22,147,bus
64,25,172,saab
63,22,138,saab
74,25,172,opel
53,18,144,van
58,18,148,van
