@relation ecoli

@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
29,51,33,cp
51,37,42,cp
3,71,28,cp
4,49,37,cp
55,58,31,cp
5,45,39,cp
5,44,32,cp
37,53,35,cp
34,38,3,cp
35,31,19,cp
36,49,35,cp
31,38,34,cp
46,58,31,cp
4,54,35,cp
35,51,49,cp
3,46,24,cp
58,37,53,cp
42,45,25,cp
41,49,23,cp
37,3,34,cp
54,41,38,cp
37,43,18,cp
3,45,3,cp
55,34,37,cp
33,43,33,cp
39,48,22,cp
54,37,28,cp
47,28,33,cp
4,39,28,cp
33,6,6,cp
42,37,38,cp
42,35,28,cp
34,3,33,cp
37,35,36,cp
47,41,23,cp
28,43,27,cp
57,39,21,cp
46,52,35,cp
28,41,35,cp
45,48,35,cp
5,46,32,cp
56,43,45,cp
41,48,38,cp
49,39,38,cp
27,55,52,cp
43,45,31,cp
51,5,32,cp
26,54,16,cp
38,44,26,cp
39,36,38,cp
38,45,42,cp
43,49,3,cp
47,22,16,cp
44,49,22,cp
4,56,18,cp
45,38,22,cp
37,48,44,cp
51,27,23,cp
36,41,28,cp
49,53,14,cp
42,16,29,cp
38,42,48,cp
52,49,37,cp
46,42,35,cp
4,46,44,cp
34,43,26,cp
35,58,15,cp
37,41,33,cp
39,53,3,cp
57,63,34,cp
45,38,24,cp
42,37,27,cp
29,56,24,cp
24,57,27,cp
51,44,37,cp
34,46,3,cp
26,39,32,cp
46,48,22,cp
41,55,22,cp
48,44,17,cp
4,36,26,cp
39,47,31,cp
42,42,25,cp
37,59,41,cp
46,52,49,cp
36,35,39,cp
4,39,28,cp
28,44,23,cp
45,52,32,cp
54,41,34,cp
16,56,11,cp
47,53,18,cp
28,5,42,cp
34,42,29,cp
42,41,34,cp
23,73,5,cp
44,46,51,cp
4,47,33,cp
5,42,36,cp
43,54,52,cp
48,51,44,cp
43,37,28,cp
35,55,55,cp
48,56,4,cp
51,47,26,cp
44,37,36,cp
3,43,29,cp
32,55,25,cp
57,42,47,cp
43,5,24,cp
32,46,24,cp
33,38,35,cp
26,34,25,cp
51,34,37,cp
49,52,45,cp
38,54,34,cp
3,48,26,cp
47,29,28,cp
41,48,47,cp
42,53,32,cp
52,42,29,cp
33,45,22,cp
35,45,33,cp
76,45,35,cp
35,44,52,cp
52,42,42,cp
32,33,45,cp
31,41,29,cp
52,43,47,im
44,5,79,im
49,4,87,im
46,56,78,im
56,55,8,im
45,45,88,im
57,71,61,im
52,54,67,im
34,56,87,im
41,52,72,im
66,46,87,im
57,56,81,im
47,0,8,im
61,48,86,im
53,59,66,im
56,33,78,im
51,71,75,im
45,38,79,im
51,67,9,im
49,52,77,im
49,58,85,im
46,57,78,im
35,51,77,im
7,66,65,im
4,61,74,im
61,49,92,im
59,52,76,im
4,57,62,im
55,51,72,im
36,53,91,im
54,65,79,im
44,55,88,im
55,57,7,im
61,54,67,im
4,56,86,im
51,61,71,im
67,52,76,im
52,64,1,im
47,51,69,im
39,57,76,im
5,59,85,im
58,48,78,im
51,33,39,im
4,58,75,im
54,62,76,im
4,71,7,im
45,6,78,im
39,65,71,im
5,57,84,im
5,65,82,im
75,64,73,im
47,51,82,im
37,66,64,im
46,45,81,im
5,54,77,im
47,71,65,im
46,51,66,im
51,42,61,im
44,48,71,im
59,36,76,im
66,31,92,im
49,41,67,im
65,66,67,im
47,39,76,im
47,57,78,im
51,35,67,im
55,58,71,im
43,63,7,im
37,61,71,im
5,58,72,im
53,53,52,imS
39,51,82,imL
55,4,47,imL
44,45,73,imU
46,48,73,imU
26,57,75,imU
54,75,92,imU
42,58,79,imU
44,42,67,imU
33,57,77,imU
53,7,86,imU
51,64,72,imU
36,46,82,imU
71,5,71,imU
54,5,66,imU
37,54,64,imU
49,55,78,imU
41,5,59,imU
61,56,71,imU
39,59,89,imU
6,59,73,imU
37,64,7,imU
41,66,81,imU
53,57,87,imU
42,65,77,imU
55,51,78,imU
49,61,76,imU
55,63,81,imU
52,57,78,imU
42,48,77,imU
48,54,7,imU
29,64,75,imU
42,52,73,imU
38,6,49,imU
48,65,76,imU
63,73,4,om
51,66,54,om
71,68,43,om
76,84,45,om
84,74,54,om
68,77,36,om
49,79,45,om
81,72,38,om
84,86,58,om
59,77,39,om
76,83,57,om
57,88,53,om
76,77,59,om
69,65,41,om
68,83,4,om
9,57,53,om
78,75,54,om
88,73,5,om
49,62,55,omL
55,66,58,omL
49,54,56,omL
46,52,59,omL
83,46,36,pp
54,43,37,pp
39,53,28,pp
78,47,49,pp
86,39,47,pp
67,49,4,pp
83,4,39,pp
66,41,39,pp
81,25,42,pp
65,39,44,pp
71,42,84,pp
71,6,4,pp
57,49,7,pp
82,38,65,pp
59,39,47,pp
61,42,42,pp
8,46,31,pp
39,52,4,pp
56,47,68,pp
71,4,54,pp
74,31,53,pp
71,41,5,pp
49,42,54,pp
6,44,39,pp
78,43,44,pp
7,46,45,pp
86,34,41,pp
78,5,36,pp
78,58,51,pp
72,49,42,pp
81,54,49,pp
8,46,57,pp
47,5,57,pp
81,37,39,pp
59,46,44,pp
65,63,48,pp
64,47,51,pp
82,49,49,pp
73,44,39,pp
84,37,45,pp
61,51,37,pp
84,35,52,pp
57,48,35,pp
59,52,49,pp
86,17,55,pp
86,4,54,pp
1,35,51,pp
