@relation penbased
@Attribute At1 integer [0,  100]
@Attribute At2 integer [0,  100]
@Attribute At3 integer [0,  100]
@Attribute At4 integer [0,  100]
@Attribute At5 integer [0,  100]
@Attribute At6 integer [0,  100]
@Attribute At7 integer [0,  100]
@Attribute At8 integer [0,  100]
@Attribute At9 integer [0,  100]
@Attribute At10 integer [0,  100]
@Attribute At11 integer [0,  100]
@Attribute At12 integer [0,  100]
@Attribute At13 integer [0,  100]
@Attribute At14 integer [0,  100]
@Attribute At15 integer [0,  100]
@Attribute At16 integer [0,  100]
@Attribute Class {0,1,2,3,4,5,6,7,8,9}
@data
0, 89, 27, 100, 42, 75, 29, 45, 15, 15, 37, 0, 69, 2, 100, 6, 2
100, 100, 72, 99, 36, 78, 34, 54, 79, 47, 64, 13, 19, 0, 0, 2, 5
50, 84, 66, 100, 75, 75, 51, 51, 100, 42, 97, 13, 49, 0, 0, 7, 3
73, 62, 53, 100, 0, 72, 82, 39, 100, 0, 15, 14, 52, 57, 90, 94, 8
63, 100, 40, 73, 70, 63, 100, 77, 79, 74, 55, 48, 29, 23, 0, 0, 4
56, 99, 18, 72, 0, 24, 36, 0, 85, 23, 100, 69, 58, 100, 19, 74, 0
0, 75, 47, 87, 100, 100, 91, 80, 72, 60, 53, 40, 35, 20, 19, 0, 1
57, 63, 100, 100, 0, 91, 36, 53, 95, 16, 2, 0, 5, 36, 91, 67, 8
100, 100, 58, 83, 31, 55, 17, 24, 43, 0, 80, 19, 50, 43, 0, 39, 6
0, 97, 42, 100, 67, 71, 53, 35, 34, 0, 16, 23, 40, 42, 100, 42, 7
32, 100, 12, 76, 0, 48, 1, 21, 39, 0, 100, 9, 64, 21, 18, 3, 6
0, 100, 54, 98, 91, 85, 71, 52, 62, 17, 74, 0, 100, 32, 42, 37, 7
38, 51, 8, 66, 0, 19, 42, 0, 87, 26, 100, 71, 61, 100, 16, 84, 0
42, 83, 60, 53, 89, 11, 13, 0, 0, 33, 77, 57, 100, 92, 18, 100, 8
0, 88, 24, 68, 76, 33, 43, 0, 29, 32, 84, 66, 100, 100, 8, 89, 8
100, 89, 40, 83, 63, 40, 84, 0, 0, 7, 53, 53, 80, 100, 3, 78, 8
100, 70, 58, 100, 10, 75, 0, 24, 48, 0, 100, 19, 97, 68, 45, 81, 0
0, 59, 77, 74, 100, 100, 17, 93, 7, 71, 82, 68, 45, 35, 20, 0, 9
0, 65, 43, 76, 93, 96, 100, 100, 71, 75, 48, 50, 26, 25, 5, 0, 1
100, 100, 64, 98, 26, 85, 36, 63, 76, 58, 75, 24, 42, 1, 0, 0, 5
53, 100, 23, 77, 0, 57, 74, 66, 100, 79, 70, 85, 44, 42, 16, 0, 4
0, 87, 55, 100, 100, 81, 74, 41, 49, 0, 20, 10, 32, 32, 99, 35, 7
34, 76, 0, 41, 7, 0, 62, 0, 100, 33, 95, 74, 49, 100, 0, 83, 0
65, 96, 81, 66, 100, 100, 40, 92, 71, 64, 93, 45, 65, 5, 0, 0, 9
77, 100, 53, 90, 0, 43, 13, 0, 86, 34, 100, 84, 73, 51, 10, 9, 0
100, 100, 71, 95, 30, 64, 1, 27, 32, 0, 82, 19, 54, 51, 0, 48, 6
36, 69, 33, 100, 64, 85, 43, 48, 0, 21, 6, 19, 57, 0, 100, 20, 2
93, 91, 40, 100, 15, 79, 23, 36, 72, 53, 100, 21, 57, 0, 0, 6, 5
0, 65, 46, 91, 50, 100, 50, 62, 52, 23, 4, 2, 12, 5, 100, 0, 1
36, 63, 0, 67, 53, 84, 100, 100, 83, 74, 66, 47, 53, 21, 51, 0, 1
0, 89, 41, 100, 89, 93, 100, 62, 84, 31, 64, 0, 27, 17, 54, 34, 7
93, 100, 5, 96, 42, 65, 85, 32, 58, 0, 0, 14, 36, 47, 100, 74, 8
5, 79, 19, 100, 25, 66, 14, 32, 0, 3, 34, 0, 66, 5, 100, 7, 2
73, 100, 49, 62, 0, 38, 56, 43, 100, 57, 88, 78, 65, 39, 49, 0, 4
32, 76, 70, 100, 100, 72, 66, 38, 7, 19, 0, 33, 59, 18, 91, 0, 2
86, 78, 48, 100, 14, 72, 19, 35, 2, 0, 0, 29, 49, 59, 100, 88, 8
24, 87, 0, 62, 7, 0, 61, 0, 100, 44, 80, 100, 29, 93, 7, 36, 0
0, 82, 47, 100, 75, 72, 52, 35, 22, 0, 16, 22, 41, 48, 100, 52, 7
39, 100, 0, 82, 22, 55, 100, 63, 62, 99, 62, 81, 59, 40, 60, 0, 4
73, 98, 0, 95, 16, 60, 84, 29, 70, 0, 45, 35, 100, 69, 88, 100, 8
33, 100, 10, 76, 0, 48, 4, 20, 43, 0, 100, 10, 81, 31, 21, 25, 6
23, 83, 0, 48, 10, 9, 53, 0, 91, 23, 100, 63, 75, 97, 31, 100, 0
37, 79, 78, 100, 94, 68, 60, 37, 10, 19, 0, 31, 55, 24, 100, 0, 2
22, 75, 47, 100, 74, 82, 47, 53, 84, 44, 100, 17, 54, 0, 0, 9, 3
79, 97, 0, 100, 9, 73, 89, 87, 100, 95, 79, 63, 60, 30, 57, 0, 9
35, 61, 54, 100, 58, 76, 54, 31, 78, 0, 100, 6, 36, 5, 0, 8, 1
84, 100, 37, 82, 7, 55, 0, 25, 35, 0, 100, 7, 85, 30, 23, 19, 6
44, 83, 70, 100, 93, 77, 59, 50, 93, 44, 100, 16, 53, 0, 0, 3, 3
12, 82, 41, 100, 84, 84, 54, 51, 88, 43, 100, 10, 50, 0, 0, 6, 3
100, 97, 50, 100, 12, 88, 6, 48, 37, 47, 78, 25, 50, 0, 0, 2, 5
0, 99, 51, 100, 100, 96, 72, 59, 56, 16, 41, 0, 24, 39, 81, 50, 7
33, 100, 0, 66, 28, 40, 55, 12, 1, 0, 10, 46, 44, 84, 100, 92, 5
0, 84, 25, 100, 58, 74, 51, 37, 38, 0, 15, 20, 43, 33, 100, 32, 7
0, 95, 50, 100, 100, 86, 90, 49, 66, 15, 49, 0, 23, 32, 76, 41, 7
0, 100, 17, 94, 8, 64, 24, 37, 70, 41, 100, 57, 87, 28, 100, 0, 4
66, 94, 100, 100, 81, 96, 50, 81, 47, 50, 54, 19, 26, 0, 0, 12, 5
44, 97, 9, 62, 0, 13, 41, 0, 82, 26, 100, 72, 63, 100, 17, 92, 0
64, 100, 32, 77, 16, 47, 16, 16, 58, 0, 100, 16, 49, 23, 0, 9, 6
100, 64, 45, 45, 0, 65, 22, 100, 80, 99, 99, 62, 85, 23, 40, 0, 9
40, 67, 54, 100, 91, 85, 69, 49, 34, 20, 0, 0, 49, 1, 100, 0, 2
44, 89, 100, 100, 91, 93, 35, 79, 33, 55, 73, 29, 54, 0, 0, 11, 5
0, 98, 51, 100, 100, 87, 76, 48, 60, 8, 46, 0, 3, 24, 94, 26, 7
0, 87, 9, 47, 80, 54, 80, 7, 24, 0, 2, 50, 25, 91, 100, 100, 5
100, 94, 54, 96, 9, 100, 0, 60, 43, 52, 72, 24, 41, 0, 13, 8, 5
0, 62, 21, 100, 27, 80, 26, 35, 4, 4, 12, 0, 55, 2, 100, 5, 1
38, 63, 74, 100, 11, 86, 34, 43, 67, 0, 0, 7, 27, 48, 100, 76, 8
8, 100, 0, 81, 9, 52, 81, 54, 100, 75, 86, 64, 87, 32, 90, 0, 4
