@relation penbased
@Attribute At1 integer [0,  100]
@Attribute At2 integer [0,  100]
@Attribute At3 integer [0,  100]
@Attribute At4 integer [0,  100]
@Attribute At5 integer [0,  100]
@Attribute At6 integer [0,  100]
@Attribute At7 integer [0,  100]
@Attribute At8 integer [0,  100]
@Attribute At9 integer [0,  100]
@Attribute At10 integer [0,  100]
@Attribute At11 integer [0,  100]
@Attribute At12 integer [0,  100]
@Attribute At13 integer [0,  100]
@Attribute At14 integer [0,  100]
@Attribute At15 integer [0,  100]
@Attribute At16 integer [0,  100]
@Attribute Class {0,1,2,3,4,5,6,7,8,9}
@data
47, 100, 27, 81, 57, 37, 26, 0, 0, 23, 56, 53, 100, 90, 40, 98, 8
100, 100, 88, 99, 49, 74, 17, 47, 0, 16, 37, 0, 73, 16, 20, 20, 6
0, 85, 38, 100, 81, 88, 87, 50, 84, 12, 58, 0, 53, 22, 100, 24, 7
0, 73, 19, 99, 72, 100, 70, 73, 32, 48, 5, 18, 46, 0, 100, 0, 2
12, 77, 20, 62, 78, 40, 50, 0, 1, 17, 0, 64, 23, 98, 100, 100, 5
36, 92, 7, 83, 0, 37, 26, 0, 77, 6, 100, 46, 84, 89, 36, 100, 0
46, 100, 10, 83, 34, 64, 100, 77, 71, 82, 49, 54, 22, 27, 0, 0, 4
29, 72, 45, 100, 78, 78, 60, 41, 25, 12, 0, 4, 50, 6, 100, 0, 2
37, 91, 84, 100, 100, 96, 52, 87, 32, 57, 74, 38, 41, 1, 0, 0, 5
80, 100, 36, 100, 58, 80, 65, 82, 82, 47, 100, 14, 53, 0, 0, 7, 9
46, 100, 21, 85, 0, 60, 24, 42, 68, 44, 100, 49, 76, 25, 58, 0, 4
16, 90, 9, 61, 50, 35, 23, 0, 5, 35, 0, 81, 48, 97, 100, 100, 5
40, 72, 16, 50, 96, 69, 70, 100, 0, 73, 65, 57, 100, 47, 94, 0, 9
38, 94, 90, 100, 94, 79, 59, 57, 68, 33, 100, 12, 54, 0, 0, 1, 3
50, 97, 72, 68, 100, 100, 42, 86, 93, 72, 89, 48, 70, 7, 0, 0, 9
0, 42, 34, 57, 64, 79, 95, 100, 100, 85, 81, 57, 62, 28, 45, 0, 1
72, 100, 38, 84, 13, 63, 0, 40, 40, 28, 88, 31, 100, 22, 84, 0, 4
26, 74, 19, 49, 64, 21, 20, 0, 1, 25, 0, 64, 45, 87, 100, 100, 5
0, 67, 16, 80, 64, 100, 85, 99, 85, 74, 89, 49, 95, 24, 100, 0, 1
2, 80, 36, 50, 54, 12, 9, 0, 0, 41, 5, 78, 49, 95, 100, 100, 5
48, 95, 94, 100, 100, 73, 75, 47, 41, 25, 0, 5, 41, 1, 94, 0, 2
36, 90, 86, 100, 87, 73, 47, 49, 92, 44, 100, 16, 53, 0, 0, 1, 3
78, 100, 40, 94, 16, 58, 5, 21, 53, 0, 100, 27, 36, 30, 0, 0, 6
46, 96, 80, 100, 81, 76, 77, 60, 100, 36, 75, 12, 36, 0, 0, 6, 3
0, 67, 38, 66, 62, 30, 38, 0, 8, 30, 45, 63, 100, 90, 58, 100, 8
