@relation page-blocks
@attribute Height integer [1,  804]
@attribute Lenght integer [1,  553]
@attribute Area integer [7,  143993]
@attribute Eccen real [0.0070,  537.0]
@attribute P_black real [0.052,  1.0]
@attribute P_and real [0.062,  1.0]
@attribute Mean_tr real [1.0,  4955.0]
@attribute Blackpix integer [1,  33017]
@attribute Blackand integer [7,  46133]
@attribute Wb_trans integer [1,  3212]
@attribute Class {1, 2, 3, 4, 5}
@data
5, 8, 40, 1.6, 0.55, 1.0, 2.44, 22, 40, 9, 1
5, 6, 30, 1.2, 0.433, 0.733, 13.0, 13, 22, 1, 1
5, 19, 95, 3.8, 0.232, 0.4, 5.5, 22, 38, 4, 1
5, 4, 20, 0.8, 0.5, 0.8, 10.0, 10, 16, 1, 1
2, 22, 44, 11.0, 0.705, 0.864, 15.5, 31, 38, 2, 2
11, 85, 935, 7.727, 0.257, 0.894, 1.67, 240, 836, 144, 1
3, 116, 348, 38.667, 0.385, 0.494, 33.5, 134, 172, 4, 2
1, 44, 44, 44.0, 0.25, 1.0, 2.2, 11, 44, 5, 2
8, 8, 64, 1.0, 0.234, 0.328, 5.0, 15, 21, 3, 1
9, 40, 360, 4.444, 0.356, 0.967, 2.29, 128, 348, 56, 1
9, 40, 360, 4.444, 0.319, 0.919, 2.35, 115, 331, 49, 1
2, 46, 92, 23.0, 0.587, 0.761, 18.0, 54, 70, 3, 2
9, 41, 369, 4.556, 0.301, 0.886, 1.91, 111, 327, 58, 1
1, 10, 10, 10.0, 0.9, 1.0, 9.0, 9, 10, 1, 2
9, 123, 1107, 13.667, 0.362, 0.986, 2.62, 401, 1091, 153, 1
2, 11, 22, 5.5, 0.409, 0.955, 9.0, 9, 21, 1, 1
11, 8, 88, 0.727, 0.511, 0.852, 9.0, 45, 75, 5, 1
10, 49, 490, 4.9, 0.52, 0.961, 2.97, 255, 471, 86, 1
10, 21, 210, 2.1, 0.329, 0.843, 2.56, 69, 177, 27, 1
8, 83, 664, 10.375, 0.325, 0.908, 1.76, 216, 603, 123, 1
11, 101, 1111, 9.182, 0.239, 0.818, 1.61, 265, 909, 165, 1
12, 26, 312, 2.167, 0.221, 1.0, 1.6, 69, 312, 43, 1
12, 40, 480, 3.333, 0.271, 0.733, 1.97, 130, 352, 66, 1
9, 64, 576, 7.111, 0.465, 0.899, 2.58, 268, 518, 104, 1
9, 99, 891, 11.0, 0.464, 0.942, 2.52, 413, 839, 164, 1
11, 118, 1298, 10.727, 0.26, 0.817, 2.01, 338, 1061, 168, 1
10, 126, 1260, 12.6, 0.41, 0.833, 2.63, 516, 1049, 196, 1
9, 46, 414, 5.111, 0.292, 0.676, 1.92, 121, 280, 63, 1
9, 22, 198, 2.444, 0.298, 0.965, 2.11, 59, 191, 28, 1
11, 301, 3311, 27.364, 0.308, 0.735, 2.22, 1019, 2435, 458, 1
