@relation page-blocks
@attribute Height integer [1,  804]
@attribute Lenght integer [1,  553]
@attribute Area integer [7,  143993]
@attribute Eccen real [0.0070,  537.0]
@attribute P_black real [0.052,  1.0]
@attribute P_and real [0.062,  1.0]
@attribute Mean_tr real [1.0,  4955.0]
@attribute Blackpix integer [1,  33017]
@attribute Blackand integer [7,  46133]
@attribute Wb_trans integer [1,  3212]
@attribute Class {1, 2, 3, 4, 5}
@data
5, 7, 35, 1.4, 0.4, 0.657, 2.33, 14, 23, 6, 1
6, 7, 42, 1.167, 0.429, 0.881, 3.6, 18, 37, 5, 1
5, 5, 25, 1.0, 0.4, 0.52, 10.0, 10, 13, 1, 1
6, 7, 42, 1.167, 0.405, 0.881, 4.25, 1, 737, 4, 1
4, 6, 24, 1.5, 0.417, 0.5, 10.0, 10, 12, 1, 1
9, 50, 450, 5.556, 0.496, 0.958, 2.69, 223, 431, 83, 1
4, 194, 776, 48.5, 0.263, 0.273, 34.0, 204, 212, 6, 2
9, 22, 198, 2.444, 0.288, 0.818, 2.48, 57, 162, 23, 1
9, 51, 459, 5.667, 0.296, 0.786, 2.34, 136, 361, 58, 1
9, 80, 720, 8.889, 0.333, 0.878, 2.02, 240, 632, 119, 1
10, 4, 40, 0.4, 0.375, 0.4, 15.0, 15, 16, 1, 1
12, 11, 132, 0.917, 0.371, 1.0, 1.63, 49, 132, 30, 1
12, 44, 528, 3.667, 0.294, 0.742, 2.31, 155, 392, 67, 1
2, 20, 40, 10.0, 0.725, 0.875, 29.0, 29, 35, 1, 2
9, 32, 288, 3.556, 0.302, 0.781, 2.07, 87, 225, 42, 1
10, 126, 1260, 12.6, 0.425, 0.862, 2.68, 536, 1086, 200, 1
1, 17, 17, 17.0, 0.765, 1.0, 3.25, 13, 17, 4, 2
2, 116, 232, 58.0, 0.616, 0.802, 17.88, 143, 186, 8, 2
7, 46, 322, 6.571, 0.155, 0.587, 4.17, 50, 189, 12, 1
8, 80, 640, 10.0, 0.298, 0.883, 1.72, 191, 565, 111, 1
10, 13, 130, 1.3, 0.108, 0.685, 2.33, 14, 89, 6, 1
8, 70, 560, 8.75, 0.341, 0.918, 1.66, 191, 514, 115, 1
9, 82, 738, 9.111, 0.252, 0.74, 2.0, 186, 546, 93, 1
9, 34, 306, 3.778, 0.379, 0.961, 1.71, 116, 294, 68, 1
8, 75, 600, 9.375, 0.328, 0.888, 1.86, 197, 533, 106, 1
8, 18, 144, 2.25, 0.479, 0.986, 2.16, 69, 142, 32, 1
12, 117, 1404, 9.75, 0.22, 0.673, 1.68, 309, 945, 184, 1
5, 3, 15, 0.6, 0.467, 1.0, 7.0, 7, 15, 1, 1
3, 31, 93, 10.333, 0.226, 0.774, 2.1, 21, 72, 10, 1
11, 9, 99, 0.818, 0.465, 0.818, 9.2, 46, 81, 5, 1
2, 157, 314, 78.5, 0.506, 0.551, 26.5, 159, 173, 6, 2
9, 37, 333, 4.111, 0.381, 0.808, 2.05, 127, 269, 62, 1
8, 79, 632, 9.875, 0.375, 0.956, 2.12, 237, 604, 112, 1
8, 53, 424, 6.625, 0.37, 0.901, 1.76, 157, 382, 89, 1
2, 123, 246, 61.5, 0.5, 0.504, 123.0, 123, 124, 1, 2
9, 32, 288, 3.556, 0.365, 0.781, 2.23, 105, 225, 47, 1
9, 86, 774, 9.556, 0.301, 0.647, 2.22, 233, 501, 105, 1
8, 42, 336, 5.25, 0.363, 0.97, 2.18, 122, 326, 56, 1
42, 7, 294, 0.167, 0.282, 0.432, 2.18, 83, 127, 38, 4
11, 85, 935, 7.727, 0.25, 0.664, 1.73, 234, 621, 135, 1
9, 33, 297, 3.667, 0.259, 0.774, 1.67, 77, 230, 46, 1
45, 79, 3555, 1.756, 0.087, 0.195, 4.81, 308, 693, 64, 5
3, 7, 21, 2.333, 0.619, 0.619, 13.0, 13, 13, 1, 1
6, 29, 174, 4.833, 0.293, 0.92, 1.5, 51, 160, 34, 1
5, 30, 150, 6.0, 0.16, 0.66, 1.71, 24, 99, 14, 1
4, 16, 64, 4.0, 0.391, 0.938, 1.67, 25, 60, 15, 1
7, 45, 315, 6.429, 0.2, 0.775, 1.91, 63, 244, 33, 1
10, 122, 1220, 12.2, 0.273, 0.54, 2.03, 333, 659, 164, 1
9, 78, 702, 8.667, 0.349, 0.863, 2.17, 245, 606, 113, 1
11, 97, 1067, 8.818, 0.297, 0.666, 2.4, 317, 711, 132, 1
11, 102, 1122, 9.273, 0.289, 0.829, 1.87, 324, 930, 173, 1
9, 81, 729, 9.0, 0.348, 0.927, 2.21, 254, 676, 115, 1
25, 118, 2950, 4.72, 0.268, 0.745, 2.02, 791, 2198, 392, 1
9, 123, 1107, 13.667, 0.395, 0.991, 2.84, 437, 1097, 154, 1
12, 8, 96, 0.667, 0.448, 0.656, 4.3, 43, 63, 10, 1
10, 22, 220, 2.2, 0.336, 0.836, 2.74, 74, 184, 27, 1
10, 34, 340, 3.4, 0.421, 0.906, 2.01, 143, 308, 71, 1
34, 114, 3876, 3.353, 0.105, 0.301, 2.59, 406, 1166, 157, 1
7, 17, 119, 2.429, 0.387, 0.857, 2.71, 46, 102, 17, 1
8, 45, 360, 5.625, 0.206, 0.789, 1.8, 74, 284, 41, 1
11, 9, 99, 0.818, 0.465, 0.768, 3.83, 46, 76, 12, 1
11, 8, 88, 0.727, 0.602, 1.0, 4.08, 53, 88, 13, 1
9, 79, 711, 8.778, 0.343, 0.899, 2.2, 244, 639, 111, 1
10, 83, 830, 8.3, 0.357, 0.813, 2.28, 296, 675, 130, 1
9, 85, 765, 9.444, 0.395, 0.846, 2.32, 302, 647, 130, 1
23, 118, 2714, 5.13, 0.293, 0.784, 2.06, 795, 2129, 385, 1
1, 28, 28, 28.0, 0.964, 1.0, 27.0, 27, 28, 1, 2
7, 23, 161, 3.286, 0.093, 0.54, 1.36, 15, 87, 11, 1
11, 9, 99, 0.818, 0.515, 0.768, 8.5, 51, 76, 6, 1
9, 12, 108, 1.333, 0.407, 1.0, 1.63, 44, 108, 27, 1
9, 104, 936, 11.556, 0.282, 0.904, 1.93, 264, 846, 137, 1
8, 44, 352, 5.5, 0.455, 0.949, 3.2, 160, 334, 50, 1
8, 42, 336, 5.25, 0.39, 0.94, 2.43, 131, 316, 54, 1
7, 35, 245, 5.0, 0.482, 0.841, 2.81, 118, 206, 42, 1
