@relation page-blocks
@attribute Height integer [1,  804]
@attribute Lenght integer [1,  553]
@attribute Area integer [7,  143993]
@attribute Eccen real [0.0070,  537.0]
@attribute P_black real [0.052,  1.0]
@attribute P_and real [0.062,  1.0]
@attribute Mean_tr real [1.0,  4955.0]
@attribute Blackpix integer [1,  33017]
@attribute Blackand integer [7,  46133]
@attribute Wb_trans integer [1,  3212]
@attribute Class {1, 2, 3, 4, 5}
@data
5, 3, 15, 0.6, 0.533, 0.733, 8.0, 8, 11, 1, 1
11, 8, 88, 0.727, 0.58, 1.0, 5.1, 51, 88, 10, 1
11, 8, 88, 0.727, 0.409, 0.477, 36.0, 36, 42, 1, 1
10, 66, 660, 6.6, 0.273, 0.661, 1.94, 180, 436, 93, 1
9, 64, 576, 7.111, 0.299, 0.97, 1.81, 172, 559, 95, 1
9, 84, 756, 9.333, 0.222, 0.937, 1.81, 168, 708, 93, 1
9, 54, 486, 6.0, 0.292, 0.957, 1.48, 142, 465, 96, 1
10, 83, 830, 8.3, 0.266, 0.827, 2.1, 221, 686, 105, 1
12, 44, 528, 3.667, 0.261, 0.767, 2.38, 138, 405, 58, 1
12, 7, 84, 0.583, 0.214, 0.583, 3.6, 18, 49, 5, 1
9, 32, 288, 3.556, 0.271, 0.594, 2.23, 78, 171, 35, 1
13, 10, 130, 0.769, 0.3, 0.808, 6.5, 39, 105, 6, 1
9, 5, 45, 0.556, 0.378, 0.933, 2.83, 17, 42, 6, 1
14, 185, 2590, 13.214, 0.254, 0.651, 2.27, 657, 1687, 289, 1
1, 12, 12, 12.0, 0.583, 1.0, 3.5, 7, 12, 2, 1
7, 58, 406, 8.286, 0.202, 0.751, 2.34, 82, 305, 35, 1
2, 31, 62, 15.5, 0.194, 0.516, 2.0, 12, 32, 6, 1
1, 12, 12, 12.0, 0.583, 1.0, 3.5, 7, 12, 2, 1
11, 7, 77, 0.636, 0.468, 1.0, 3.6, 36, 77, 10, 1
1, 43, 43, 43.0, 0.907, 1.0, 9.75, 39, 43, 4, 2
9, 96, 864, 10.667, 0.281, 0.815, 1.96, 243, 704, 124, 1
8, 80, 640, 10.0, 0.303, 0.922, 1.72, 194, 590, 113, 1
11, 26, 286, 2.364, 0.297, 0.941, 2.02, 85, 269, 42, 1
8, 8, 64, 1.0, 0.203, 0.344, 4.33, 13, 22, 3, 1
9, 101, 909, 11.222, 0.442, 0.861, 2.68, 402, 783, 150, 1
5, 2, 10, 0.4, 0.8, 0.8, 8.0, 8, 8, 1, 4
10, 2, 20, 0.2, 0.55, 0.6, 11.0, 11, 12, 1, 2
9, 20, 180, 2.222, 0.261, 0.556, 2.35, 47, 100, 20, 1
1, 45, 45, 45.0, 0.756, 1.0, 5.67, 34, 45, 6, 2
6, 27, 162, 4.5, 0.136, 0.673, 2.0, 22, 109, 11, 1
4, 47, 188, 11.75, 0.298, 0.739, 2.33, 56, 139, 24, 1
10, 21, 210, 2.1, 0.324, 0.6, 3.4, 68, 126, 20, 1
9, 23, 207, 2.556, 0.304, 1.0, 1.62, 63, 207, 39, 1
9, 32, 288, 3.556, 0.292, 0.826, 1.53, 84, 238, 55, 1
10, 64, 640, 6.4, 0.295, 0.808, 2.25, 189, 517, 84, 1
9, 82, 738, 9.111, 0.343, 0.913, 2.02, 253, 674, 125, 1
11, 83, 913, 7.545, 0.274, 0.9, 1.71, 250, 822, 146, 1
19, 123, 2337, 6.474, 0.089, 0.089, 207.0, 207, 208, 1, 1
10, 65, 650, 6.5, 0.445, 0.911, 2.58, 289, 592, 112, 1
8, 45, 360, 5.625, 0.156, 0.725, 1.87, 56, 261, 30, 1
10, 33, 330, 3.3, 0.367, 0.864, 1.95, 121, 285, 62, 1
1, 124, 124, 124.0, 0.444, 1.0, 7.86, 55, 124, 7, 2
10, 126, 1260, 12.6, 0.456, 0.883, 2.85, 575, 1113, 202, 1
10, 85, 850, 8.5, 0.333, 0.696, 2.28, 283, 592, 124, 1
1, 40, 40, 40.0, 1.0, 1.0, 40.0, 40, 40, 1, 2
1, 46, 46, 46.0, 0.783, 1.0, 12.0, 36, 46, 3, 2
7, 47, 329, 6.714, 0.271, 0.878, 2.23, 89, 289, 40, 1
8, 59, 472, 7.375, 0.322, 0.881, 2.41, 152, 416, 63, 1
