@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Class {van,saab,bus,opel}

@data
10,156,151,van
9,152,155,van
7,127,132,van
25,140,139,van
5,120,128,van
9,156,149,van
6,122,129,van
7,130,143,van
6,130,130,van
9,144,141,van
7,130,138,van
9,147,148,van
9,150,156,van
10,157,155,van
10,161,163,van
11,160,167,van
9,142,147,van
9,126,144,van
8,142,148,van
10,163,160,van
5,122,128,van
6,115,126,van
9,157,150,van
11,160,160,van
9,134,142,van
11,159,159,van
9,138,143,van
10,154,149,van
9,147,152,van
10,156,160,van
11,156,165,van
7,139,143,van
9,145,147,van
3,118,128,van
8,129,142,van
5,119,132,van
10,145,148,van
7,137,146,van
9,136,134,van
10,162,159,van
10,155,153,van
10,157,157,van
9,145,145,van
7,128,143,van
7,126,128,van
8,139,140,van
5,119,128,van
8,137,145,van
8,132,136,van
6,119,130,van
8,133,135,van
6,118,137,van
6,136,138,van
8,146,144,van
7,135,145,van
4,118,129,van
8,138,134,van
6,127,130,van
8,142,144,van
11,159,167,van
11,160,157,van
6,132,140,van
10,159,160,van
6,136,146,van
11,159,156,van
7,128,129,van
8,140,150,van
11,157,160,van
10,151,149,van
9,133,130,van
10,152,144,van
11,161,153,van
9,150,147,van
9,157,165,van
10,156,153,van
8,148,145,van
9,133,135,van
12,155,158,van
6,139,144,van
9,151,147,van
5,119,124,van
11,156,163,van
5,117,134,van
11,161,158,van
10,146,139,van
11,156,157,van
8,131,144,van
11,159,162,van
10,155,150,van
55,139,145,van
8,142,131,van
7,134,142,van
11,158,158,van
11,159,157,van
11,160,160,van
9,157,158,van
6,116,135,van
8,140,148,van
5,114,132,van
8,139,130,van
7,131,142,van
11,160,161,van
7,131,144,van
11,159,156,van
9,144,139,van
11,158,162,van
11,160,163,van
7,127,145,van
6,122,132,van
5,120,127,van
2,119,121,van
9,149,143,van
3,117,122,van
11,161,167,van
7,135,139,van
11,161,159,van
10,155,155,van
9,149,157,van
10,156,170,van
7,131,145,van
10,157,164,van
11,156,158,van
7,122,139,van
8,130,146,van
11,155,151,van
9,137,146,van
8,133,140,van
10,157,158,van
7,140,141,van
8,127,139,van
10,133,142,van
9,144,143,van
11,159,160,van
6,128,141,van
8,130,142,van
10,158,149,van
11,163,163,van
10,155,149,van
8,133,134,van
46,150,149,van
10,155,148,van
10,157,156,van
10,153,156,van
43,155,160,van
12,157,155,van
8,137,141,van
9,151,148,van
4,118,125,van
8,132,135,van
12,155,157,van
48,158,163,van
7,119,134,van
5,123,125,van
8,136,145,van
7,139,140,van
6,118,129,van
10,153,151,van
8,143,147,van
8,130,139,van
11,151,145,van
9,134,142,van
10,143,137,van
11,154,150,van
6,116,125,van
9,146,148,van
6,123,137,van
11,157,155,van
49,155,155,van
11,162,155,van
6,133,139,van
5,128,135,van
10,158,157,van
9,153,144,van
8,144,150,van
9,149,145,van
8,134,141,van
9,127,137,van
7,136,133,van
7,137,140,van
7,169,132,saab
10,211,164,saab
6,135,125,saab
11,214,162,saab
8,186,144,saab
6,160,125,saab
10,187,156,saab
7,150,133,saab
8,160,133,saab
12,196,162,saab
8,169,136,saab
8,164,134,saab
7,174,139,saab
10,201,152,saab
7,168,152,saab
10,185,160,saab
11,220,166,saab
11,217,168,saab
7,128,134,saab
3,112,119,saab
10,216,171,saab
11,202,164,saab
9,161,151,saab
11,201,158,saab
10,201,152,saab
8,164,150,saab
11,213,171,saab
11,220,163,saab
7,150,128,saab
7,159,147,saab
7,163,131,saab
10,208,166,saab
11,214,169,saab
11,214,159,saab
11,210,163,saab
9,170,134,saab
9,166,138,saab
7,149,140,saab
7,152,134,saab
4,135,127,saab
6,128,125,saab
8,142,128,saab
11,218,173,saab
9,208,158,saab
7,155,126,saab
9,177,155,saab
7,140,124,saab
8,181,134,saab
10,196,159,saab
6,140,125,saab
7,125,126,saab
10,215,169,saab
7,135,124,saab
10,214,173,saab
8,154,129,saab
