@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Class {van,saab,bus,opel}

@data
103,52,45,bus
55,6,54,saab
73,6,44,bus
52,5,57,van
61,8,50,van
50,7,45,bus
53,10,31,opel
62,7,44,opel
59,5,50,saab
59,6,31,bus
66,7,46,bus
69,5,38,bus
60,7,42,opel
57,7,44,saab
61,7,46,bus
65,8,45,bus
69,11,30,opel
59,7,39,saab
63,10,33,saab
65,12,30,opel
63,9,46,van
57,6,45,bus
59,7,44,opel
63,6,44,bus
60,6,30,bus
66,11,30,opel
61,4,50,saab
62,10,46,van
58,6,50,opel
62,11,33,saab
71,5,40,bus
64,11,31,opel
61,7,44,bus
64,10,43,van
50,8,45,bus
59,7,47,saab
72,4,28,bus
74,10,31,opel
64,11,33,saab
69,11,30,opel
54,6,46,bus
54,10,43,van
60,8,45,opel
58,5,51,opel
63,6,48,saab
97,46,45,van
60,11,31,opel
57,7,41,saab
60,8,38,saab
59,9,39,saab
53,9,48,opel
64,9,37,opel
72,10,31,saab
68,5,41,bus
65,11,32,saab
65,6,37,opel
70,11,30,opel
71,12,30,saab
59,10,32,opel
57,11,43,van
54,10,31,opel
58,8,37,saab
63,10,32,saab
75,7,43,bus
59,11,43,van
63,9,35,opel
58,11,43,van
52,7,50,van
58,6,55,van
56,10,43,van
63,10,43,van
52,7,28,bus
58,9,50,van
56,5,57,van
73,6,40,bus
60,8,44,saab
61,8,51,van
61,8,47,saab
52,9,53,van
63,6,34,bus
64,11,31,saab
63,9,36,saab
74,11,30,opel
53,7,51,van
58,8,47,van
