@relation vehicle

@attribute Compactness numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
94,258,196,van
89,352,184,van
94,265,201,van
94,246,192,van
89,278,189,van
89,223,186,van
95,381,184,van
93,348,194,van
90,332,186,van
91,330,189,van
90,279,201,van
88,281,201,van
89,351,183,van
95,371,189,van
92,282,183,van
90,333,185,van
89,362,183,van
86,203,199,van
90,370,183,van
96,351,192,van
85,307,187,van
84,278,196,van
95,347,196,van
91,296,192,van
93,364,184,van
85,358,182,van
91,237,191,van
89,347,183,van
90,259,197,van
86,225,202,van
86,285,192,van
94,357,187,van
95,339,187,van
92,277,182,van
83,250,177,van
83,218,181,van
88,246,202,van
83,305,191,van
90,345,186,van
85,207,181,van
89,206,181,van
88,227,193,van
95,379,187,van
96,316,199,van
93,339,195,van
93,309,199,van
88,249,176,van
93,281,203,van
88,350,185,van
93,351,184,van
91,256,191,van
93,275,187,van
90,365,182,van
93,355,183,van
90,366,182,van
85,362,183,van
93,260,193,van
97,365,192,van
91,211,192,van
85,241,182,van
94,354,188,van
89,273,186,van
89,314,190,van
85,253,195,van
87,196,186,van
98,251,186,van
93,249,184,van
92,222,197,van
87,205,180,van
100,363,192,van
92,194,190,van
86,371,183,van
84,221,179,van
93,334,196,van
92,275,182,van
91,249,194,van
96,355,192,van
94,242,195,van
95,253,184,van
89,254,188,van
87,317,189,van
97,246,195,van
96,294,201,van
86,305,190,van
89,354,182,van
95,312,199,van
89,237,199,van
90,374,184,van
95,372,189,van
88,243,199,van
97,334,197,van
83,247,176,van
96,269,183,van
90,373,182,van
84,349,183,van
90,366,185,van
90,346,185,van
89,330,188,van
93,354,185,van
90,355,185,van
89,368,186,van
85,324,188,van
91,323,189,van
87,264,193,van
94,367,189,van
89,345,187,van
88,318,188,van
94,313,194,van
93,268,192,van
98,300,201,van
86,212,200,van
83,219,180,van
89,225,199,van
90,261,183,van
93,262,185,van
94,359,186,van
94,363,184,van
89,265,201,van
87,294,188,van
91,280,188,van
91,289,201,van
89,338,187,van
90,281,193,van
90,283,196,van
93,309,195,van
96,255,181,van
90,272,187,van
98,251,191,van
82,289,190,van
94,262,192,van
88,207,179,van
86,204,190,van
89,369,182,van
87,325,188,van
98,243,186,van
89,291,189,van
91,331,189,van
93,371,183,van
94,363,183,van
86,266,194,van
88,204,180,van
90,369,182,van
93,284,184,van
93,279,193,van
84,280,194,van
85,195,197,van
90,246,201,van
89,213,181,van
89,367,185,van
92,241,204,van
95,365,182,van
88,351,183,van
88,253,203,van
91,268,191,van
89,209,193,van
87,265,193,van
85,203,180,van
86,209,186,van
89,356,185,van
89,356,184,van
86,301,189,van
94,357,185,van
92,319,199,van
86,208,180,van
86,284,189,van
89,364,184,van
89,349,186,van
85,307,190,van
91,326,197,van
91,253,190,van
100,387,189,van
97,359,192,van
94,366,183,van
89,311,188,van
96,258,183,van
86,223,200,van
93,238,191,van
86,208,184,van
94,367,183,van
104,680,185,saab
96,552,189,saab
109,691,189,saab
98,430,192,saab
92,353,190,saab
87,243,186,saab
91,404,199,saab
85,184,181,saab
108,711,188,saab
91,314,184,saab
88,460,192,saab
82,252,183,saab
90,360,203,saab
83,271,180,saab
106,721,187,saab
91,457,191,saab
106,607,192,saab
90,467,189,saab
86,274,183,saab
104,527,195,saab
99,604,188,saab
106,691,187,saab
93,418,197,saab
89,402,187,saab
96,486,192,saab
108,648,189,saab
106,635,190,saab
107,704,188,saab
111,663,190,saab
107,700,190,saab
95,365,196,saab
105,586,192,saab
97,370,198,saab
98,584,189,saab
93,422,188,saab
88,265,180,saab
85,295,182,saab
109,675,189,saab
105,687,189,saab
86,433,191,saab
103,612,191,saab
98,480,199,saab
101,667,190,saab
91,298,193,saab
79,295,180,saab
105,640,189,saab
91,445,188,saab
89,220,181,saab
97,526,190,saab
98,629,187,saab
108,712,189,saab
95,543,190,saab
109,635,191,saab
89,471,189,saab
93,405,192,saab
102,638,189,saab
84,344,183,saab
101,684,188,saab
90,458,189,saab
107,709,187,saab
107,627,194,saab
98,415,197,saab
89,308,185,saab
90,224,196,saab
96,378,190,saab
92,349,203,saab
104,664,188,saab
97,512,191,saab
90,367,197,saab
93,505,195,saab
99,623,191,saab
89,390,194,saab
89,427,195,saab
105,711,189,saab
107,673,188,saab
102,719,187,saab
90,396,186,saab
95,559,188,saab
84,196,183,saab
105,661,186,saab
94,430,200,saab
101,698,187,saab
104,583,191,saab
97,459,196,saab
89,327,188,saab
87,277,181,saab
109,586,190,saab
109,677,188,saab
88,293,198,saab
84,290,189,saab
82,268,181,saab
98,586,194,saab
109,720,187,saab
92,355,189,saab
84,327,185,saab
78,299,181,saab
91,327,186,saab
93,246,198,saab
115,697,188,saab
112,676,191,saab
108,665,190,saab
105,545,196,saab
92,373,190,saab
89,308,194,saab
90,298,201,saab
93,506,189,saab
100,642,187,saab
103,518,198,saab
85,260,191,saab
85,339,182,saab
91,426,192,saab
97,713,186,saab
106,645,190,saab
94,349,193,saab
85,193,179,saab
97,511,194,saab
90,373,201,saab
106,709,190,saab
89,351,187,saab
108,718,187,saab
102,600,192,saab
86,333,182,saab
108,709,189,saab
93,263,200,saab
88,357,188,saab
119,675,192,saab
108,608,190,saab
86,331,196,saab
102,621,188,saab
96,455,191,saab
90,216,190,saab
100,415,198,saab
98,472,193,saab
109,707,188,saab
101,572,192,saab
89,291,193,saab
