@relation vehicle

@attribute Praxis_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
20,187,197,van
28,181,183,bus
19,187,197,van
19,188,199,van
25,187,199,saab
20,192,200,van
20,184,193,van
19,202,209,bus
19,180,185,saab
24,193,191,bus
24,191,189,bus
28,181,182,bus
20,184,194,van
20,201,209,saab
22,195,206,saab
22,196,197,bus
18,177,183,opel
19,203,211,saab
24,191,199,saab
18,186,185,van
21,197,197,bus
20,190,196,saab
18,189,195,van
19,195,203,van
19,179,182,bus
18,184,183,van
19,198,203,opel
19,185,189,bus
19,185,196,van
18,180,184,saab
19,189,193,bus
19,195,204,bus
21,199,201,bus
18,201,209,van
24,189,198,opel
22,191,199,saab
21,193,201,saab
24,191,202,saab
18,179,185,saab
18,179,186,opel
25,186,198,opel
28,182,181,bus
19,196,200,bus
19,180,184,bus
20,193,202,opel
24,191,202,saab
23,194,208,saab
20,197,206,opel
17,204,210,van
18,183,187,opel
22,188,197,opel
24,190,206,saab
18,189,193,van
17,186,188,van
19,195,201,bus
18,199,206,van
18,196,203,bus
24,188,198,saab
19,179,182,bus
25,187,194,opel
23,189,198,opel
19,187,194,opel
25,188,196,opel
18,198,204,saab
18,189,195,saab
21,196,199,bus
24,191,200,opel
24,190,197,opel
22,190,199,opel
20,198,205,bus
22,194,203,saab
20,182,192,van
20,187,192,opel
18,203,210,van
22,194,202,opel
18,191,192,van
19,202,206,bus
23,198,208,saab
24,187,197,saab
19,181,184,bus
18,192,195,van
23,188,196,opel
20,194,199,opel
23,190,198,opel
