@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm2 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
4,46,42,44,cp
28,38,5,42,cp
39,31,38,43,cp
29,41,48,46,cp
22,36,35,47,cp
67,39,36,46,cp
34,55,58,41,cp
44,42,42,2,cp
27,3,71,39,cp
23,33,43,43,cp
34,42,41,43,cp
38,4,63,35,cp
23,32,55,35,cp
3,44,49,33,cp
35,34,46,27,cp
24,57,63,43,cp
29,37,48,52,cp
25,51,37,5,cp
3,37,59,49,cp
31,47,29,39,cp
24,43,54,59,cp
44,27,55,58,cp
33,47,53,29,cp
36,54,41,46,cp
44,49,39,4,cp
37,44,42,47,cp
0,38,42,55,cp
44,34,3,43,cp
37,52,42,36,cp
26,26,34,35,cp
4,45,38,0,cp
42,38,54,43,cp
4,46,52,56,cp
31,23,73,14,cp
24,34,38,4,cp
51,46,58,41,cp
29,28,44,34,cp
4,41,55,33,cp
41,51,58,31,cp
42,24,57,37,cp
44,35,55,61,cp
21,51,5,41,cp
34,46,52,44,cp
43,32,33,52,cp
16,43,54,37,cp
4,29,42,44,cp
51,5,46,35,cp
38,46,48,29,cp
38,26,54,28,cp
17,52,49,46,cp
47,29,51,43,cp
53,38,44,36,cp
34,45,38,35,cp
24,35,31,31,cp
44,51,47,36,cp
43,37,53,44,cp
56,4,49,46,cp
24,41,49,34,cp
39,32,46,35,cp
5,51,27,34,cp
36,39,48,23,cp
53,42,16,39,cp
51,49,53,26,cp
54,47,28,42,cp
41,43,5,25,cp
41,48,51,51,cp
4,5,45,47,cp
52,57,42,54,cp
49,43,49,4,cp
23,58,37,59,cp
32,42,35,38,cp
25,4,47,42,cp
25,4,46,52,cp
47,47,22,26,cp
65,47,59,4,cp
48,42,45,35,cp
44,35,44,59,cp
27,42,37,43,cp
36,42,53,41,cp
56,51,34,46,cp
34,28,41,44,cp
18,3,46,35,cp
61,36,49,44,cp
43,4,39,39,cp
43,39,47,41,cp
34,33,38,44,cp
64,76,45,38,cp
41,43,45,41,cp
26,4,36,37,cp
