@relation ecoli

@attribute Mcg numeric
@attribute Gvh numeric
@attribute Aac numeric
@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
21,34,51,28,cp
22,43,48,16,cp
4,29,42,35,cp
65,47,59,3,cp
28,38,5,33,cp
44,56,5,46,cp
25,37,43,26,cp
5,49,49,46,cp
3,45,36,21,cp
38,4,63,25,cp
47,28,56,2,cp
38,44,43,2,cp
41,51,58,2,cp
37,44,42,39,cp
16,43,54,27,cp
23,48,59,88,im
12,67,74,58,im
48,41,51,9,im
49,42,53,79,im
33,37,46,65,im
41,51,53,75,im
31,36,58,94,im
63,49,54,76,imS
69,43,59,74,imU
47,46,62,74,imU
64,45,67,61,imU
61,75,51,33,om
64,57,7,33,om
77,57,37,54,omL
7,61,56,52,pp
65,57,47,47,pp
66,74,31,38,pp
69,67,3,39,pp
69,66,41,5,pp
