@relation ecoli

@attribute Alm1 numeric
@attribute Site {cp,im,imS,imL,imU,om,omL,pp}

@data
35,cp
42,cp
34,cp
31,cp
33,cp
38,cp
49,cp
26,cp
28,cp
3,cp
42,cp
3,cp
45,cp
22,cp
2,cp
32,cp
22,cp
23,cp
33,cp
28,cp
4,cp
52,cp
45,cp
28,cp
2,cp
39,cp
48,cp
47,cp
39,cp
25,cp
21,cp
24,cp
29,cp
22,cp
3,cp
16,cp
28,cp
22,cp
42,cp
27,cp
28,cp
33,cp
28,cp
6,cp
27,cp
29,cp
32,cp
39,cp
38,cp
37,cp
26,cp
35,cp
24,cp
3,cp
28,cp
31,cp
37,cp
29,cp
24,cp
24,cp
11,cp
21,cp
32,cp
34,cp
35,cp
27,cp
35,cp
26,cp
49,cp
36,cp
41,cp
44,cp
44,cp
33,cp
32,cp
44,cp
52,cp
38,cp
32,cp
38,cp
23,cp
47,cp
37,cp
15,cp
37,cp
19,cp
37,cp
31,cp
26,cp
3,cp
34,cp
35,cp
29,cp
51,cp
33,cp
22,cp
3,cp
36,cp
55,cp
14,cp
16,cp
18,cp
38,cp
24,cp
35,cp
34,cp
46,cp
25,cp
31,cp
5,cp
26,cp
29,cp
27,cp
33,cp
46,cp
28,cp
2,cp
35,cp
33,cp
25,cp
17,cp
22,cp
28,cp
18,cp
45,cp
34,cp
25,cp
52,cp
16,cp
7,im
67,im
62,im
71,im
78,im
71,im
72,im
71,im
74,im
47,im
66,im
65,im
67,im
76,im
76,im
78,im
8,im
67,im
84,im
82,im
65,im
71,im
85,im
85,im
58,im
87,im
79,im
92,im
71,im
64,im
77,im
81,im
75,im
78,im
61,im
9,im
7,im
39,im
78,im
87,im
82,im
8,im
81,im
94,im
88,im
67,im
72,im
79,im
92,im
9,im
69,im
75,im
78,im
72,im
73,im
66,im
86,im
79,im
88,im
88,im
7,im
77,im
78,im
65,im
79,im
76,im
76,im
76,im
61,im
76,imS
52,imS
47,imL
82,imL
86,imU
87,imU
64,imU
61,imU
78,imU
71,imU
71,imU
81,imU
82,imU
77,imU
74,imU
66,imU
72,imU
49,imU
67,imU
81,imU
73,imU
89,imU
7,imU
73,imU
77,imU
73,imU
76,imU
77,imU
78,imU
74,imU
75,imU
92,imU
78,imU
73,imU
76,imU
5,om
36,om
57,om
33,om
54,om
38,om
53,om
39,om
41,om
4,om
45,om
43,om
53,om
54,om
59,om
33,om
4,om
54,om
56,omL
55,omL
54,omL
58,omL
59,omL
47,pp
47,pp
42,pp
38,pp
55,pp
28,pp
5,pp
84,pp
57,pp
52,pp
36,pp
51,pp
51,pp
41,pp
48,pp
49,pp
35,pp
47,pp
49,pp
65,pp
5,pp
54,pp
57,pp
53,pp
54,pp
39,pp
44,pp
36,pp
7,pp
4,pp
49,pp
68,pp
44,pp
51,pp
31,pp
45,pp
54,pp
37,pp
39,pp
39,pp
37,pp
45,pp
39,pp
52,pp
39,pp
49,pp
42,pp
