@relation contraceptive

@attribute Wife_education numeric
@attribute Husband_education numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
2,2,5,1
3,3,1,1
4,4,1,1
2,3,1,1
4,4,2,1
4,4,0,1
1,4,8,1
3,4,3,1
2,3,3,1
3,4,0,1
1,4,0,1
1,2,5,1
3,4,3,1
2,3,11,1
3,3,2,1
1,2,8,1
4,4,1,1
3,2,4,1
1,2,2,1
2,3,0,1
3,4,4,1
1,3,4,1
3,4,1,1
4,4,4,1
4,4,6,1
1,2,7,1
4,4,3,1
1,2,6,1
3,3,4,1
2,4,5,1
3,4,0,1
4,4,4,1
3,3,0,1
4,4,2,1
3,4,2,1
1,4,6,1
3,4,6,1
3,4,1,1
3,4,4,1
4,4,1,1
1,1,8,1
3,3,6,1
1,2,8,1
3,3,2,1
1,3,12,1
2,4,3,1
1,3,4,1
4,4,1,1
3,3,5,1
2,3,2,1
3,4,6,1
1,2,7,1
2,2,2,1
1,1,3,1
3,4,5,1
3,4,0,1
4,4,0,1
1,2,8,1
3,4,2,1
4,4,0,1
2,1,0,1
4,4,1,1
1,2,0,1
4,4,2,1
1,1,0,1
2,2,6,1
4,4,0,1
3,4,1,1
4,4,1,1
2,4,4,1
3,4,0,1
4,4,2,1
3,4,5,1
2,4,1,1
2,4,1,1
2,1,3,1
2,3,1,1
4,4,1,1
3,4,10,1
1,4,2,1
4,4,3,1
2,4,0,1
3,4,2,1
4,4,3,1
3,4,2,1
3,4,7,1
3,4,3,1
2,3,2,1
1,3,9,1
4,4,1,1
4,4,3,1
4,4,1,1
3,3,2,1
3,4,0,1
2,3,8,1
2,1,5,1
4,4,4,1
3,2,0,1
2,3,4,1
4,4,3,1
4,4,5,1
2,3,4,1
3,4,2,1
4,4,0,1
2,2,8,1
3,4,1,1
2,3,7,1
3,3,1,1
3,3,5,1
2,3,1,1
2,4,2,1
3,2,2,1
2,2,6,1
4,4,1,1
3,4,5,1
4,4,0,1
3,3,4,1
3,3,1,1
2,2,1,1
3,3,1,1
3,4,2,1
4,4,5,1
2,4,1,1
2,4,0,1
2,2,3,1
1,2,2,1
3,4,0,1
4,4,3,1
3,3,1,1
4,4,0,1
3,3,1,1
2,3,0,1
4,4,3,1
2,1,3,1
3,4,1,1
2,2,4,1
3,4,0,1
4,4,1,1
1,2,1,1
4,4,3,1
2,3,3,1
1,4,1,1
3,4,0,1
1,2,7,1
2,3,2,1
2,4,0,1
4,4,3,1
4,4,0,1
3,3,4,1
4,4,1,1
2,3,3,1
4,4,2,1
2,4,5,1
2,3,1,1
4,3,5,1
4,4,4,1
1,1,7,1
2,3,5,1
3,2,9,1
2,4,2,1
3,4,0,1
3,3,6,1
3,4,4,1
4,4,3,1
3,4,0,1
4,4,1,1
3,4,2,1
4,4,2,1
4,4,3,1
1,1,6,1
1,2,2,1
3,3,1,1
1,4,8,1
1,3,2,1
1,2,4,1
2,2,1,1
1,2,0,1
4,4,2,1
3,2,1,1
3,2,1,1
2,2,8,1
1,4,2,1
4,4,2,1
4,4,1,1
3,2,11,1
2,4,3,1
1,3,4,1
4,4,1,1
3,3,5,1
1,2,2,1
4,4,2,1
3,3,2,1
2,2,10,1
3,4,2,1
2,2,0,1
3,4,4,1
2,3,1,1
2,3,6,1
2,3,2,1
2,2,1,1
2,4,6,1
3,4,8,1
4,4,5,1
2,3,6,1
4,4,2,1
4,4,0,1
2,2,3,1
1,2,7,1
3,4,1,1
1,2,3,1
1,3,10,1
4,4,6,1
2,3,2,1
2,4,0,1
4,4,3,1
1,3,0,1
2,3,10,1
2,2,1,1
4,4,0,1
2,2,3,1
4,4,10,1
3,3,8,1
1,2,2,1
2,4,3,1
1,3,1,1
3,3,2,1
2,3,1,1
4,4,2,1
1,3,4,1
4,4,1,1
4,4,1,1
2,4,2,1
2,4,0,1
2,3,0,1
1,1,5,1
3,2,11,1
3,4,2,1
1,4,2,1
2,4,4,1
2,4,1,1
2,4,5,1
2,3,1,1
4,4,3,1
4,4,2,1
2,3,5,1
2,3,0,1
3,4,3,1
4,4,1,1
4,4,1,1
4,4,5,1
3,4,2,1
2,4,1,1
2,2,3,1
3,3,4,1
4,4,0,1
1,1,5,1
2,3,4,1
1,2,2,1
4,3,4,1
3,4,3,1
1,2,8,1
3,4,4,1
4,4,1,1
4,4,0,1
1,3,6,1
3,4,7,1
3,4,4,1
2,3,2,1
4,4,0,1
3,4,0,1
2,2,2,1
2,3,8,1
4,4,6,1
3,4,1,1
2,2,2,1
2,2,4,1
1,3,1,1
4,4,1,1
4,4,3,1
1,2,4,1
4,4,1,1
3,2,5,1
1,1,2,1
4,4,4,1
2,3,1,1
4,4,1,1
2,4,1,1
3,4,0,1
2,2,8,1
3,3,2,1
1,2,4,1
3,4,2,1
4,4,5,1
3,3,2,1
4,4,7,1
2,4,0,1
4,4,2,1
2,4,2,1
1,2,6,1
4,4,1,1
2,4,1,1
1,3,7,1
2,3,3,1
4,4,1,1
1,2,8,1
1,1,5,1
1,3,12,1
2,3,4,1
4,4,1,1
3,3,2,1
4,4,0,1
3,4,1,1
2,2,9,1
1,1,7,1
4,4,0,1
4,4,2,1
4,3,0,1
2,3,1,1
4,2,8,1
1,1,8,1
3,4,2,1
2,4,6,1
2,3,3,1
1,3,10,1
4,4,0,1
4,4,1,1
1,3,4,1
4,4,5,1
1,1,6,1
2,3,3,1
3,3,1,1
1,2,4,1
1,4,5,1
4,4,3,1
3,3,6,1
1,3,0,1
1,3,1,1
2,3,0,1
2,3,1,1
4,4,0,1
2,4,0,1
1,3,0,1
2,2,7,1
4,4,3,1
2,4,4,1
1,4,9,1
2,2,3,1
2,2,7,1
3,4,2,1
2,3,3,1
3,2,3,1
1,2,2,1
2,3,1,1
3,4,3,1
4,4,0,1
2,2,1,1
2,3,2,1
3,4,2,1
4,4,5,1
4,4,2,1
2,4,2,1
1,3,8,1
1,1,0,1
4,4,0,1
2,2,3,1
4,3,3,1
3,4,2,1
3,3,3,1
3,3,7,1
4,4,1,1
4,4,4,1
3,4,2,1
3,4,0,1
2,4,1,1
2,4,6,1
3,4,1,1
1,4,7,1
1,2,1,1
3,4,3,1
3,3,3,1
4,4,1,1
1,1,11,1
3,1,1,1
4,4,2,1
3,4,2,1
2,1,6,1
4,4,2,1
4,4,1,1
3,4,3,1
1,2,2,1
2,2,1,1
4,4,3,1
2,1,5,1
2,2,2,1
1,2,1,1
4,4,5,1
4,4,6,1
3,4,1,1
2,4,3,1
3,4,3,1
2,3,2,1
2,2,3,1
2,3,1,1
4,4,2,1
2,1,10,1
4,4,0,1
2,3,0,1
4,4,1,1
4,4,5,1
3,4,8,1
4,4,1,1
1,1,8,1
3,4,1,1
4,2,0,1
3,3,3,1
4,4,0,1
1,2,4,1
1,4,4,1
3,4,0,1
2,2,8,1
4,4,0,1
4,4,1,1
3,4,0,1
2,3,2,1
2,4,0,1
3,2,0,1
2,3,1,1
3,4,4,1
3,4,1,1
2,3,1,1
3,4,6,1
3,4,1,1
1,1,7,1
3,4,10,1
4,4,2,1
2,2,3,1
2,4,2,1
3,3,0,1
3,4,0,1
2,2,2,1
3,4,1,1
3,4,0,1
2,4,2,1
2,3,1,1
2,2,1,1
1,1,6,1
3,3,2,1
2,3,4,1
3,4,9,1
3,4,0,1
4,4,0,1
2,2,2,1
4,4,1,1
2,3,1,1
2,3,1,1
4,2,0,1
3,4,4,1
4,4,2,1
1,2,6,1
2,4,1,1
4,4,0,1
3,4,0,1
4,4,0,1
2,4,5,1
4,4,1,1
1,1,3,1
3,4,11,1
2,2,6,1
2,4,2,1
1,3,5,1
4,4,1,1
4,4,0,1
4,4,0,1
1,3,0,1
4,4,1,1
2,3,0,1
2,4,8,1
2,4,1,1
2,3,6,1
2,3,12,1
4,4,1,1
4,4,1,1
3,4,1,1
2,4,5,1
2,3,5,1
4,4,2,1
1,3,2,1
4,4,4,1
4,4,6,1
3,4,2,1
2,3,1,1
4,4,1,1
2,3,5,1
3,4,2,1
4,4,0,1
3,3,3,1
2,4,8,1
2,2,2,1
1,2,1,1
2,4,2,1
4,4,2,1
4,4,1,1
4,4,3,1
3,3,3,1
4,4,2,1
4,4,1,1
1,4,4,1
4,4,1,1
2,4,2,1
2,2,1,1
3,4,0,1
2,3,8,1
1,2,12,1
1,2,0,1
1,3,1,1
4,4,4,1
2,3,4,1
4,4,3,1
1,4,11,1
2,2,4,1
3,4,1,1
3,3,2,1
4,4,2,1
3,4,1,1
4,4,1,1
3,4,1,1
3,4,6,1
1,3,3,1
2,2,0,1
4,4,2,1
4,4,3,1
4,4,0,1
2,3,2,1
3,4,2,1
2,2,2,1
3,4,4,1
2,2,6,1
1,1,1,1
4,4,1,1
4,4,0,1
4,4,1,1
2,4,2,1
3,3,6,1
2,4,4,1
2,2,8,1
3,4,4,1
3,4,6,1
1,3,5,1
3,4,2,1
2,3,3,1
2,3,2,1
3,3,5,1
4,4,1,1
1,1,4,1
4,4,4,1
4,4,4,1
1,2,3,1
4,4,1,1
4,4,1,1
1,2,8,1
3,4,0,1
4,4,0,1
3,4,3,1
2,3,1,1
4,4,1,1
2,4,4,1
4,4,4,2
2,1,2,2
3,3,6,2
3,4,7,2
4,4,3,2
3,3,4,2
4,4,3,2
3,3,2,2
4,4,3,2
2,4,2,2
2,3,2,2
4,4,1,2
4,4,3,2
4,4,3,2
4,4,3,2
3,4,3,2
1,4,2,2
4,4,1,2
4,1,4,2
3,3,2,2
4,4,2,2
4,4,1,2
4,4,7,2
4,4,1,2
4,4,1,2
4,4,4,2
3,4,2,2
4,4,3,2
4,4,5,2
4,4,6,2
4,4,7,2
3,3,2,2
4,4,6,2
4,4,2,2
4,4,4,2
2,3,5,2
2,4,3,2
4,4,5,2
4,4,1,2
4,4,3,2
2,2,4,2
3,4,3,2
4,4,1,2
4,4,4,2
4,3,5,2
3,3,9,2
4,4,2,2
3,4,1,2
4,4,3,2
3,3,1,2
4,4,3,2
4,4,1,2
4,4,3,2
3,4,2,2
3,4,1,2
4,4,2,2
3,3,2,2
4,4,4,2
4,4,5,2
4,4,2,2
3,3,6,2
2,4,8,2
4,4,1,2
4,4,3,2
4,4,8,2
4,4,7,2
3,4,3,2
4,4,4,2
3,4,7,2
3,4,4,2
4,4,2,2
4,4,5,2
4,4,8,2
4,4,2,2
2,3,1,2
4,3,7,2
4,4,7,2
3,4,7,2
2,4,3,2
4,4,2,2
4,4,3,2
4,4,1,2
3,3,2,2
3,4,3,2
4,4,2,2
4,4,3,2
4,4,4,2
3,4,11,2
2,3,4,2
4,4,2,2
4,4,4,2
4,4,4,2
4,4,2,2
2,3,7,2
4,4,5,2
2,4,4,2
1,1,8,2
4,4,4,2
4,4,4,2
3,4,3,2
4,4,1,2
4,4,1,2
3,4,5,2
4,4,5,2
4,4,2,2
3,1,4,2
3,3,4,2
3,4,3,2
2,2,6,2
4,4,2,2
4,4,2,2
2,2,7,2
3,3,6,2
4,4,6,2
2,2,6,2
4,4,3,2
4,4,4,2
4,4,1,2
4,4,2,2
4,4,5,2
3,4,2,2
4,4,1,2
4,4,3,2
2,2,9,2
3,3,4,2
3,4,3,2
4,4,10,2
3,3,2,2
4,4,3,2
4,4,4,2
4,4,4,2
4,4,4,2
3,4,2,2
4,4,3,2
4,4,3,2
4,4,6,2
2,4,5,2
2,4,4,2
3,4,5,2
4,4,4,2
4,4,1,2
4,4,3,2
4,4,1,2
4,4,1,2
3,3,4,2
4,4,4,2
4,4,1,2
4,4,3,2
2,4,3,2
2,2,8,2
2,3,5,2
4,4,1,2
3,2,6,2
4,4,7,2
4,4,2,2
4,4,5,2
4,4,2,2
4,4,7,2
4,4,6,2
4,4,3,2
3,4,3,2
2,4,2,2
4,4,2,2
1,3,7,2
4,4,5,2
3,4,3,2
4,4,3,2
1,1,10,2
4,4,1,2
4,4,3,2
4,4,5,2
4,4,4,2
4,4,3,2
4,3,7,2
4,4,4,2
3,2,5,2
3,3,2,2
4,4,2,2
4,4,3,2
3,4,5,2
2,4,13,2
4,4,4,2
4,3,3,2
4,4,4,2
4,4,3,2
4,4,2,2
4,4,5,2
4,4,4,2
4,4,3,2
4,4,4,2
4,4,2,2
4,4,3,2
4,4,3,2
3,4,2,2
3,4,3,2
4,4,6,2
4,4,5,2
3,3,7,2
3,4,1,2
3,4,2,2
3,1,2,2
2,4,2,2
4,4,2,2
4,4,1,2
2,2,1,2
2,1,5,2
3,3,3,2
4,4,3,2
4,4,2,2
4,4,4,2
4,4,8,2
3,4,5,2
4,4,3,2
4,4,7,2
4,4,5,2
4,4,2,2
2,2,3,2
3,4,7,2
4,4,4,2
3,4,4,2
3,3,5,2
3,4,1,2
4,4,1,2
4,4,4,2
4,4,6,2
3,3,2,2
4,4,4,2
3,3,6,2
4,4,4,2
4,4,4,2
2,3,7,2
4,4,4,2
3,4,4,2
2,2,7,2
2,3,2,2
3,3,5,2
3,4,6,2
4,4,3,2
3,3,5,2
4,4,3,2
4,4,4,2
4,4,2,2
4,4,6,2
4,4,3,2
4,4,3,2
4,4,1,2
3,3,4,2
2,2,8,2
2,4,6,2
3,3,1,2
3,3,5,2
4,4,1,2
4,4,3,2
4,4,1,2
4,4,2,2
4,4,1,2
4,4,2,2
4,4,4,2
4,3,8,2
4,4,6,2
4,4,1,2
3,3,6,2
2,4,1,2
4,4,4,2
4,4,4,2
