@relation australian

@attribute A8 {0,1}
@attribute A13 numeric
@attribute Class {0,1}

@data
1,43,1
1,470,1
1,140,0
0,320,0
1,330,1
0,80,0
0,112,0
1,434,1
0,454,0
0,280,0
1,0,1
1,75,0
1,340,1
1,100,1
1,130,0
1,240,1
1,0,1
0,164,1
0,280,0
0,340,0
1,280,0
0,720,0
1,50,1
1,0,1
1,96,1
0,231,0
0,0,0
0,80,0
1,0,1
0,96,0
0,225,0
1,0,1
0,220,0
1,0,1
0,160,0
0,0,0
1,120,1
0,0,0
1,204,1
0,145,0
0,711,1
1,80,1
0,0,0
0,272,0
1,371,1
1,274,1
0,200,0
1,432,1
1,32,1
0,221,0
0,200,0
0,108,0
1,0,1
0,320,0
0,340,0
1,80,1
0,360,0
0,180,0
0,144,0
1,0,1
1,0,0
0,465,0
0,400,0
1,80,1
1,280,1
1,380,1
0,200,0
0,372,0
1,120,1
