@relation crx

@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A9 {t,f}
@attribute A11 numeric
@attribute Class {positive,negative}

@data
x,t,6,positive
m,t,6,positive
k,f,0,positive
aa,t,1,positive
x,t,1,positive
m,t,5,positive
w,t,3,positive
d,t,0,positive
c,t,8,positive
r,t,0,positive
cc,f,0,positive
q,t,4,positive
c,t,0,positive
c,t,5,positive
w,t,1,positive
w,t,0,positive
q,t,3,positive
c,f,0,positive
e,t,0,positive
c,t,11,positive
cc,t,0,positive
w,t,6,positive
aa,t,0,positive
w,t,11,positive
ff,f,0,positive
k,t,0,positive
cc,t,6,positive
w,t,0,positive
aa,t,3,positive
x,t,0,positive
w,t,6,positive
c,t,0,positive
c,t,14,positive
c,t,11,positive
aa,t,2,positive
w,t,6,positive
w,t,12,positive
cc,t,7,positive
q,t,0,positive
m,t,6,positive
cc,t,1,positive
c,t,0,positive
w,t,1,positive
x,t,1,positive
q,t,7,positive
q,t,7,positive
c,t,6,positive
m,t,0,positive
w,t,0,positive
cc,f,0,positive
c,t,16,positive
e,t,1,positive
w,t,5,positive
c,t,0,positive
cc,t,1,positive
w,t,0,positive
x,t,4,positive
k,t,11,positive
aa,t,3,positive
x,t,1,positive
i,t,7,positive
k,t,0,positive
q,t,0,positive
i,t,0,positive
q,t,0,positive
w,t,2,positive
x,t,9,positive
m,t,2,positive
c,t,9,positive
cc,t,0,positive
q,t,6,positive
q,t,5,positive
aa,t,3,positive
c,t,0,positive
cc,t,9,positive
cc,t,2,positive
q,t,2,positive
aa,t,0,positive
cc,t,8,positive
e,t,5,positive
e,t,11,positive
x,t,0,positive
q,t,12,positive
e,t,14,positive
q,t,5,positive
c,t,8,positive
q,t,1,positive
k,t,10,positive
ff,t,15,positive
q,t,0,positive
aa,t,5,positive
x,t,5,positive
ff,t,1,positive
x,t,4,positive
w,t,0,positive
d,t,0,positive
q,t,5,positive
c,t,3,positive
q,t,0,positive
w,t,0,positive
c,t,6,positive
e,t,7,positive
q,t,14,positive
c,t,2,positive
w,t,1,positive
cc,t,0,positive
q,f,0,positive
c,t,0,positive
