@relation crx

@attribute A5 {g,p,gg}
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A13 {g,s,p}
@attribute Class {positive,negative}

@data
p,t,f,g,positive
g,t,f,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
p,t,t,g,positive
p,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,f,s,positive
g,t,t,s,positive
g,f,t,s,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
p,t,t,g,positive
g,t,f,s,positive
g,t,t,g,positive
g,t,t,g,positive
gg,f,f,s,positive
g,t,f,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
p,t,f,s,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
p,t,f,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,f,s,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,f,f,g,positive
g,t,f,g,positive
g,t,t,g,positive
p,f,f,g,positive
g,t,t,g,positive
p,f,f,g,positive
g,t,t,g,positive
p,t,t,g,positive
p,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
p,t,f,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,f,f,g,positive
g,f,f,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,f,f,s,positive
p,t,t,g,positive
g,t,t,g,positive
p,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
p,t,t,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,f,g,positive
g,t,t,g,positive
p,t,t,g,positive
g,t,t,g,positive
g,t,f,g,positive
p,t,f,s,positive
g,t,f,s,positive
g,t,t,g,positive
g,t,t,g,positive
p,t,f,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
p,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
p,t,t,g,positive
g,t,f,s,positive
g,t,f,g,positive
p,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,f,f,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
g,f,f,g,positive
g,t,t,g,positive
p,t,t,g,positive
g,t,t,g,positive
g,t,t,g,positive
