@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A13,A42,A143,A172,1
A11,A40,A143,A172,1
A13,A46,A143,A172,1
A14,A42,A142,A173,1
A11,A43,A143,A174,1
A14,A43,A142,A173,1
A14,A43,A143,A172,1
A14,A43,A143,A173,1
A11,A42,A143,A172,1
A14,A41,A143,A172,1
A11,A40,A143,A172,1
A14,A42,A143,A173,1
A14,A41,A143,A174,1
A14,A40,A143,A174,1
A11,A40,A143,A173,1
A12,A43,A143,A173,1
A14,A43,A143,A173,1
A14,A43,A143,A172,1
A12,A42,A143,A173,1
A11,A42,A143,A172,1
A14,A43,A143,A173,1
A14,A40,A143,A173,1
A14,A43,A143,A173,1
A11,A40,A143,A173,1
A12,A49,A143,A172,1
A14,A41,A141,A173,1
A14,A43,A143,A173,1
A12,A46,A143,A173,1
A14,A41,A143,A173,1
A11,A49,A143,A173,1
A11,A40,A143,A173,1
A12,A42,A143,A173,1
A14,A40,A143,A173,1
A11,A40,A143,A173,1
A14,A42,A143,A173,1
A14,A43,A142,A173,1
A14,A42,A143,A173,1
A14,A43,A143,A173,1
A14,A49,A141,A172,1
A14,A40,A143,A172,1
A12,A42,A143,A173,1
A12,A49,A143,A173,1
A13,A41,A143,A173,1
A14,A43,A141,A173,1
A13,A42,A141,A174,1
A12,A42,A143,A173,1
A14,A43,A143,A173,1
A14,A44,A143,A173,1
A14,A46,A143,A172,1
A12,A42,A141,A173,1
A11,A40,A143,A172,1
A14,A43,A143,A173,1
A14,A43,A141,A174,1
A13,A43,A141,A172,1
A12,A41,A143,A174,1
A12,A42,A143,A173,1
A14,A43,A143,A173,1
A14,A41,A143,A173,1
A11,A40,A143,A173,1
A14,A42,A141,A173,1
A12,A49,A141,A174,1
A14,A43,A141,A173,1
A12,A40,A143,A171,1
A11,A43,A143,A173,1
A14,A49,A143,A173,1
A14,A43,A143,A173,1
A14,A42,A143,A173,1
A11,A410,A143,A174,1
A11,A42,A143,A173,1
A14,A40,A143,A173,1
A14,A43,A143,A173,1
A14,A49,A143,A173,1
A12,A46,A143,A173,1
A14,A41,A143,A173,1
A12,A40,A143,A173,1
A12,A49,A143,A172,1
A14,A41,A143,A173,1
A11,A40,A141,A173,1
A14,A41,A143,A173,1
A12,A43,A143,A172,1
A14,A46,A141,A172,1
A14,A43,A141,A173,1
A11,A42,A143,A173,1
A14,A43,A143,A173,1
A12,A43,A143,A173,1
A11,A40,A143,A173,1
A14,A45,A143,A173,1
A14,A49,A143,A173,1
A11,A42,A143,A173,1
A14,A43,A143,A173,1
A12,A42,A143,A173,1
A12,A41,A143,A174,1
A11,A41,A141,A173,1
A11,A43,A143,A174,1
A11,A42,A143,A173,1
A11,A40,A143,A173,1
A12,A43,A143,A173,1
A14,A40,A143,A173,1
A14,A41,A143,A173,1
A13,A49,A143,A173,1
A14,A41,A143,A173,1
A14,A42,A143,A173,1
A14,A43,A141,A174,1
A14,A42,A141,A173,1
A14,A42,A143,A173,1
A14,A43,A143,A173,1
