@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Customer {1,2}

@data
A13,24,A42,A61,A93,1
A14,6,A40,A61,A93,1
A12,6,A43,A61,A92,1
A14,6,A43,A63,A93,1
A14,24,A45,A61,A93,1
A13,15,A49,A61,A93,1
A12,26,A41,A61,A93,1
A14,24,A40,A61,A92,1
A14,15,A43,A65,A94,1
A13,24,A49,A64,A91,1
A14,6,A42,A63,A93,1
A14,9,A46,A63,A93,1
A14,12,A41,A65,A92,1
A11,10,A42,A65,A92,1
A14,24,A43,A63,A93,1
A14,10,A46,A63,A93,1
A11,12,A42,A65,A91,1
A14,15,A41,A61,A92,1
A12,21,A40,A61,A91,1
A11,42,A45,A61,A93,1
A13,12,A40,A61,A92,1
A14,15,A42,A61,A93,1
A11,30,A41,A62,A94,1
A12,13,A43,A61,A92,1
A14,39,A41,A62,A93,1
A11,6,A40,A61,A92,1
A12,9,A40,A65,A92,1
A11,36,A42,A61,A93,1
A14,24,A43,A61,A93,1
A11,24,A41,A61,A93,1
A12,24,A41,A65,A93,1
A14,36,A41,A61,A93,1
A11,6,A43,A63,A93,1
A11,6,A40,A64,A92,1
A11,21,A40,A61,A93,1
A14,10,A43,A61,A93,1
A14,12,A41,A64,A93,1
A14,12,A42,A65,A93,1
A12,27,A41,A61,A93,1
A12,15,A49,A63,A93,1
A11,6,A41,A63,A92,1
A14,36,A40,A63,A93,1
A14,24,A43,A61,A94,1
A14,21,A43,A65,A93,1
A12,36,A46,A61,A93,1
A12,21,A42,A65,A93,1
A14,18,A43,A61,A93,1
A13,6,A40,A61,A93,1
A11,24,A42,A61,A93,1
A14,15,A41,A65,A93,1
A13,12,A43,A61,A94,1
A14,36,A43,A65,A93,1
A14,24,A40,A61,A93,1
A14,12,A43,A61,A93,1
A14,7,A43,A65,A93,1
A11,6,A42,A61,A92,1
A14,36,A46,A65,A93,1
A14,15,A42,A64,A92,1
A12,15,A45,A62,A92,1
A13,18,A42,A61,A92,1
A14,12,A43,A62,A93,1
A14,24,A40,A65,A94,1
A12,16,A40,A61,A93,1
A14,18,A40,A61,A92,1
A14,60,A43,A62,A92,1
A11,12,A42,A61,A93,1
A14,12,A46,A61,A93,1
A14,6,A43,A61,A94,1
A14,15,A41,A61,A93,1
A12,9,A43,A61,A93,1
A14,12,A43,A65,A92,1
A14,24,A43,A65,A93,1
A12,12,A48,A65,A93,1
A14,18,A43,A61,A93,1
A13,12,A43,A65,A93,1
A14,21,A49,A64,A92,1
A14,9,A40,A63,A93,1
A11,27,A49,A61,A93,1
A14,24,A42,A61,A93,1
A12,18,A42,A61,A93,1
A12,18,A49,A65,A93,1
A14,6,A42,A64,A91,1
A14,21,A42,A62,A93,1
A11,18,A43,A61,A93,1
A14,9,A46,A65,A93,1
A14,36,A41,A64,A93,1
A11,24,A40,A62,A93,1
A14,12,A42,A61,A93,1
A14,24,A49,A65,A93,1
A11,30,A43,A61,A93,1
A12,36,A41,A61,A93,1
A11,30,A41,A61,A91,1
A12,18,A49,A61,A93,1
A12,6,A49,A62,A91,1
A12,30,A43,A65,A92,1
A12,11,A43,A61,A93,1
A14,24,A41,A61,A92,1
A14,6,A43,A61,A92,1
A14,12,A43,A61,A93,1
A14,48,A49,A65,A91,1
A14,33,A41,A61,A93,1
A14,12,A42,A61,A93,1
A11,20,A42,A61,A92,1
A12,7,A43,A61,A93,1
A14,36,A41,A65,A93,1
A12,39,A46,A62,A93,1
A14,12,A42,A61,A92,1
A14,15,A43,A61,A93,1
A11,24,A410,A61,A92,1
A14,15,A46,A62,A92,1
A11,24,A42,A65,A92,1
A12,18,A49,A61,A94,1
A14,6,A48,A65,A93,1
A14,10,A40,A61,A93,1
A12,12,A41,A61,A93,1
A14,24,A41,A65,A93,1
A11,24,A42,A61,A91,1
A11,6,A40,A65,A93,1
A12,12,A40,A62,A93,1
A14,24,A41,A61,A93,1
A13,36,A43,A61,A93,1
A14,24,A43,A61,A94,1
A12,12,A43,A61,A94,1
A14,24,A49,A61,A93,1
A14,18,A43,A65,A92,1
