@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A14,12,2748,3,1
A12,6,932,2,1
A14,24,929,1,1
A14,15,2788,2,1
A13,10,1225,1,1
A14,18,1149,2,1
A11,24,1382,2,1
A11,36,5371,2,1
A14,24,3430,1,1
A14,12,5801,1,1
A14,36,3342,1,1
A12,12,6078,1,1
A14,12,996,2,1
A11,12,2577,1,1
A12,18,1113,1,1
A14,42,7166,1,1
A14,12,930,4,1
A11,24,2957,2,1
A12,10,7308,1,1
A11,12,1107,1,1
A11,24,2384,1,1
A14,12,1264,1,1
A14,9,2301,1,1
A12,24,5743,2,1
A13,36,5848,1,1
A14,24,6842,2,1
A12,9,1919,1,1
A14,6,1743,2,1
A12,30,2181,2,1
A14,24,7814,1,1
A14,48,6110,1,1
A14,36,5842,2,1
A14,24,4679,2,1
A12,9,1199,2,1
A12,20,7057,2,1
A11,12,1344,2,1
A12,15,2326,1,1
A11,18,3104,1,1
A13,18,1445,1,1
A13,6,1343,2,1
A11,24,4020,1,1
A14,15,3594,2,1
A12,18,3213,1,1
A14,12,1736,1,1
A14,22,1283,1,1
A12,24,6967,1,1
A12,18,3872,1,1
A14,7,846,1,1
A12,18,3590,3,1
A14,48,3609,1,1
A14,24,1901,1,1
A11,27,3416,1,1
A14,12,701,2,1
A14,15,2221,1,1
A12,11,4771,1,1
A14,21,2241,2,1
A13,12,1480,3,1
A12,12,2028,1,1
A14,6,2108,1,1
A12,48,3566,1,1
A14,6,1204,1,1
A12,21,3652,2,1
A12,24,2760,1,1
A14,24,1851,2,1
A14,12,682,2,1
A11,30,10623,3,1
A12,11,1322,2,1
A12,24,3069,1,1
A11,12,652,1,1
A11,15,1053,1,1
A14,48,7629,2,1
A14,10,1924,1,1
A12,8,907,1,1
A14,10,2146,2,1
A13,24,1925,1,1
A14,60,10144,1,1
A11,12,1858,1,1
A14,36,3079,1,1
A14,24,3757,1,1
A11,13,1797,2,1
A11,36,2348,2,1
A11,12,1526,2,1
A14,24,5150,1,1
A14,18,1820,1,1
A11,24,1755,1,1
A14,4,3380,1,1
A14,6,1898,2,1
A13,12,2251,1,1
A14,6,1346,1,1
A12,24,2896,1,1
A12,27,5965,2,1
A14,24,3181,1,1
A13,6,2116,1,1
A14,24,1413,1,1
A14,10,2069,2,1
A14,24,1287,2,1
A14,18,3780,2,1
A14,36,909,1,1
A14,6,362,2,1
A12,21,2745,2,1
A14,24,1927,2,1
A14,24,3488,1,1
A14,15,1478,2,1
A14,24,5103,3,1
A14,18,2051,1,1
A14,15,1829,2,1
A14,15,3568,1,1
A14,12,3527,1,1
A14,6,1554,2,1
A12,12,1424,1,1
A12,18,5866,2,1
A11,24,1747,1,1
A14,24,3972,1,1
A12,36,3711,1,1
A12,24,5084,1,1
A13,12,1424,1,1
A11,24,1603,1,1
A12,30,3832,1,1
A11,24,3149,1,1
A11,18,2389,1,1
A12,18,1301,1,1
A14,6,2978,1,1
A12,24,1743,2,1
A11,12,1657,1,1
A12,42,9283,1,1
A14,6,518,1,1
A12,10,1521,1,1
A12,12,2930,1,1
A12,18,4439,1,1
A14,6,426,1,1
A13,12,1881,1,1
A14,24,4139,2,1
A14,12,3331,1,1
A12,6,484,1,1
A14,24,1525,1,1
A12,36,2273,2,1
A14,28,7824,2,1
A14,18,4594,1,1
A14,15,3343,1,1
A11,47,10722,1,1
A14,30,1867,1,1
A14,7,730,2,1
A14,22,2675,1,1
A11,21,3357,1,1
A14,9,1224,2,1
A14,9,3577,1,1
A12,30,2991,1,1
A11,12,2122,2,1
A14,15,3556,1,1
A12,15,2728,3,1
