@relation tae

@attribute Native numeric
@attribute Instructor numeric
@attribute Class {1,2,3}

@data
2,2,1
2,20,1
2,3,1
1,23,1
2,13,1
2,23,1
2,13,1
2,2,1
2,21,1
2,18,1
2,10,1
2,7,1
2,11,1
2,23,1
2,5,1
2,16,1
2,16,1
2,22,1
2,17,1
2,5,1
2,10,1
2,14,1
1,13,1
2,8,1
2,15,1
2,23,1
2,11,1
2,15,1
2,7,1
2,22,1
2,3,1
1,18,1
2,19,1
2,18,1
1,13,1
2,22,1
2,4,1
2,5,1
2,21,1
2,12,1
2,4,1
2,10,1
2,13,1
2,5,1
2,20,2
2,15,2
2,9,2
2,25,2
2,14,2
2,6,2
2,9,2
2,23,2
1,11,2
2,24,2
2,1,2
2,7,2
2,25,2
2,15,2
2,1,2
2,7,2
2,12,2
2,22,2
2,13,2
2,2,2
1,22,2
2,7,2
2,22,2
2,7,2
2,13,2
2,6,2
2,18,2
2,8,2
1,23,2
2,23,2
2,9,2
1,17,2
2,22,2
2,14,2
2,25,2
2,22,2
2,8,2
2,20,2
1,6,2
2,6,2
2,1,2
2,7,2
2,6,2
2,25,2
2,7,2
2,13,3
2,23,3
2,14,3
2,10,3
2,9,3
2,7,3
2,7,3
1,23,3
2,9,3
2,9,3
2,23,3
1,22,3
2,6,3
1,13,3
2,13,3
1,23,3
2,18,3
1,23,3
2,18,3
1,17,3
2,10,3
2,10,3
1,13,3
1,22,3
2,6,3
2,20,3
1,23,3
2,7,3
1,23,3
2,18,3
1,17,3
2,15,3
1,23,3
2,23,3
2,13,3
1,22,3
1,5,3
2,13,3
1,10,3
2,15,3
2,15,3
1,23,3
2,9,3
2,18,3
2,15,3
2,14,3
2,10,3
