@relation magic
@attribute FLength real [4.2835,  334.177]
@attribute FWidth real [0.0,  256.382]
@attribute FSize real [1.9413,  5.3233]
@attribute FConc real [0.0131,  0.893]
@attribute FConc1 real [3.0E-4,  0.6752]
@attribute FAsym real [-457.9161,  575.2407]
@attribute FM3Long real [-331.78,  238.321]
@attribute FM3Trans real [-205.8947,  179.851]
@attribute FAlpha real [0.0,  90.0]
@attribute FDist real [1.2826,  495.561]
@attribute Class {g, h}
@data
31.6036, 11.7235, 2.5185, 0.5303, 0.3773, 26.2722, 23.8238, -9.9574, 6.3609, 205.261, g
33.1818, 12.4655, 2.4955, 0.4696, 0.2412, -17.0341, -22.0762, -8.1803, 41.929, 41.3816, g
50.4829, 25.9699, 3.3194, 0.1941, 0.1133, 32.1193, 39.0162, -18.1839, 22.471, 141.601, g
87.5837, 33.3742, 3.9208, 0.125, 0.0667, 99.2131, 75.0174, -14.3854, 2.428, 255.315, g
25.4762, 12.0898, 2.4048, 0.4134, 0.2303, 7.0323, 15.7982, 6.2085, 24.847, 193.349, g
32.0586, 15.6976, 2.5072, 0.3826, 0.2037, -2.3114, -17.7455, -11.3244, 12.1807, 193.794, g
29.3424, 16.1814, 2.5496, 0.3272, 0.165, -51.8263, 23.7665, 7.7365, 39.189, 168.084, g
73.2547, 19.5552, 2.5545, 0.357, 0.1939, -44.1258, 34.5939, 16.6915, 23.149, 282.616, g
27.4888, 18.5665, 2.8639, 0.3078, 0.1854, 2.8405, 6.1522, -10.0668, 23.5868, 188.636, g
27.1044, 9.7779, 2.4241, 0.5198, 0.3145, -12.2606, -14.8614, -11.7431, 29.844, 225.566, g
35.577, 15.0526, 2.9805, 0.3964, 0.2202, 15.679, 14.3568, 4.1406, 2.0711, 225.707, g
25.0056, 16.7048, 2.2753, 0.4562, 0.2308, 10.5704, 18.3557, -14.0925, 4.2353, 169.08, g
24.3343, 14.9489, 2.5302, 0.3953, 0.1991, 16.4085, 14.006, -13.2107, 10.288, 125.972, g
78.6493, 34.0613, 3.7751, 0.1103, 0.0568, 82.1473, 66.0231, 15.8013, 3.227, 161.776, g
77.5343, 18.8832, 3.2671, 0.2584, 0.1436, 46.2902, 94.0484, 12.4317, 1.892, 213.191, g
20.5321, 15.3265, 2.4829, 0.4803, 0.2582, 21.9631, 14.7728, 9.8037, 44.9, 207.691, g
43.1994, 17.501, 2.8011, 0.2735, 0.1431, 44.9467, 40.3342, -4.6509, 7.6914, 154.427, g
31.5256, 7.4577, 2.3324, 0.6093, 0.3837, 33.1918, 21.022, -7.3445, 10.2785, 189.48, g
46.5588, 28.6929, 3.3971, 0.1864, 0.0996, 17.6816, 46.0987, 10.205, 12.727, 107.747, g
86.5346, 40.6201, 4.1111, 0.0915, 0.0458, 35.8899, 74.5456, 25.1406, 4.8152, 219.069, g
20.9663, 12.7298, 2.3274, 0.4282, 0.2141, 16.9437, 5.9588, -8.9597, 47.8491, 218.66, g
