@relation twonorm
@attribute A1 real [-4.2497,  3.5782]
@attribute A2 real [-3.9606,  4.3451]
@attribute A3 real [-4.4798,  4.4039]
@attribute A4 real [-3.8891,  4.2589]
@attribute A5 real [-3.9099,  5.6395]
@attribute A6 real [-4.0095,  3.9901]
@attribute A7 real [-3.7334,  4.4522]
@attribute A8 real [-4.5744,  3.8648]
@attribute A9 real [-3.8136,  4.254]
@attribute A10 real [-4.1999,  4.0829]
@attribute A11 real [-3.9204,  4.0953]
@attribute A12 real [-3.8262,  4.3025]
@attribute A13 real [-3.9451,  3.7817]
@attribute A14 real [-3.8516,  4.1238]
@attribute A15 real [-3.6978,  3.5485]
@attribute A16 real [-3.6976,  4.2439]
@attribute A17 real [-3.9428,  3.7233]
@attribute A18 real [-4.0653,  4.0557]
@attribute A19 real [-4.1218,  4.3238]
@attribute A20 real [-3.7831,  4.279]
@attribute Class {0, 1}
@data
0.7743, -0.606, -1.9338, -0.3614, 0.3864, -1.8636, -1.4551, -1.2079, -0.5478, -1.1045, -0.3664, 0.5462, -0.2295, -1.6227, 0.6551, -1.146, 0.9491, -2.757, -1.1497, 0.0191, 1
-0.552, 0.3249, 0.7253, 0.2089, 0.3148, -0.2104, 0.806, -0.3111, -2.3584, 1.488, 0.2229, 0.9096, -0.0908, -0.4096, 1.5287, -0.196, 0.3843, 0.1541, -0.2981, 0.5216, 1
1.2268, -0.4586, -1.9072, -2.0096, -0.8821, -1.1491, 0.7732, 0.4413, -2.0609, 0.2918, -0.1957, 0.0051, 1.0733, -0.4977, 0.3324, -1.0612, 0.4215, -0.7298, 0.2584, 0.4489, 1
-0.6421, 1.2597, 1.1962, 0.8457, 0.9736, 1.2865, 0.3038, 0.1019, 2.8203, -0.3667, 1.8319, 1.5014, 1.9451, -0.3823, -0.6084, 0.2132, -0.9558, -0.0103, 0.739, -0.0683, 0
-0.1769, -1.6978, -1.5334, 0.228, -1.9768, 0.1069, -0.5774, -0.6714, -1.1332, 0.7719, 0.2564, -1.213, -0.5503, -0.6047, -0.8091, -0.3889, 0.1346, 0.0564, 1.0598, -0.2599, 1
0.5283, 0.1669, 2.6369, 0.1932, 1.7476, 1.8988, 0.8558, 0.4779, 0.4476, -0.1636, -0.2842, -0.0062, 1.16, 0.7346, -1.7294, -1.3107, 0.1396, -1.4838, 0.8917, 0.345, 0
0.8945, 1.3853, 0.8183, 0.9456, -0.0506, 1.0774, 1.7774, 0.983, -0.3283, 1.9512, -0.0647, 1.9233, 0.53, 0.437, -0.8953, -0.096, 0.6377, -0.3734, -0.9387, 0.8343, 0
0.259, 0.9724, 0.3766, -0.6711, 0.9983, -0.1485, 1.0596, 0.591, 1.0219, 0.1522, 0.4087, 0.984, 0.7939, -0.7774, 0.2306, -0.1282, 0.0875, 1.0823, 1.1105, 0.7909, 0
-0.3438, -0.1739, -0.6549, -0.7821, 2.0776, 1.3049, -0.2648, -0.682, 0.0744, 1.3807, 0.0817, -0.1063, 0.232, 0.5576, -0.3211, -0.3333, -0.5777, -0.3035, -0.7787, 1.5534, 0
0.3672, -0.1598, 1.1018, 0.5652, -0.396, -4.0095, -0.3687, -2.2519, -0.4834, -1.7777, -1.3169, -0.092, -0.8363, 0.8129, -1.1099, 1.2035, -0.5026, 1.5536, 0.09, 0.2314, 1
0.2712, -1.1028, -1.0686, 0.8882, 0.1273, -0.4833, -0.5496, 0.2369, 0.7981, -0.46, -0.0843, -1.3433, 0.0181, -2.014, 0.4571, -0.0090, -0.7635, -0.3736, -0.7493, -1.5959, 1
1.1832, 0.935, -0.0917, -0.4426, 2.1138, 1.0274, 0.2197, 1.0591, 0.8606, -0.8846, -2.3166, 1.2382, 1.0141, 0.1799, 0.9439, -0.5491, -0.1926, -0.1972, 1.3361, 1.4905, 0
-0.6302, 0.752, -1.5985, 0.0631, 1.1767, -1.6683, 0.7911, 1.5351, -1.6554, -1.2818, -0.1032, -0.6549, -0.2763, 0.2223, -0.0504, -0.3175, 0.6381, -0.529, 0.0672, 1.5635, 1
-1.5159, -1.6066, -0.85, 0.3124, 1.1958, -2.1176, -0.6385, -0.0612, -0.3323, -0.3391, 2.0281, 0.1516, 0.467, 0.2467, 1.1569, -0.779, -1.2893, -0.1675, -0.3318, 0.8119, 1
