@relation twonorm
@attribute A1 real [-4.2497,  3.5782]
@attribute A2 real [-3.9606,  4.3451]
@attribute A3 real [-4.4798,  4.4039]
@attribute A4 real [-3.8891,  4.2589]
@attribute A5 real [-3.9099,  5.6395]
@attribute A6 real [-4.0095,  3.9901]
@attribute A7 real [-3.7334,  4.4522]
@attribute A8 real [-4.5744,  3.8648]
@attribute A9 real [-3.8136,  4.254]
@attribute A10 real [-4.1999,  4.0829]
@attribute A11 real [-3.9204,  4.0953]
@attribute A12 real [-3.8262,  4.3025]
@attribute A13 real [-3.9451,  3.7817]
@attribute A14 real [-3.8516,  4.1238]
@attribute A15 real [-3.6978,  3.5485]
@attribute A16 real [-3.6976,  4.2439]
@attribute A17 real [-3.9428,  3.7233]
@attribute A18 real [-4.0653,  4.0557]
@attribute A19 real [-4.1218,  4.3238]
@attribute A20 real [-3.7831,  4.279]
@attribute Class {0, 1}
@data
-2.2536, -0.6792, -0.498, 0.4076, -0.4197, 0.074, -0.6893, 0.9826, 1.1957, -1.1959, 0.8036, -0.3695, -0.1974, -0.8254, -1.4248, 0.0812, -1.2324, 0.9745, -2.1115, -0.445, 1
-1.6069, -0.2492, -2.432, -0.6203, 0.5136, -0.904, -0.6469, 0.1432, -1.3866, 0.6882, 0.0733, -0.6756, -0.2685, -1.9093, 0.5174, 0.0792, -0.8843, 0.313, -0.9143, -1.3683, 1
0.6064, 0.9351, -0.2627, 1.1571, 1.2736, 1.2177, 0.8091, -1.0593, -0.0215, 0.6421, 0.1771, 1.237, 1.6771, 0.7956, 0.3027, -0.1996, -0.6416, 0.0418, 0.6215, 0.896, 0
-0.9313, -3.0227, -0.1499, -2.1441, -1.9822, -2.2053, -0.4819, -1.8108, -2.6886, -0.3731, -2.2315, -0.5451, 0.4023, 0.5805, 1.5248, -0.3561, -0.1573, -0.2113, 0.7456, -0.0628, 1
1.8561, 1.0524, 0.5681, 0.2718, 0.6757, 0.7855, 1.7138, 2.4881, 0.265, 0.7368, -1.3002, 1.3614, -1.7516, 1.7634, 0.6862, 2.0141, 0.535, -0.2366, -1.0534, 0.9723, 0
0.1241, -0.0199, 1.2309, -0.0020, 2.2805, -0.1149, -0.2108, 1.6216, -0.6639, 0.0069, 1.2614, -1.4489, 0.9261, -2.0856, 1.8962, -0.6696, 1.6861, 0.3509, -0.6154, 2.5272, 0
-2.1566, -1.286, 0.4644, -0.3681, -0.445, -1.4795, 0.1183, 1.4653, 0.5435, 0.3221, 1.6373, -1.3819, 1.3066, 0.6353, 0.6218, -0.6861, 1.2409, -1.1625, -0.8792, 0.1212, 0
-0.8092, 1.1237, -1.1604, -1.042, -0.2817, -0.4211, 0.7407, -1.2523, -1.0204, 0.0769, -0.6905, -0.0572, -0.1042, -1.1011, -0.1335, -0.683, -0.5447, -1.0811, -1.811, -1.7067, 1
1.0225, 0.8488, -0.9474, -0.3643, -1.4622, -0.2601, -0.2204, -0.1968, -0.8124, -1.0681, -0.7973, 0.9472, 0.0028, -0.6349, -1.2326, -0.2305, -2.1587, 0.4701, 0.2823, -2.1474, 1
-0.1729, -2.8386, -1.9871, 1.0369, -0.0091, -0.7196, 0.0124, -0.0051, -1.1443, -0.0992, -1.2674, -0.8211, -1.1314, -0.88, -0.8052, -1.8041, -0.7628, 0.5475, -0.1663, 0.5527, 1
-0.0734, 2.4218, 0.4771, 0.9015, 1.2298, 1.9884, -0.6408, 0.4229, 1.123, -1.0139, 2.6143, 2.5188, 1.7499, -0.354, 1.0412, 0.0374, 0.4442, -1.2014, -0.8648, -0.0195, 0
-1.1134, -2.0106, -1.6698, 0.4711, -0.9635, 0.6463, -0.937, 1.331, 0.0752, 1.3852, -1.0737, 0.505, 0.1136, -0.1748, -0.2854, -0.0272, 1.5254, -0.3018, -0.4187, -0.2334, 1
0.6104, -0.3196, 0.5808, -1.0725, 1.2865, -0.4071, -0.7848, 0.4923, -0.0644, 0.5, 1.0003, -0.2123, 0.167, 2.0626, 0.4544, 1.6184, 1.2476, -0.4562, -0.5185, -0.8374, 0
1.6395, 1.2003, 1.2225, -0.564, 2.7722, -1.0798, 0.1386, 0.1163, -0.3212, 0.8893, 0.3716, 2.5541, 1.2442, 0.522, 0.4381, -0.0254, 0.3545, -0.7734, 0.6567, -0.5059, 0
-1.4195, 2.2242, -2.2643, -0.7709, -0.72, 0.2001, -1.3024, 0.3812, -1.0219, -1.336, 1.7125, 0.0774, -1.1584, -0.8842, -2.0058, -2.2711, 1.2615, -0.1471, -1.7355, -1.4579, 1
0.0598, -1.495, 0.326, -2.5066, -0.6614, -0.9855, -0.2451, -0.9858, -1.4889, -1.2476, 1.3364, -0.6003, -1.8509, 0.3054, -0.7274, -0.1172, 0.1351, -1.7758, 0.1946, 0.5765, 1
1.164, -0.8837, 0.3927, 0.5153, 1.0715, 1.3735, 1.9539, 0.3034, 1.0727, -0.1402, 1.202, 0.0051, -1.3201, -0.1964, -0.2513, -0.6708, -0.4074, 0.7751, -0.3236, -0.3709, 0
-0.682, -1.6979, -0.511, -2.3716, -1.348, 0.8185, -0.2166, -0.71, -0.6876, -0.6247, -1.2434, -1.8939, 0.9108, -0.2051, -2.3485, -1.1176, -2.4592, -0.2533, -0.4486, -0.9033, 1
-2.768, -0.2801, -0.4708, 0.5261, -2.217, -1.3181, -1.1973, -2.0397, 0.3134, -1.2022, -0.6023, -2.4223, -0.8995, 1.272, -0.6066, -0.8735, -1.4531, 0.4647, -0.425, -1.236, 1
-0.1313, 0.3293, 1.4057, -0.3618, 0.8739, -0.9009, 1.3012, -0.3122, 1.143, 0.4874, -0.4678, -0.7115, 0.2345, -0.7234, -0.0103, -2.8741, 0.2698, -0.7545, 0.2147, 0.6934, 0
-0.9831, -1.1512, -1.3544, -1.3134, 0.382, 0.7295, -0.8752, 0.4776, 0.5818, -1.9209, -0.6255, 0.2231, -1.7685, 0.571, -0.0351, -1.2716, -0.392, 0.5287, -0.8185, -1.9551, 1
-0.9064, 0.2717, -0.1419, -0.3199, -1.2025, -0.3616, -1.5594, 0.7544, -0.6327, -0.6961, -0.3072, 0.2209, -1.8906, 0.6634, -0.9098, -2.4079, 0.2176, -1.5095, 0.1015, -0.3521, 1
