@relation automobile

@attribute Normalized-losses numeric
@attribute Fuel-type {diesel,gas}
@attribute Curb-weight numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,gas,2935,-2
103,gas,3045,-2
103,gas,2912,-2
110,gas,2535,-1
65,diesel,2480,-1
95,diesel,3217,-1
95,gas,3062,-1
65,gas,2458,-1
95,gas,3049,-1
65,gas,2326,-1
95,gas,2952,-1
65,gas,2414,-1
93,diesel,3750,-1
137,gas,2403,-1
74,gas,3042,-1
93,diesel,3770,-1
95,gas,3012,-1
74,gas,2535,-1
74,gas,3157,-1
90,gas,3131,-1
74,gas,3034,-1
102,gas,2190,0
93,diesel,3495,0
161,gas,3020,0
118,gas,2670,0
78,gas,2024,0
81,gas,1909,0
188,gas,2710,0
161,gas,3075,0
192,gas,2395,0
85,gas,2420,0
89,gas,2455,0
106,gas,2236,0
102,gas,2510,0
91,gas,2122,0
102,gas,2340,0
102,gas,2385,0
161,diesel,3197,0
91,diesel,2275,0
115,gas,2410,0
91,gas,2140,0
91,diesel,2275,0
91,gas,2081,0
106,gas,2302,0
108,gas,3296,0
91,gas,2094,0
102,gas,2145,0
91,gas,3110,0
128,gas,3095,0
161,diesel,3252,0
106,gas,2324,0
108,gas,3060,0
77,gas,2280,0
85,gas,2372,0
115,gas,2425,0
110,gas,2010,0
91,gas,2109,0
161,gas,3130,0
85,gas,2650,0
145,gas,4066,0
115,gas,2410,0
85,gas,2304,0
81,gas,2290,0
106,gas,2289,0
125,gas,2405,1
125,gas,2365,1
104,gas,1900,1
98,gas,1874,1
128,diesel,2017,1
101,gas,1837,1
161,gas,2145,1
125,gas,2403,1
231,gas,3139,1
154,gas,1989,1
154,gas,1967,1
119,gas,2128,1
168,gas,2265,1
118,gas,1876,1
129,gas,2385,1
104,gas,1905,1
104,gas,1890,1
122,gas,1938,1
148,gas,1989,1
87,gas,1985,1
128,gas,2028,1
118,gas,2128,1
158,gas,3086,1
154,gas,2191,1
168,gas,2204,1
74,gas,2015,1
128,gas,1889,1
107,gas,2293,1
101,gas,1956,1
128,gas,1951,1
118,gas,1876,1
129,gas,2385,1
168,gas,2169,1
122,gas,1971,1
148,gas,1989,1
103,gas,2037,1
87,gas,2040,1
119,gas,1918,1
113,gas,1950,1
113,gas,1945,1
192,gas,2395,2
134,gas,2975,2
134,gas,2551,2
121,gas,1488,2
104,gas,2847,2
134,gas,2536,2
104,gas,2695,2
94,diesel,2264,2
134,gas,2679,2
83,gas,2120,2
83,gas,2240,2
134,gas,2714,2
83,gas,2050,2
122,diesel,2261,2
161,gas,1918,2
137,gas,1713,2
122,gas,2209,2
134,gas,2540,2
168,gas,2008,2
161,gas,1944,2
164,gas,2337,2
104,gas,2758,2
137,gas,1819,2
94,diesel,2319,2
94,gas,2275,2
94,gas,2212,2
142,gas,3685,3
197,gas,2976,3
150,gas,2658,3
194,gas,3071,3
197,gas,3016,3
150,gas,2808,3
194,gas,3139,3
153,gas,2370,3
256,gas,2221,3
150,gas,2707,3
145,gas,2811,3
