@relation glass

@attribute RI numeric
@attribute Si numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,72.9908,0.58995,1
1.512152,72.9796,0.621,1
1.517506,72.75,0.54027,1
1.515957,72.9684,0.63963,1
1.518235,72.9516,0.60237,1
1.51746,73.2708,0.5589,1
1.517415,73.0804,0.55269,1
1.517551,72.9908,0.57132,1
1.517209,73.0412,0.5589,1
1.51926,72.358,0.60237,1
1.51762,73.0076,0.60237,1
1.51762,72.7276,0.47817,1
1.517642,73.002,0.65205,1
1.521515,72.3188,0.19251,1
1.521971,71.3612,0.14904,1
1.52172,71.7924,0.22977,1
1.521014,71.7812,0.0621,1
1.522267,71.35,0,1
1.518075,72.8396,0.55269,1
1.517938,73.03,0.63963,1
1.5191,71.8092,0.50922,1
1.522221,71.9884,0.13041,1
1.517847,72.862,0.60237,1
1.517528,73.3884,0.60237,1
1.517779,72.7612,0.58995,1
1.51762,73.2372,0.57753,1
1.52172,72.0108,0.18009,1
1.515888,73.282,0.68931,1
1.52213,71.77,0.11178,1
1.517551,73.2372,0.57132,1
1.51762,73.2876,0.57753,1
1.517961,72.9572,0.63963,1
1.519009,71.9492,0.55269,1
1.517847,73.1084,0.60858,1
1.517346,72.7276,0.54027,1
1.517483,73.2092,0.54027,1
1.523201,71.7476,0.08694,1
1.517506,73.0188,0.621,1
1.51967,72.022,0.03105,1
1.517551,73.198,0.58995,1
1.522996,71.9884,0.11799,1
1.517551,72.7892,0.57132,1
1.517437,73.0916,0.57753,1
1.517779,72.9796,0.50922,1
1.518986,72.078,0.58995,1
1.517825,72.9516,0.57132,1
1.521515,72.218,0.19251,1
1.517938,72.638,0.58995,1
1.52213,71.77,0.11178,1
1.517688,73.702,0.5589,1
1.51869,72.722,0.57132,1
1.51566,72.7388,0.5589,1
1.526663,71.5684,0.01863,1
1.517688,73.1476,0.57132,1
1.517756,72.9684,0.60858,1
1.519761,71.7196,0.11799,1
1.5191,72.1228,0.0621,1
1.519191,72.078,0.5589,1
1.517369,72.7892,0.58995,1
1.517665,72.61,0.57132,1
1.522107,71.7588,0.16767,1
1.521515,72.2012,0.22977,1
1.519055,72.638,0.14283,1
1.518713,72.5092,0.57753,2
1.518599,72.2628,0.50922,2
1.515888,73.2596,0.06831,2
1.516891,73.2092,0.73278,2
1.515934,73.0972,0.67068,2
1.518918,72.5484,0.57132,2
1.520809,71.9884,0.49059,2
1.520194,71.7588,0.39123,2
1.522221,72.6716,0.09936,2
1.518462,72.442,0.60237,2
1.518121,72.918,0.60237,2
1.516731,72.5316,0.65205,2
1.518417,72.2796,0.63963,2
1.515911,73.1196,0.68931,2
1.520672,72.1788,0.52785,2
1.517301,72.8676,0.70173,2
1.515683,73.2484,0.37881,2
1.524089,71.1484,0.08073,2
1.527779,72.022,0.0621,2
1.52664,73.2092,0,2
1.518508,72.8284,0.57132,2
1.516549,73.2708,0.57132,2
1.516048,73.58,0.44091,2
1.516891,72.5428,0.6831,2
1.516731,73.142,0.65205,2
1.518189,74.4524,0,2
1.518121,72.4924,0.57753,2
1.51664,72.9572,0.63963,2
1.518462,72.3804,0.50922,2
1.516298,73.282,0.67068,2
1.527255,70.5716,0.08073,2
1.516184,72.89,0.60237,2
1.515911,73.0972,0.39123,2
1.516617,73.0076,0.6831,2
1.516276,72.8284,0.60858,2
1.518394,72.5708,0.621,2
1.516458,72.3916,0.65826,2
1.517437,73.5508,0.621,2
1.516731,73.3604,0.65826,2
1.516526,72.4476,0.63963,2
1.514089,72.2796,1.09917,2
1.518007,71.8092,0.54027,2
1.518121,72.778,0.52164,2
1.518052,73.0692,0.5589,2
1.516253,72.722,0.44712,2
1.517893,72.33,0.55269,2
1.518485,71.9604,0.54027,2
1.516868,72.8396,0.5589,2
1.515911,72.862,0.68931,2
1.515934,72.8676,0.6831,2
1.52475,72.19,0.8073,2
1.517096,72.722,0.65826,2
1.531242,69.81,0.57753,2
1.517073,72.0612,0.63963,2
1.527392,73.0804,0,2
1.517118,72.9572,0.60858,2
1.516458,72.8116,0.6831,2
1.518417,72.3412,0.63963,2
1.516594,72.9684,0.57753,2
1.516458,72.6492,0.67068,2
1.526139,71.238,0.19251,2
1.516389,73.2316,0.62721,2
1.517073,72.5204,0.621,2
1.516663,72.75,0.5589,2
1.515911,72.6604,0.68931,2
1.516139,72.8788,0.3726,2
1.515957,73.1084,0.72036,2
1.516321,72.8676,0.60858,2
1.51828,72.33,0.55269,2
1.516435,72.89,0.57132,3
1.516708,72.6996,0.5589,3
1.516936,72.61,0.60858,3
1.516093,72.6884,0.58995,3
1.51664,72.4812,0.60237,3
1.516093,72.6716,0.5589,3
1.517688,72.7724,0.11178,3
1.521219,71.7924,0.11178,3
1.517961,71.938,0.57132,3
1.517756,72.0388,0.57753,3
1.517779,73.002,0.0621,3
1.516458,73.0076,0.52164,3
1.521264,71.5012,0,3
1.518326,72.1396,0.5589,3
1.519351,72.6492,0.16146,3
1.523679,72.218,0.32292,5
1.5132,70.7004,6.21,5
1.521196,73.3884,0.13041,5
1.519693,73.7524,0.37881,5
1.521515,73.4388,0.57753,5
1.520581,72.1788,0.75762,5
1.52172,72.862,0.47196,5
1.519146,72.6884,0.60237,5
1.520421,72.2516,0.32913,5
1.515137,69.8884,1.68291,5
1.519943,73.03,0.47196,5
1.513155,70.482,6.21,5
1.518872,72.498,0,6
1.51115,75.41,0,6
1.519693,73.478,0,6
1.519374,72.7612,0,6
1.518531,72.6716,0,6
1.519169,72.7388,0,6
1.519055,72.3692,0,6
1.51828,72.3804,0,6
1.517278,73.282,0,7
1.517187,73.0188,0,7
1.516025,73.282,0,7
1.511309,72.8116,1.75743,7
1.522472,70.258,0.75762,7
1.515319,73.0972,0.03726,7
1.516503,73.6124,0,7
1.516526,75.1804,2.70135,7
1.516093,73.0524,0.04968,7
1.515091,73.5004,0,7
1.51623,72.61,0.08073,7
1.515569,73.2316,0.14283,7
1.520649,73.422,0,7
1.517118,73.3604,0,7
1.516162,73.2988,0,7
1.515455,73.3884,0.08073,7
1.516845,73.58,0,7
1.516458,73.1084,0,7
1.523656,70.4316,0.3105,7
1.51623,73.4612,0.03726,7
1.518303,72.862,1.40967,7
1.516389,72.8508,0,7
1.517323,72.9908,0,7
1.516572,73.1084,0,7
1.516822,73.2876,0,7
1.516139,73.0972,0,7
