@relation glass

@attribute Al numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
0.81965,1
1.05077,1
0.78113,1
1.12139,1
1.33004,1
1.68956,1
1.14065,1
1.49054,1
1.14065,1
1.3493,1
0.46976,1
1.42955,1
0.72014,1
1.23053,1
1.27868,1
1.1888,1
1.26905,1
1.33004,1
1.29152,1
1.41029,1
0.51149,1
1.29152,1
1.3814,1
1.36856,1
1.09892,1
1.32041,1
0.87101,1
1.1888,1
1.56116,1
1.35893,1
1.12139,1
0.8999,1
1.16954,1
1.32041,1
1.17917,1
1.29152,1
1.53869,1
0.8999,1
1.3493,1
1.15991,1
1.10855,1
1.17917,1
1.21127,1
1.29152,1
1.61894,1
1.15028,1
0.71051,1
1.31078,1
1.23053,1
1.30115,1
1.24016,1
1.3493,1
1.40066,1
1.19843,1
1.12139,1
1.29152,1
0.88064,1
1.23053,1
0.29,1
1.21127,1
0.89027,1
1.1888,1
0.46976,1
1.87895,2
1.42955,2
1.6703,2
1.42955,2
1.47128,2
2.10044,2
1.10855,2
1.62857,2
1.81154,2
1.51943,2
0.65915,2
1.24979,2
1.86932,2
1.42955,2
1.53869,2
1.15991,2
1.58042,2
1.0604,2
1.07003,2
1.26905,2
1.23053,2
1.48091,2
1.62857,2
0.55964,2
1.30115,2
1.47128,2
1.24016,2
1.33004,2
1.57079,2
1.42955,2
1.15028,2
0.7715,2
2.08118,2
1.51943,2
1.78907,2
0.66878,2
1.70882,2
1.5098,2
1.61894,2
1.64141,2
1.48091,2
1.49054,2
1.17917,2
0.82928,2
2.1197,2
1.1888,2
0.99941,2
1.25942,2
0.74903,2
1.52906,2
1.70882,2
1.44881,2
1.49054,2
1.90142,2
1.56116,2
1.57079,2
1.35893,2
1.35893,2
0.99941,2
1.24979,2
1.53869,2
1.53869,2
1.07966,2
1.43918,2
1.32041,2
1.74092,2
1.53869,2
1.41029,2
1.25942,3
1.2209,3
0.64952,3
1.51943,3
1.33967,3
1.62857,3
0.74903,3
0.82928,3
1.27868,3
1.76018,3
1.10855,3
1.3493,3
1.3814,3
0.90953,3
1.31078,3
1.58042,5
1.56116,5
1.65104,5
1.5098,5
2.17106,5
3.0185,5
1.8308,5
3.04097,5
1.76018,5
3.5,5
1.40066,5
1.85969,5
1.74092,6
1.1888,6
0.55964,6
2.09081,6
1.66067,6
1.53869,6
0.34136,6
1.56116,6
2.25131,7
1.9913,7
2.05871,7
2.68145,7
1.23053,7
1.93994,7
1.86932,7
2.65898,7
1.82117,7
2.02019,7
2.73923,7
2.21921,7
1.78907,7
1.97846,7
1.7987,7
2.51132,7
2.00093,7
2.27057,7
2.42144,7
1.9913,7
1.31078,7
1.1888,7
2.88047,7
1.81154,7
2.79059,7
2.37971,7
