@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517938,3.5022,73.03,1
1.516184,3.55159,72.9908,1
1.517756,3.47975,72.9684,1
1.51787,3.43036,72.9516,1
1.51869,3.37199,72.722,1
1.517551,3.60098,72.9908,1
1.518075,2.86911,72.8396,1
1.515957,3.60996,72.9684,1
1.51762,3.53812,73.2372,1
1.519761,3.57853,71.7196,1
1.517483,3.56057,73.2092,1
1.517551,3.42138,73.198,1
1.517642,3.53812,73.002,1
1.517847,3.48873,72.862,1
1.517528,3.47077,73.3884,1
1.517209,3.47975,73.0412,1
1.512152,3.47077,72.9796,1
1.523201,3.72221,71.7476,1
1.517779,3.38995,72.7612,1
1.52213,3.82099,71.77,1
1.517346,3.53812,72.7276,1
1.515888,3.43036,73.282,1
1.526663,3.69976,71.5684,1
1.5191,3.52914,71.8092,1
1.51762,3.60098,72.7276,1
1.521515,3.65037,72.3188,1
1.521515,3.57853,72.2012,1
1.51762,3.592,73.2876,1
1.52172,3.74017,72.0108,1
1.51926,3.33158,72.358,1
1.517938,3.47975,72.638,1
1.518986,3.34954,72.078,1
1.520991,3.592,71.9604,1
1.517551,3.74017,72.9908,1
1.517209,3.5022,72.8508,1
1.522107,3.83895,71.7588,1
1.519055,3.61894,72.638,1
1.5191,3.73119,72.1228,1
1.522221,3.7716,71.9884,1
1.51762,3.65935,73.0076,1
1.515706,3.46179,73.198,1
1.517415,3.61894,73.0804,1
1.521014,4.49,71.7812,1
1.521515,3.65037,72.218,1
1.518371,2.84217,72.8508,1
1.517961,3.47975,72.9572,1
1.517506,3.56955,73.0188,1
1.517688,2.71196,73.702,1
1.518235,3.47975,72.9516,1
1.517551,3.60996,73.2372,1
1.519191,3.57853,72.078,1
1.522996,3.57853,71.9884,1
1.52213,3.82099,71.77,1
1.517551,3.65935,72.7892,1
1.517825,3.53812,72.9516,1
1.517506,3.55159,72.75,1
1.517688,3.56057,73.0804,1
1.517688,3.52016,73.1476,1
1.517369,3.61894,72.7892,1
1.52172,3.8614,71.7924,1
1.51746,3.5022,73.2708,1
1.517437,3.60098,73.0916,1
1.517847,3.66833,73.1084,1
1.516184,3.5022,72.89,2
1.52475,0,72.19,2
1.516139,3.52016,72.8788,2
1.531242,0,69.81,2
1.515683,3.48873,73.2484,2
1.516458,3.55159,72.8116,2
1.516594,3.17892,72.9684,2
1.515934,3.592,73.0972,2
1.51828,3.90181,72.33,2
1.516458,3.60996,72.3916,2
1.521765,1.01025,72.19,2
1.515911,3.52016,72.862,2
1.518121,3.97814,72.4924,2
1.516298,3.33158,73.282,2
1.516321,3.56955,72.8676,2
1.515934,3.52016,72.8676,2
1.518052,3.79854,73.0692,2
1.518121,3.84793,72.778,2
1.518713,3.65935,72.5092,2
1.524089,2.90054,71.1484,2
1.515934,3.44832,73.17,2
1.516549,2.85115,73.2708,2
1.514089,3.08912,72.2796,2
1.516731,3.64139,72.5316,2
1.518007,3.92875,71.8092,2
1.520809,2.28092,71.9884,2
1.521765,3.6818,72.75,2
1.518462,3.88834,72.3804,2
1.516276,3.57853,72.8284,2
1.516458,3.48873,72.6492,2
1.516253,3.57853,72.722,2
1.516389,3.47975,73.2316,2
1.518462,3.96916,72.442,2
1.515911,3.34056,73.0972,2
1.526139,0,71.238,2
1.517073,3.47975,72.5204,2
1.517893,3.90181,72.33,2
1.516891,3.53812,72.5428,2
1.522221,0,72.6716,2
1.518918,3.82997,72.5484,2
1.527255,3.15198,70.5716,2
1.516663,3.60996,72.75,2
1.515911,3.52016,72.6604,2
1.516731,3.52016,73.3604,2
1.516526,3.56955,72.4476,2
1.51844,3.75813,72.4028,2
1.515957,3.56057,73.1084,2
1.517073,3.6818,72.0612,2
1.517301,2.72094,72.8676,2
1.517437,3.25076,73.5508,2
1.53393,0,70.1628,2
1.518189,2.76135,73.8084,2
1.516731,3.56057,73.142,2
1.517118,3.61894,72.9572,2
1.518394,3.66833,72.5708,2
1.516868,3.53812,72.8396,2
1.516617,3.51118,73.0076,2
1.518599,3.43036,72.2628,2
1.515911,3.57853,73.1196,2
1.527392,0,73.0804,2
1.516048,3.43934,73.58,2
1.520194,1.35149,71.7588,2
1.527779,0,72.022,2
1.515888,3.40791,73.2596,2
1.520672,2.08785,72.1788,2
1.518417,3.61894,72.3412,2
1.515729,3.66833,71.8708,2
1.518417,3.74017,72.2796,2
1.522107,3.78058,71.3612,3
1.517779,3.65037,73.002,3
1.517688,3.65935,72.7724,3
1.516549,3.38995,72.638,3
1.521219,3.75813,71.7924,3
1.51664,3.44832,72.4812,3
1.516093,3.52914,72.6716,3
1.516708,3.56955,72.6996,3
1.517961,3.35852,71.938,3
1.516093,3.39893,72.6884,3
1.516936,3.57853,72.61,3
1.517756,3.40791,72.0388,3
1.519351,3.53812,72.6492,3
1.518326,3.34056,72.1396,3
1.516458,3.39893,73.0076,3
1.515137,2.68053,69.8884,5
1.521515,1.71069,73.4388,5
1.519943,0,73.03,5
1.52172,1.88131,72.862,5
1.520581,1.61191,72.1788,5
1.520421,0,72.2516,5
1.521196,0.32777,73.3884,5
1.516663,0,73.8812,5
1.5132,0,70.7004,5
1.523679,0,72.218,5
1.513155,0,70.482,5
1.51115,0,75.41,6
1.518872,0.78126,72.498,6
1.518531,2.19112,72.6716,6
1.519693,0,73.478,6
1.519055,2.38868,72.3692,6
1.512995,1.74212,74.5476,6
1.51828,2.24051,72.3804,6
1.519374,2.41113,72.7612,6
1.516025,0,73.282,7
1.51623,0,72.61,7
1.517187,0,73.0188,7
1.517278,0,73.282,7
1.523155,3.34056,72.3804,7
1.523656,1.83192,70.4316,7
1.515455,0,73.3884,7
1.516093,0,73.0524,7
1.515569,0,73.2316,7
1.516572,0,73.1084,7
1.516389,0,72.8508,7
1.520649,0,73.422,7
1.517118,0,73.3604,7
1.517323,0,72.9908,7
1.515319,0,73.0972,7
1.516458,0,73.1084,7
1.51623,0,73.4612,7
1.511309,3.20137,72.8116,7
1.515137,0,73.7188,7
1.516526,0,75.1804,7
1.516162,0,73.2988,7
1.516845,0,73.58,7
1.516503,0,73.6124,7
1.518303,0,72.862,7
1.518371,3.25974,71.2492,7
1.516822,0,73.2876,7
