@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517665,3.69078,72.61,1
1.51566,3.44832,72.7388,1
1.522267,3.81201,71.35,1
1.51967,3.74915,72.022,1
1.517779,2.81074,72.9796,1
1.521971,3.84793,71.3612,1
1.519009,3.47975,71.9492,1
1.518485,3.87038,71.9604,2
1.518189,0,74.4524,2
1.51664,3.53812,72.9572,2
1.517096,3.47077,72.722,2
1.516891,2.87809,73.2092,2
1.52664,0,73.2092,2
1.518508,3.62792,72.8284,2
1.518121,2.95891,72.918,2
1.521264,3.90181,71.5012,3
1.516435,3.52016,72.89,3
1.519693,0,73.7524,5
1.519146,1.84988,72.6884,5
1.519169,0,72.7388,6
1.516139,1.77804,73.0972,7
1.515091,0,73.5004,7
1.522472,2.2001,70.258,7
