@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.522996,3.57853,0.11799,1
1.517551,3.60996,0.57132,1
1.522267,3.81201,0,1
1.517938,3.5022,0.63963,1
1.517209,3.47975,0.5589,1
1.517346,3.53812,0.54027,1
1.517437,3.60098,0.57753,1
1.517506,3.55159,0.54027,1
1.51746,3.5022,0.5589,1
1.519009,3.47975,0.55269,1
1.522221,3.7716,0.13041,1
1.517688,3.52016,0.57132,1
1.522107,3.83895,0.16767,1
1.518986,3.34954,0.58995,1
1.518371,2.84217,0.55269,1
1.518075,2.86911,0.55269,1
1.51762,3.65935,0.60237,1
1.517779,3.38995,0.58995,1
1.517779,2.81074,0.50922,1
1.517938,3.47975,0.58995,1
1.523201,3.72221,0.08694,1
1.517665,3.69078,0.57132,1
1.517528,3.47077,0.60237,1
1.519191,3.57853,0.5589,1
1.521014,4.49,0.0621,1
1.5191,3.52914,0.50922,1
1.521515,3.65037,0.19251,1
1.51787,3.43036,0.621,1
1.515706,3.46179,0.67068,1
1.517551,3.60098,0.57132,1
1.512152,3.47077,0.621,1
1.52172,3.74017,0.18009,1
1.521515,3.65037,0.19251,1
1.51762,3.60098,0.47817,1
1.5191,3.73119,0.0621,1
1.517369,3.61894,0.58995,1
1.516184,3.55159,0.39123,1
1.521515,3.57853,0.22977,1
1.517961,3.47975,0.63963,1
1.517847,3.66833,0.60858,1
1.519055,3.61894,0.14283,1
1.51869,3.37199,0.57132,1
1.517642,3.53812,0.65205,1
1.518235,3.47975,0.60237,1
1.515957,3.60996,0.63963,1
1.517209,3.5022,0.50301,1
1.51926,3.33158,0.60237,1
1.51762,3.592,0.57753,1
1.517847,3.48873,0.60237,1
1.517688,3.56057,0.60858,1
1.517483,3.56057,0.54027,1
1.517825,3.53812,0.57132,1
1.515888,3.43036,0.68931,1
1.517551,3.42138,0.58995,1
1.520991,3.592,0.08694,1
1.517688,2.71196,0.5589,1
1.52172,3.8614,0.22977,1
1.517756,3.47975,0.60858,1
1.51967,3.74915,0.03105,1
1.51566,3.44832,0.5589,1
1.521971,3.84793,0.14904,1
1.517551,3.65935,0.57132,1
1.52213,3.82099,0.11178,1
1.52475,0,0.8073,2
1.515934,3.44832,0.60858,2
1.516731,3.52016,0.65826,2
1.518121,2.95891,0.60237,2
1.516526,3.56955,0.63963,2
1.531242,0,0.57753,2
1.518417,3.74017,0.63963,2
1.517301,2.72094,0.70173,2
1.517073,3.6818,0.63963,2
1.515934,3.52016,0.6831,2
1.518918,3.82997,0.57132,2
1.516139,3.52016,0.3726,2
1.516389,3.47975,0.62721,2
1.520809,2.28092,0.49059,2
1.516276,3.57853,0.60858,2
1.517437,3.25076,0.621,2
1.515888,3.40791,0.06831,2
1.524089,2.90054,0.08073,2
1.518508,3.62792,0.57132,2
1.518485,3.87038,0.54027,2
1.516594,3.17892,0.57753,2
1.516184,3.5022,0.60237,2
1.520194,1.35149,0.39123,2
1.518189,0,0,2
1.517893,3.90181,0.55269,2
1.516549,2.85115,0.57132,2
1.518394,3.66833,0.621,2
1.518462,3.88834,0.50922,2
1.516321,3.56955,0.60858,2
1.518599,3.43036,0.50922,2
1.521765,3.6818,0.54027,2
1.52664,0,0,2
1.514089,3.08912,1.09917,2
1.516458,3.48873,0.67068,2
1.517096,3.47077,0.65826,2
1.527779,0,0.0621,2
1.516891,2.87809,0.73278,2
1.515683,3.48873,0.37881,2
1.51664,3.53812,0.63963,2
1.516731,3.56057,0.65205,2
1.518121,3.84793,0.52164,2
1.516253,3.57853,0.44712,2
1.518121,3.97814,0.57753,2
1.518189,2.76135,0.34776,2
1.515911,3.52016,0.68931,2
1.518462,3.96916,0.60237,2
1.522221,0,0.09936,2
1.516663,3.60996,0.5589,2
1.527392,0,0,2
1.516731,3.64139,0.65205,2
1.517073,3.47975,0.621,2
1.516048,3.43934,0.44091,2
1.516298,3.33158,0.67068,2
1.515911,3.52016,0.68931,2
1.518713,3.65935,0.57753,2
1.517118,3.61894,0.60858,2
1.521765,1.01025,0.32913,2
1.516891,3.53812,0.6831,2
1.53393,0,0.11799,2
1.516458,3.55159,0.6831,2
1.518007,3.92875,0.54027,2
1.516458,3.60996,0.65826,2
1.518052,3.79854,0.5589,2
1.516617,3.51118,0.6831,2
1.51844,3.75813,0.57753,2
1.515729,3.66833,0.16146,2
1.515957,3.56057,0.72036,2
1.51828,3.90181,0.55269,2
1.516458,3.39893,0.52164,3
1.516093,3.39893,0.58995,3
1.517779,3.65037,0.0621,3
1.517756,3.40791,0.57753,3
1.516093,3.52914,0.5589,3
1.517961,3.35852,0.57132,3
1.519351,3.53812,0.16146,3
1.521264,3.90181,0,3
1.516549,3.38995,0.52164,3
1.521219,3.75813,0.11178,3
1.518326,3.34056,0.5589,3
1.516435,3.52016,0.57132,3
1.516708,3.56955,0.5589,3
1.522107,3.78058,0.22977,3
1.516936,3.57853,0.60858,3
1.523679,0,0.32292,5
1.52172,1.88131,0.47196,5
1.519693,0,0.37881,5
1.521515,1.71069,0.57753,5
1.520581,1.61191,0.75762,5
1.5132,0,6.21,5
1.516663,0,0.96876,5
1.513155,0,6.21,5
1.519943,0,0.47196,5
1.515137,2.68053,1.68291,5
1.520421,0,0.32913,5
1.519146,1.84988,0.60237,5
1.518872,0.78126,0,6
1.51828,2.24051,0,6
1.519693,0,0,6
1.519169,0,0,6
1.518531,2.19112,0,6
1.512995,1.74212,0,6
1.51115,0,0,6
1.519055,2.38868,0,6
1.515091,0,0,7
1.516845,0,0,7
1.522472,2.2001,0.75762,7
1.515455,0,0.08073,7
1.523155,3.34056,0.60237,7
1.516503,0,0,7
1.516458,0,0,7
1.515319,0,0.03726,7
1.518303,0,1.40967,7
1.520649,0,0,7
1.516389,0,0,7
1.518371,3.25974,1.45935,7
1.516139,1.77804,0,7
1.516822,0,0,7
1.517323,0,0,7
1.516093,0,0.04968,7
1.517187,0,0,7
1.517118,0,0,7
1.515137,0,0,7
1.516572,0,0,7
1.523656,1.83192,0.3105,7
1.516526,0,2.70135,7
1.51623,0,0.08073,7
1.515569,0,0.14283,7
1.51623,0,0.03726,7
1.517278,0,0,7
