@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Customer {1,2}

@data
A34,A40,A61,48,A151,1
A32,A43,A61,34,A152,1
A34,A43,A61,25,A152,2
A34,A43,A65,46,A151,1
A34,A42,A61,27,A152,1
A34,A41,A61,54,A152,1
A33,A43,A61,24,A152,1
A32,A41,A65,26,A151,1
A32,A43,A65,30,A152,2
A34,A40,A61,30,A152,1
A32,A40,A65,24,A152,1
A31,A49,A62,30,A152,1
A33,A46,A61,26,A152,2
A32,A43,A61,29,A151,1
A32,A41,A65,36,A153,1
A32,A40,A61,27,A152,1
A34,A41,A61,38,A153,1
A32,A43,A65,45,A152,1
A34,A43,A65,51,A152,1
A34,A48,A65,39,A152,1
A32,A40,A61,64,A152,1
A32,A43,A61,30,A152,1
A30,A40,A62,35,A151,1
A32,A40,A61,24,A152,2
A32,A41,A62,23,A152,1
A34,A46,A61,57,A153,1
A32,A43,A61,37,A152,2
A32,A49,A61,26,A152,1
A34,A49,A65,46,A152,1
A32,A40,A65,45,A152,1
A34,A40,A65,37,A152,2
A32,A43,A62,33,A152,2
A32,A44,A65,24,A151,2
A32,A40,A61,37,A152,1
A32,A43,A63,23,A151,1
A32,A42,A61,21,A151,1
A32,A42,A65,39,A152,1
A32,A41,A61,38,A153,2
A33,A49,A62,26,A152,1
A34,A43,A64,43,A152,1
A32,A40,A61,34,A152,2
A32,A40,A61,31,A152,2
A32,A48,A65,38,A152,1
A33,A43,A65,32,A152,1
A32,A43,A61,25,A152,1
A30,A49,A61,42,A153,2
A32,A42,A65,20,A152,2
A34,A40,A62,28,A152,1
A32,A43,A62,49,A152,1
A34,A46,A62,31,A152,1
A32,A43,A65,25,A152,1
A34,A42,A61,37,A152,1
A32,A43,A61,32,A152,1
A33,A49,A65,37,A152,1
A34,A40,A61,49,A152,1
A34,A43,A61,58,A152,1
A31,A40,A62,32,A152,2
A34,A49,A61,27,A152,1
A34,A40,A61,32,A152,2
A32,A40,A61,25,A152,2
A33,A43,A61,26,A152,2
A33,A49,A63,41,A152,2
A32,A43,A61,28,A152,1
A34,A43,A61,24,A152,1
A32,A41,A65,46,A152,1
A34,A43,A65,40,A152,1
A32,A40,A61,21,A151,2
A31,A49,A61,59,A151,2
A32,A40,A62,35,A152,1
A32,A42,A61,49,A152,1
A32,A40,A65,32,A151,2
A32,A43,A61,24,A152,1
A32,A42,A63,32,A151,1
A32,A40,A65,24,A151,1
A32,A40,A61,24,A152,2
A31,A41,A61,55,A153,1
A30,A40,A61,26,A151,2
A32,A44,A61,54,A152,2
A32,A410,A61,43,A152,1
A34,A40,A61,30,A152,1
A32,A41,A65,47,A153,2
A33,A49,A63,44,A152,1
A32,A45,A61,23,A152,2
A32,A43,A61,57,A152,2
A32,A42,A61,25,A151,2
A31,A40,A61,46,A152,2
A32,A41,A61,39,A153,2
A32,A45,A61,22,A152,1
A32,A43,A65,26,A152,1
A32,A43,A61,54,A151,1
A34,A40,A61,40,A152,1
A32,A45,A62,22,A152,1
A32,A43,A63,57,A152,1
A33,A49,A65,42,A152,1
A34,A42,A61,30,A152,1
A30,A49,A61,33,A152,1
A34,A46,A65,37,A152,1
A31,A43,A62,34,A152,1
A32,A42,A61,30,A152,1
A32,A41,A61,40,A152,1
