@relation wine

@attribute TotalPhenols numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
3.4,1285,1
2.6,880,1
2.45,1105,1
3,885,1
2.45,1035,1
2.95,1235,1
3,1375,1
3,760,1
2.72,1150,1
2.7,920,1
2.6,1060,1
2.96,1120,1
2.6,1295,1
3.85,1480,1
2.86,1515,1
2.4,1285,1
2.85,1080,1
2.75,1060,1
3.25,1065,1
2.2,1280,1
2.64,680,1
2.8,1185,1
2.8,735,1
3,1270,1
3.25,1095,1
3,1285,1
2.4,1020,1
2.8,1065,1
3.3,1547,1
3.2,970,1
2.48,1015,1
2.98,1045,1
3,780,1
3.27,1450,1
2.8,1280,1
2.95,1510,1
2.85,1310,1
2.7,845,1
2.35,1095,1
2.63,830,1
2.5,1290,1
2.65,1035,1
2.53,845,1
2.6,1320,1
2.95,1130,1
3.3,1680,1
2.61,1035,1
2.95,915,1
3.1,985,1
2.88,1260,1
3.15,795,1
2.85,1195,1
3.1,1150,1
2,630,2
2.13,466,2
2.11,510,2
2.9,625,2
1.95,392,2
1.6,480,2
3.3,985,2
1.6,625,2
2.48,434,2
3.38,886,2
1.63,372,2
2.2,365,2
2.36,312,2
1.75,607,2
1.78,495,2
2.74,680,2
2.05,680,2
1.65,515,2
1.72,500,2
2.5,937,2
2.2,672,2
2.45,290,2
1.45,562,2
2.86,380,2
2.83,463,2
2.53,750,2
2.2,520,2
1.85,718,2
2.46,407,2
2.62,380,2
1.9,750,2
1.68,315,2
3.18,465,2
1.65,510,2
2.56,385,2
1.98,495,2
3.5,420,2
2.74,352,2
2.1,630,2
2.22,342,2
1.89,355,2
2.2,714,2
2.95,410,2
2.42,678,2
1.92,562,2
2,564,2
1.88,472,2
1.38,495,2
2.85,406,2
3.18,562,2
2.55,325,2
1.61,428,2
1.45,450,2
2.1,580,2
1.38,488,2
2.02,450,2
2.2,450,2
1.98,520,2
2.6,378,2
2.98,502,2
2.56,438,2
2,345,2
2.23,710,2
2.5,415,2
2.05,560,3
1.8,480,3
1.54,600,3
1.7,600,3
1.48,480,3
1.4,780,3
0.98,415,3
1.7,625,3
1.98,630,3
1.5,830,3
1.83,680,3
1.59,835,3
1.55,750,3
1.39,470,3
1.51,630,3
1.7,695,3
1.38,720,3
1.65,570,3
2.3,520,3
1.79,515,3
1.41,550,3
1.4,500,3
1.68,740,3
1.39,675,3
2.8,660,3
1.74,725,3
1.8,750,3
1.62,580,3
2,650,3
1.62,695,3
1.25,510,3
1.15,560,3
2.2,425,3
2.32,590,3
1.38,855,3
1.68,660,3
2.6,620,3
2,550,3
1.48,685,3
1.93,650,3
1.8,675,3
1.48,640,3
1.3,530,3
