@relation penbased
@Attribute At1 integer [0,  100]
@Attribute At2 integer [0,  100]
@Attribute At3 integer [0,  100]
@Attribute At4 integer [0,  100]
@Attribute At5 integer [0,  100]
@Attribute At6 integer [0,  100]
@Attribute At7 integer [0,  100]
@Attribute At8 integer [0,  100]
@Attribute At9 integer [0,  100]
@Attribute At10 integer [0,  100]
@Attribute At11 integer [0,  100]
@Attribute At12 integer [0,  100]
@Attribute At13 integer [0,  100]
@Attribute At14 integer [0,  100]
@Attribute At15 integer [0,  100]
@Attribute At16 integer [0,  100]
@Attribute Class {0,1,2,3,4,5,6,7,8,9}
@data
9, 93, 53, 100, 89, 80, 57, 52, 17, 30, 0, 5, 50, 2, 100, 0, 2
60, 100, 20, 76, 0, 39, 10, 1, 69, 0, 100, 33, 56, 40, 15, 10, 6
100, 99, 67, 100, 24, 68, 0, 32, 27, 0, 99, 8, 77, 40, 9, 55, 6
11, 92, 56, 100, 83, 82, 52, 59, 87, 39, 100, 14, 55, 0, 0, 0, 3
35, 76, 0, 42, 11, 0, 65, 5, 100, 41, 97, 85, 49, 100, 9, 69, 0
42, 100, 9, 79, 0, 46, 48, 31, 100, 46, 89, 52, 46, 30, 19, 0, 4
13, 68, 15, 30, 42, 0, 86, 19, 100, 56, 84, 90, 33, 100, 0, 73, 0
49, 83, 8, 57, 0, 17, 51, 0, 93, 28, 100, 70, 61, 100, 8, 86, 0
53, 87, 32, 47, 98, 64, 69, 100, 58, 69, 100, 61, 71, 3, 0, 0, 9
100, 98, 60, 100, 29, 73, 10, 41, 6, 6, 46, 0, 46, 27, 0, 30, 6
0, 52, 52, 83, 97, 100, 91, 55, 84, 10, 21, 0, 21, 7, 100, 7, 1
2, 85, 31, 100, 76, 74, 62, 37, 47, 0, 100, 8, 68, 30, 0, 41, 7
45, 85, 93, 100, 100, 98, 48, 88, 7, 62, 48, 48, 48, 18, 0, 0, 5
98, 100, 52, 77, 18, 52, 0, 25, 25, 0, 100, 5, 97, 29, 23, 22, 6
30, 100, 4, 67, 0, 24, 30, 0, 66, 11, 95, 41, 100, 82, 64, 93, 0
0, 75, 29, 79, 71, 91, 100, 100, 82, 74, 68, 48, 57, 21, 58, 0, 1
34, 64, 52, 100, 58, 57, 37, 16, 0, 0, 24, 20, 61, 1, 100, 5, 2
0, 48, 30, 67, 65, 85, 100, 100, 84, 75, 65, 51, 47, 25, 34, 0, 1
52, 80, 84, 100, 100, 75, 58, 53, 91, 48, 89, 10, 44, 0, 0, 16, 3
0, 95, 52, 100, 100, 79, 83, 44, 67, 8, 45, 0, 3, 30, 84, 38, 7
28, 71, 43, 100, 76, 79, 49, 47, 11, 21, 0, 0, 50, 1, 100, 4, 2
11, 84, 52, 100, 100, 96, 83, 66, 72, 50, 87, 16, 45, 0, 0, 11, 3
33, 78, 66, 100, 91, 86, 64, 60, 100, 42, 82, 10, 41, 0, 0, 7, 3
0, 85, 32, 100, 76, 91, 70, 65, 38, 43, 11, 20, 50, 6, 100, 0, 2
100, 100, 66, 100, 25, 69, 0, 35, 14, 0, 77, 0, 72, 34, 10, 51, 6
100, 100, 44, 91, 7, 60, 0, 24, 46, 0, 99, 24, 41, 30, 19, 0, 6
40, 84, 61, 100, 87, 83, 53, 60, 96, 47, 100, 23, 55, 5, 0, 0, 3
19, 88, 62, 100, 100, 81, 83, 48, 47, 23, 0, 6, 18, 0, 72, 1, 2
15, 100, 8, 70, 0, 39, 19, 20, 78, 21, 100, 43, 76, 30, 72, 0, 4
21, 85, 8, 46, 61, 47, 39, 0, 0, 13, 11, 66, 35, 98, 100, 100, 5
54, 78, 77, 100, 64, 60, 36, 27, 0, 2, 12, 4, 56, 2, 100, 0, 2
0, 36, 35, 56, 68, 78, 100, 100, 94, 76, 80, 51, 70, 25, 70, 0, 1
0, 98, 4, 100, 59, 100, 100, 87, 96, 64, 75, 43, 51, 22, 40, 0, 7
0, 71, 39, 81, 74, 99, 100, 100, 78, 75, 53, 50, 28, 26, 11, 0, 1
64, 60, 76, 100, 13, 99, 39, 75, 100, 87, 98, 44, 65, 6, 0, 0, 9
49, 86, 50, 100, 100, 96, 81, 66, 82, 40, 87, 9, 38, 0, 0, 22, 3
77, 60, 77, 100, 10, 90, 15, 49, 40, 8, 0, 0, 32, 34, 100, 55, 8
58, 85, 100, 100, 87, 94, 52, 72, 59, 43, 85, 27, 47, 2, 0, 0, 5
32, 95, 100, 100, 55, 95, 0, 71, 7, 45, 73, 33, 78, 7, 11, 0, 5
32, 72, 57, 100, 76, 71, 56, 35, 21, 7, 0, 4, 51, 0, 100, 6, 2
0, 64, 47, 81, 100, 100, 91, 84, 65, 62, 47, 40, 42, 17, 63, 0, 1
100, 69, 78, 100, 37, 85, 83, 77, 91, 52, 97, 15, 51, 0, 0, 0, 9
35, 44, 41, 2, 81, 14, 100, 60, 81, 100, 40, 85, 9, 49, 0, 0, 0
0, 75, 8, 100, 40, 91, 28, 59, 7, 31, 13, 8, 56, 5, 100, 0, 2
0, 12, 50, 48, 84, 87, 24, 100, 29, 65, 100, 35, 84, 0, 9, 11, 8
43, 97, 3, 69, 0, 20, 43, 0, 88, 23, 100, 70, 62, 100, 14, 84, 0
29, 75, 29, 85, 100, 100, 85, 81, 59, 61, 38, 41, 15, 20, 0, 0, 1
6, 100, 0, 80, 32, 54, 100, 59, 99, 99, 72, 77, 60, 38, 43, 0, 4
32, 74, 87, 95, 100, 100, 84, 73, 79, 46, 66, 18, 0, 0, 3, 0, 1
0, 98, 20, 100, 19, 70, 11, 40, 43, 27, 89, 42, 94, 29, 100, 0, 4
19, 74, 43, 100, 70, 80, 53, 53, 100, 42, 98, 12, 50, 0, 0, 4, 3
42, 100, 22, 76, 0, 52, 26, 34, 82, 41, 100, 47, 74, 24, 57, 0, 4
19, 100, 55, 99, 58, 67, 30, 39, 0, 15, 21, 0, 60, 1, 100, 0, 2
