@relation penbased
@Attribute At1 integer [0,  100]
@Attribute At2 integer [0,  100]
@Attribute At3 integer [0,  100]
@Attribute At4 integer [0,  100]
@Attribute At5 integer [0,  100]
@Attribute At6 integer [0,  100]
@Attribute At7 integer [0,  100]
@Attribute At8 integer [0,  100]
@Attribute At9 integer [0,  100]
@Attribute At10 integer [0,  100]
@Attribute At11 integer [0,  100]
@Attribute At12 integer [0,  100]
@Attribute At13 integer [0,  100]
@Attribute At14 integer [0,  100]
@Attribute At15 integer [0,  100]
@Attribute At16 integer [0,  100]
@Attribute Class {0,1,2,3,4,5,6,7,8,9}
@data
13, 89, 12, 50, 72, 38, 56, 0, 4, 17, 0, 61, 32, 94, 100, 100, 5
35, 76, 57, 100, 100, 92, 68, 66, 81, 38, 82, 9, 32, 0, 0, 17, 3
100, 84, 31, 100, 0, 88, 8, 70, 15, 53, 15, 35, 0, 17, 0, 0, 1
27, 76, 1, 42, 16, 0, 70, 3, 100, 40, 92, 84, 44, 100, 0, 73, 0
64, 93, 0, 67, 97, 67, 89, 100, 14, 70, 100, 68, 96, 36, 28, 0, 9
1, 88, 0, 54, 59, 31, 36, 0, 11, 28, 4, 68, 28, 97, 100, 100, 5
20, 82, 62, 100, 100, 81, 68, 54, 82, 50, 89, 19, 42, 0, 0, 13, 3
100, 79, 67, 100, 26, 76, 41, 38, 47, 0, 0, 8, 38, 38, 96, 58, 8
34, 100, 21, 76, 0, 35, 43, 30, 91, 29, 100, 41, 74, 46, 67, 0, 4
90, 71, 100, 100, 25, 85, 10, 50, 80, 62, 99, 53, 64, 17, 0, 0, 9
72, 100, 38, 88, 2, 57, 0, 19, 51, 0, 100, 20, 55, 34, 12, 7, 6
31, 73, 55, 100, 55, 53, 33, 14, 0, 0, 30, 11, 65, 1, 100, 1, 2
21, 88, 0, 57, 88, 58, 88, 18, 15, 0, 8, 42, 12, 83, 100, 100, 5
47, 93, 1, 67, 0, 16, 53, 0, 100, 32, 95, 81, 42, 100, 7, 62, 0
19, 81, 0, 41, 12, 0, 54, 1, 88, 29, 100, 71, 72, 100, 31, 91, 0
22, 55, 10, 60, 0, 18, 46, 0, 89, 28, 100, 70, 68, 100, 29, 69, 0
73, 85, 31, 65, 0, 0, 52, 9, 100, 57, 82, 100, 81, 78, 38, 25, 0
30, 98, 16, 60, 53, 28, 46, 0, 13, 29, 0, 68, 27, 95, 100, 100, 5
19, 100, 4, 77, 0, 51, 46, 36, 100, 47, 96, 49, 87, 23, 77, 0, 4
