@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,13.1506,3.60996,1
1.51746,12.83805,3.5022,1
1.521515,13.05085,3.65037,1
1.517209,12.8713,3.47975,1
1.523201,13.7225,3.72221,1
1.51762,12.61195,3.592,1
1.517551,12.7117,3.42138,1
1.516276,12.99765,3.57853,2
1.517437,12.19965,3.25076,2
1.518462,13.0974,3.96916,2
1.518121,13.4299,3.97814,2
1.516253,13.35675,3.57853,2
1.527779,12.63855,0,2
1.516731,12.8713,3.56057,2
1.516936,12.858,3.57853,3
1.523679,13.4432,0,5
1.518872,14.99265,0.78126,6
1.515455,14.14145,0,7
1.516845,14.9195,0,7
1.516572,14.7998,0,7
