@relation glass

@attribute RI numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517665,3.69078,1
1.51566,3.44832,1
1.522267,3.81201,1
1.51967,3.74915,1
1.517779,2.81074,1
1.521971,3.84793,1
1.519009,3.47975,1
1.518485,3.87038,2
1.518189,0,2
1.51664,3.53812,2
1.517096,3.47077,2
1.516891,2.87809,2
1.52664,0,2
1.518508,3.62792,2
1.518121,2.95891,2
1.521264,3.90181,3
1.516435,3.52016,3
1.519693,0,5
1.519146,1.84988,5
1.519169,0,6
1.516139,1.77804,7
1.515091,0,7
1.522472,2.2001,7
