@relation wine

@attribute MalicAcid numeric
@attribute ColorIntensity numeric
@attribute Class {1,2,3}

@data
1.43,6.8,1
1.65,4.25,1
1.5,3.7,1
4.04,5.24,1
1.89,5.43,1
1.8,4.2,1
1.9,6.3,1
1.71,6.13,1
1.75,7.05,1
1.64,4.6,1
1.67,5.85,1
1.73,6.25,1
1.64,5.2,1
2.59,4.32,1
1.53,5.4,1
1.68,4.7,1
3.59,4.9,1
1.73,7.2,1
2.02,6.2,1
1.48,5,1
1.77,5.04,1
1.78,4.38,1
1.76,6.75,1
1.97,6,1
3.98,4.36,1
1.83,3.84,1
3.99,5.1,1
1.71,5.64,1
1.87,7.5,1
1.7,6.38,1
1.81,3.52,1
1.35,7.22,1
1.86,3.8,1
1.87,5.25,1
1.59,8.7,1
2.16,5.75,1
1.92,6.2,1
3.8,4.5,1
1.81,5.1,1
1.72,3.95,1
2.15,5.05,1
1.66,6.9,1
2.05,3.58,1
1.73,5.6,1
3.1,5.1,1
1.63,5.65,1
1.6,3.93,1
1.5,5.7,1
1.73,8.9,1
1.65,5.6,1
3.84,4.28,1
1.9,4.5,1
1.73,5.4,1
1.13,2.2,2
2.13,3,2
1.17,4.68,2
1.61,2.06,2
1.88,3.8,2
2.06,2.8,2
1.66,3.74,2
1.99,3.25,2
3.74,2.9,2
1.67,3.35,2
1.51,1.9,2
2.4,3.25,2
2.55,2.7,2
1.35,2.65,2
1.61,2.45,2
1.73,3.4,2
1.1,3.27,2
3.86,4.8,2
0.9,4.6,2
2.83,2.15,2
1.34,2.45,2
1.53,3.05,2
1.41,2.9,2
4.31,2.8,2
0.99,3.4,2
0.94,3.17,2
0.89,3.05,2
1.19,2.85,2
2.68,3.8,2
5.8,2.6,2
2.89,2.65,2
2.45,2.8,2
3.43,3.4,2
1.72,2.06,2
2.43,2,2
0.74,3.08,2
1.13,4.45,2
1.53,3.94,2
1.25,3.8,2
1.63,2.12,2
1.45,2.95,2
0.92,2.5,2
1.61,3.05,2
1.21,4.6,2
1.67,2.6,2
1.47,1.95,2
1.51,3.38,2
1.83,2.4,2
1.52,2.6,2
1.75,3.3,2
1.29,2.7,2
1.09,3.21,2
1.33,1.74,2
4.3,2.6,2
1.73,2.94,2
1.36,5.75,2
0.98,2.62,2
0.94,1.95,2
2.16,2.76,2
1.01,5.3,2
1.07,4.5,2
1.39,2.9,2
2.12,2.5,2
2.08,3.3,2
4.1,9.2,3
1.68,13,3
2.56,5.6,3
3.55,5,3
2.67,10.8,3
3.17,4.35,3
5.04,4.9,3
4.61,7.65,3
2.58,8.66,3
3.57,4,3
3.27,5.58,3
2.59,9.3,3
3.37,10.26,3
3.03,5.5,3
1.35,4.1,3
4.36,6.62,3
5.51,5,3
3.45,5.28,3
3.26,5.88,3
3.59,5.7,3
3.9,9.4,3
3.12,8.6,3
3.91,7.3,3
2.76,9.58,3
1.67,11.75,3
3.03,7.5,3
4.28,10.2,3
2.96,4.92,3
1.24,5.45,3
2.46,7.1,3
4.6,8.5,3
2.31,5.7,3
3.3,10.52,3
2.81,4.6,3
3.88,8.21,3
2.39,9.899999,3
3.83,7.65,3
4.95,4.4,3
3.7,10.68,3
3.24,8.42,3
1.29,7.6,3
4.12,9.01,3
2.99,5.4,3
