@relation wine

@attribute Hue numeric
@attribute Proline numeric
@attribute Class {1,2,3}

@data
0.89,1285,1
1.04,920,1
1.09,880,1
0.88,885,1
0.91,1035,1
1.23,990,1
1.24,1265,1
0.89,760,1
1.12,1150,1
1.1,1095,1
1.01,1190,1
1.13,1375,1
1.06,1295,1
0.86,1480,1
1.09,1515,1
0.92,1195,1
0.87,1080,1
1.07,1060,1
1.04,1065,1
1.25,1510,1
0.82,680,1
1.03,1185,1
1.04,735,1
1.07,1270,1
0.88,1095,1
1.04,1035,1
1.18,1020,1
1.05,1050,1
1.25,1150,1
0.92,1060,1
1.11,1035,1
1.08,1045,1
1.09,780,1
1.05,1450,1
1.28,1310,1
1.01,1045,1
1.2,1547,1
0.96,845,1
1.25,1235,1
1.12,845,1
1.02,1290,1
1.25,915,1
1.09,1015,1
1.17,1280,1
1.07,1280,1
1.13,1130,1
1.03,770,1
1.02,1285,1
0.91,985,1
1.12,1260,1
0.95,795,1
1.13,830,1
1.15,1320,1
1.16,714,2
0.97,466,2
1.02,750,2
0.93,564,2
1.19,392,2
1.36,562,2
1.31,985,2
0.96,495,2
0.9,325,2
0.99,886,2
1.06,345,2
0.93,465,2
1.04,672,2
0.96,680,2
1.23,450,2
0.86,315,2
0.98,450,2
1.31,630,2
0.96,500,2
1.05,450,2
1.42,406,2
1.08,480,2
0.95,625,2
0.73,380,2
1.19,463,2
1.28,718,2
0.84,515,2
0.906,870,2
1.1,434,2
0.92,365,2
1.06,750,2
1.04,562,2
0.8,625,2
0.8,438,2
1.23,607,2
1.71,407,2
1.45,355,2
0.69,352,2
1.22,420,2
0.89,342,2
1.19,678,2
1.38,278,2
1.36,410,2
1.12,502,2
1.33,495,2
0.7,372,2
0.98,472,2
1.07,625,2
1.15,290,2
1,510,2
0.88,488,2
1.23,428,2
1,680,2
0.79,580,2
0.94,415,2
1.23,630,2
0.79,520,2
1.25,680,2
0.75,380,2
1.12,510,2
1.23,428,2
0.95,495,2
1.16,345,2
1.04,660,2
0.61,560,3
0.57,660,3
0.7,780,3
0.75,650,3
0.61,425,3
0.89,520,3
0.54,625,3
0.55,650,3
0.67,630,3
0.6,830,3
0.68,675,3
0.6,840,3
0.74,750,3
0.62,660,3
0.76,630,3
0.85,695,3
0.82,515,3
0.7,615,3
0.87,570,3
0.81,580,3
0.59,500,3
0.48,480,3
0.7,750,3
0.78,520,3
0.57,620,3
0.67,880,3
0.59,835,3
0.89,590,3
0.73,695,3
0.75,720,3
0.57,470,3
0.78,600,3
0.56,675,3
0.77,600,3
0.65,855,3
0.64,740,3
0.56,520,3
0.91,550,3
0.72,685,3
0.57,550,3
0.58,640,3
0.6,725,3
0.74,530,3
