@relation wine

@attribute flavanoids numeric
@attribute ColorIntensity numeric
@attribute Class {1,2,3}

@data
3.67,6.8,1
2.64,3.7,1
3.04,5.1,1
3.17,4.9,1
2.63,4.36,1
2.69,3.84,1
2.79,6.3,1
2.68,4.28,1
3.74,7.05,1
2.43,4.25,1
2.9,5.85,1
2.78,6.25,1
2.52,5.25,1
3.24,5.68,1
3.19,6.9,1
2.19,3.95,1
3.39,6.1,1
3.27,7.2,1
2.92,6.2,1
3.15,7.22,1
2.65,5.24,1
2.76,4.38,1
3.49,7.8,1
3.23,6,1
3,5.04,1
3.25,5.7,1
3.29,6.13,1
3.06,5.64,1
3.69,5.4,1
3,6.38,1
2.37,3.93,1
2.51,5.05,1
2.41,4.5,1
2.69,4.32,1
2.91,7.3,1
2.98,5.2,1
3.64,7.5,1
3.93,8.7,1
2.53,4.2,1
2.68,3.58,1
3.39,6.75,1
2.33,4.7,1
2.61,3.52,1
3.32,5.75,1
3.14,6.2,1
3.4,6.6,1
2.88,3.8,1
2.97,4.5,1
3.54,8.9,1
2.99,5.6,1
3.56,5.43,1
2.94,4.8,1
2.43,5,1
1.61,2.6,2
2.24,3,2
1.28,2.85,2
2.79,3.25,2
2.55,2.57,2
2.25,2.15,2
2.14,3.21,2
3.75,4.5,2
2.01,3.08,2
1.57,3.8,2
1.25,3.4,2
2.13,2.08,2
2.04,2.7,2
2.03,3.8,2
1.25,3.6,2
2.92,2.65,2
1.41,5.75,2
1.69,2.8,2
2.26,2.5,2
2.5,2.9,2
1.92,2.94,2
0.99,2.5,2
1.36,2.45,2
3.03,2.8,2
1.59,4.8,2
1.02,3.05,2
1.59,1.74,2
2.86,3.38,2
2.17,1.9,2
2.65,2.6,2
2.53,3.9,2
1.84,2.7,2
5.08,6,2
2.03,3.4,2
2.29,2.9,2
1.6,1.95,2
2.65,4.6,2
3.15,3.94,2
3.1,4.45,2
2.45,2.12,2
3.18,5.3,2
1.69,2.45,2
1.84,3.74,2
2,4.68,2
1.46,3.05,2
1.64,1.28,2
2.89,3.35,2
2.27,2.6,2
2.99,2.3,2
2.58,2.9,2
2.27,2,2
1.85,3.4,2
2.26,3.25,2
1.75,2.6,2
1.76,3.3,2
1.79,3.8,2
1.5,2.4,2
0.57,1.95,2
2.65,2.76,2
1.3,3.17,2
2.11,2.8,2
2.09,2.06,2
2.17,3.3,2
1.64,2.06,2
0.76,9.2,3
0.92,7.65,3
0.52,4.35,3
0.58,5.45,3
0.63,7.9,3
0.8,4.4,3
1.39,9.4,3
1.57,8.6,3
0.49,5.5,3
0.76,8.42,3
0.68,9.58,3
0.68,9.3,3
0.96,8.5,3
0.7,9.7,3
1.22,5.4,3
0.66,10.26,3
0.6,5,3
0.47,6.62,3
0.7,5.28,3
0.48,5.7,3
1.28,7.1,3
0.58,7.6,3
0.75,7.3,3
0.92,10.68,3
0.56,5.88,3
1.1,11.75,3
0.69,10.2,3
0.6,4.92,3
0.66,7.1,3
0.47,3.85,3
0.51,9.899999,3
1.2,5,3
0.83,9.01,3
0.5,4.6,3
0.34,4.9,3
0.61,7.7,3
0.6,5.58,3
0.55,4,3
0.84,8.66,3
1.36,10.8,3
0.58,7.5,3
1.31,13,3
1.09,5.7,3
