@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
F, 0.55, 0.44, 0.15, 0.8945, 0.3145, 0.151, 0.32, 19
F, 0.55, 0.415, 0.135, 0.7635, 0.318, 0.21, 0.2, 9
F, 0.615, 0.48, 0.165, 1.1615, 0.513, 0.301, 0.305, 10
M, 0.605, 0.475, 0.18, 0.9365, 0.394, 0.219, 0.295, 15
M, 0.45, 0.345, 0.105, 0.4115, 0.18, 0.1125, 0.135, 7
I, 0.31, 0.235, 0.07, 0.151, 0.063, 0.0405, 0.045, 6
F, 0.615, 0.475, 0.17, 1.1025, 0.4695, 0.2355, 0.345, 14
M, 0.695, 0.56, 0.19, 1.494, 0.588, 0.3425, 0.485, 15
M, 0.53, 0.435, 0.16, 0.883, 0.316, 0.164, 0.335, 15
M, 0.53, 0.415, 0.14, 0.724, 0.3105, 0.1675, 0.205, 10
F, 0.47, 0.365, 0.105, 0.4205, 0.163, 0.1035, 0.14, 9
F, 0.515, 0.425, 0.14, 0.766, 0.304, 0.1725, 0.255, 14
I, 0.17, 0.13, 0.095, 0.03, 0.013, 0.0080, 0.01, 4
F, 0.575, 0.46, 0.19, 0.994, 0.392, 0.2425, 0.34, 13
F, 0.52, 0.405, 0.115, 0.776, 0.32, 0.1845, 0.22, 8
I, 0.315, 0.21, 0.06, 0.125, 0.06, 0.0375, 0.035, 5
M, 0.58, 0.45, 0.15, 0.927, 0.276, 0.1815, 0.36, 14
I, 0.4, 0.3, 0.11, 0.315, 0.109, 0.067, 0.12, 9
M, 0.55, 0.405, 0.14, 0.8025, 0.244, 0.1635, 0.255, 10
I, 0.36, 0.275, 0.085, 0.1975, 0.0745, 0.0415, 0.07, 9
M, 0.53, 0.42, 0.165, 0.8945, 0.319, 0.239, 0.245, 11
M, 0.27, 0.2, 0.08, 0.1205, 0.0465, 0.028, 0.04, 6
F, 0.455, 0.355, 0.12, 0.4495, 0.177, 0.104, 0.15, 9
M, 0.485, 0.395, 0.14, 0.6295, 0.2285, 0.127, 0.225, 14
I, 0.295, 0.215, 0.085, 0.128, 0.049, 0.034, 0.04, 6
M, 0.36, 0.27, 0.1, 0.217, 0.0885, 0.0495, 0.0715, 6
F, 0.47, 0.36, 0.13, 0.472, 0.182, 0.114, 0.15, 10
M, 0.55, 0.41, 0.125, 0.7605, 0.2505, 0.1635, 0.195, 14
I, 0.45, 0.355, 0.11, 0.4585, 0.194, 0.067, 0.14, 8
I, 0.265, 0.21, 0.06, 0.0965, 0.0425, 0.022, 0.03, 5
M, 0.385, 0.31, 0.1, 0.2845, 0.1065, 0.075, 0.1, 11
I, 0.265, 0.205, 0.07, 0.1055, 0.039, 0.041, 0.035, 5
I, 0.32, 0.255, 0.1, 0.1755, 0.073, 0.0415, 0.065, 7
M, 0.5, 0.38, 0.155, 0.5955, 0.2135, 0.161, 0.2, 12
M, 0.6, 0.475, 0.19, 1.0875, 0.403, 0.2655, 0.325, 14
M, 0.61, 0.48, 0.15, 1.2, 0.56, 0.2455, 0.28, 14
F, 0.585, 0.45, 0.17, 0.8685, 0.3325, 0.1635, 0.27, 22
M, 0.7, 0.58, 0.205, 2.13, 0.7415, 0.49, 0.58, 20
M, 0.675, 0.525, 0.185, 1.587, 0.6935, 0.336, 0.395, 13
F, 0.645, 0.525, 0.19, 1.8085, 0.7035, 0.3885, 0.395, 18
M, 0.745, 0.585, 0.215, 2.499, 0.9265, 0.472, 0.7, 17
F, 0.685, 0.545, 0.18, 1.768, 0.7495, 0.392, 0.485, 16
F, 0.675, 0.545, 0.195, 1.7345, 0.6845, 0.3695, 0.605, 20
M, 0.63, 0.49, 0.19, 1.1775, 0.4935, 0.3365, 0.285, 11
M, 0.485, 0.4, 0.135, 0.663, 0.313, 0.137, 0.2, 10
I, 0.44, 0.345, 0.12, 0.365, 0.1655, 0.083, 0.11, 7
F, 0.63, 0.5, 0.155, 1.005, 0.367, 0.199, 0.36, 16
M, 0.545, 0.41, 0.14, 0.625, 0.223, 0.16, 0.235, 13
M, 0.605, 0.5, 0.175, 1.098, 0.4765, 0.232, 0.375, 12
M, 0.675, 0.555, 0.2, 1.4385, 0.545, 0.2665, 0.465, 21
F, 0.615, 0.525, 0.155, 1.0385, 0.427, 0.2315, 0.345, 11
F, 0.62, 0.52, 0.225, 1.1835, 0.378, 0.27, 0.395, 23
F, 0.455, 0.35, 0.14, 0.5185, 0.221, 0.1265, 0.135, 10
F, 0.44, 0.355, 0.115, 0.415, 0.1585, 0.0925, 0.131, 11
F, 0.57, 0.44, 0.14, 0.9535, 0.3785, 0.201, 0.305, 17
I, 0.605, 0.47, 0.14, 0.939, 0.3385, 0.201, 0.32, 13
M, 0.195, 0.145, 0.05, 0.032, 0.01, 0.0080, 0.012, 4
I, 0.62, 0.485, 0.18, 1.1785, 0.4675, 0.2655, 0.39, 13
M, 0.48, 0.375, 0.145, 0.777, 0.216, 0.13, 0.17, 9
M, 0.295, 0.215, 0.075, 0.129, 0.05, 0.0295, 0.04, 7
I, 0.58, 0.49, 0.195, 1.3165, 0.5305, 0.254, 0.41, 18
F, 0.53, 0.41, 0.165, 0.8115, 0.24, 0.169, 0.24, 19
F, 0.37, 0.275, 0.1, 0.2225, 0.093, 0.026, 0.08, 8
M, 0.565, 0.44, 0.185, 0.909, 0.344, 0.2325, 0.255, 15
M, 0.28, 0.205, 0.1, 0.1165, 0.0545, 0.0285, 0.03, 5
I, 0.25, 0.19, 0.06, 0.0765, 0.036, 0.0115, 0.0245, 6
M, 0.525, 0.41, 0.13, 0.99, 0.3865, 0.243, 0.295, 15
M, 0.465, 0.36, 0.08, 0.488, 0.191, 0.125, 0.155, 11
M, 0.52, 0.385, 0.115, 0.669, 0.2385, 0.172, 0.205, 12
F, 0.36, 0.265, 0.09, 0.2065, 0.078, 0.057, 0.06, 8
F, 0.485, 0.375, 0.135, 0.556, 0.1925, 0.1315, 0.1685, 10
I, 0.28, 0.205, 0.07, 0.1015, 0.041, 0.03, 0.03, 6
I, 0.235, 0.175, 0.055, 0.067, 0.027, 0.0125, 0.018, 6
I, 0.36, 0.3, 0.085, 0.27, 0.1185, 0.064, 0.0745, 7
I, 0.38, 0.275, 0.095, 0.1375, 0.086, 0.0585, 0.0605, 7
I, 0.395, 0.29, 0.095, 0.319, 0.138, 0.08, 0.082, 7
M, 0.47, 0.375, 0.12, 0.5805, 0.266, 0.0935, 0.169, 8
M, 0.505, 0.44, 0.14, 0.8275, 0.3415, 0.1855, 0.239, 8
F, 0.55, 0.45, 0.15, 0.875, 0.362, 0.1755, 0.2765, 10
F, 0.575, 0.465, 0.14, 0.958, 0.442, 0.1815, 0.2705, 9
M, 0.59, 0.46, 0.13, 1.102, 0.455, 0.2055, 0.33, 12
F, 0.625, 0.49, 0.2, 1.3825, 0.5895, 0.285, 0.381, 11
M, 0.66, 0.52, 0.19, 1.558, 0.755, 0.298, 0.4, 10
I, 0.32, 0.24, 0.09, 0.1575, 0.07, 0.0265, 0.0425, 5
I, 0.345, 0.265, 0.1, 0.2455, 0.111, 0.0535, 0.065, 7
I, 0.385, 0.265, 0.08, 0.251, 0.124, 0.037, 0.07, 6
F, 0.475, 0.36, 0.12, 0.5915, 0.3245, 0.11, 0.127, 6
M, 0.495, 0.395, 0.135, 0.6335, 0.3035, 0.1295, 0.1495, 8
I, 0.5, 0.385, 0.12, 0.56, 0.2835, 0.103, 0.135, 8
M, 0.5, 0.4, 0.125, 0.6725, 0.336, 0.12, 0.1825, 7
M, 0.505, 0.41, 0.125, 0.642, 0.289, 0.133, 0.155, 9
M, 0.51, 0.405, 0.15, 0.7035, 0.347, 0.134, 0.1885, 8
F, 0.53, 0.425, 0.13, 0.7585, 0.325, 0.197, 0.205, 8
F, 0.595, 0.47, 0.155, 1.121, 0.4515, 0.178, 0.155, 11
M, 0.595, 0.475, 0.165, 1.213, 0.621, 0.2435, 0.274, 9
M, 0.66, 0.535, 0.19, 1.5905, 0.6425, 0.297, 0.5175, 9
M, 0.765, 0.6, 0.22, 2.302, 1.007, 0.509, 0.6205, 12
I, 0.195, 0.15, 0.045, 0.0375, 0.018, 0.0060, 0.011, 3
I, 0.245, 0.18, 0.065, 0.071, 0.03, 0.013, 0.0215, 4
I, 0.28, 0.21, 0.085, 0.1075, 0.0415, 0.024, 0.034, 5
I, 0.405, 0.3, 0.11, 0.32, 0.172, 0.044, 0.093, 7
M, 0.43, 0.335, 0.12, 0.397, 0.1985, 0.0865, 0.1035, 7
I, 0.45, 0.34, 0.12, 0.4925, 0.241, 0.1075, 0.12, 6
I, 0.51, 0.405, 0.125, 0.6795, 0.3465, 0.1395, 0.182, 8
I, 0.525, 0.4, 0.13, 0.6455, 0.325, 0.1245, 0.17, 8
M, 0.525, 0.405, 0.12, 0.7555, 0.3755, 0.1555, 0.201, 9
M, 0.565, 0.435, 0.15, 0.99, 0.5795, 0.1825, 0.206, 8
F, 0.57, 0.445, 0.145, 0.8775, 0.412, 0.217, 0.22, 8
M, 0.575, 0.445, 0.17, 1.0225, 0.549, 0.2175, 0.228, 9
M, 0.63, 0.47, 0.155, 1.1325, 0.589, 0.211, 0.287, 8
M, 0.63, 0.5, 0.175, 1.2645, 0.5635, 0.3065, 0.3425, 10
M, 0.645, 0.53, 0.195, 1.39, 0.6465, 0.2945, 0.3735, 10
M, 0.65, 0.5, 0.155, 1.202, 0.565, 0.3135, 0.294, 11
