@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
M, 0.475, 0.37, 0.125, 0.5095, 0.2165, 0.1125, 0.165, 9
F, 0.525, 0.38, 0.14, 0.6065, 0.194, 0.1475, 0.21, 14
M, 0.45, 0.32, 0.1, 0.381, 0.1705, 0.075, 0.115, 9
M, 0.355, 0.28, 0.095, 0.2455, 0.0955, 0.062, 0.075, 11
F, 0.705, 0.55, 0.2, 1.7095, 0.633, 0.4115, 0.49, 13
M, 0.465, 0.355, 0.105, 0.4795, 0.227, 0.124, 0.125, 8
I, 0.39, 0.295, 0.095, 0.203, 0.0875, 0.045, 0.075, 7
M, 0.52, 0.4, 0.12, 0.58, 0.234, 0.1315, 0.185, 8
F, 0.46, 0.355, 0.13, 0.517, 0.2205, 0.114, 0.165, 9
F, 0.545, 0.43, 0.165, 0.802, 0.2935, 0.183, 0.28, 11
F, 0.435, 0.395, 0.105, 0.3635, 0.136, 0.098, 0.13, 9
I, 0.435, 0.32, 0.08, 0.3325, 0.1485, 0.0635, 0.105, 9
F, 0.545, 0.41, 0.125, 0.6935, 0.2975, 0.146, 0.21, 11
I, 0.36, 0.28, 0.08, 0.1755, 0.081, 0.0505, 0.07, 6
F, 0.68, 0.515, 0.175, 1.6185, 0.5125, 0.409, 0.62, 12
F, 0.63, 0.48, 0.15, 1.0525, 0.392, 0.336, 0.285, 12
M, 0.615, 0.48, 0.18, 1.1595, 0.4845, 0.2165, 0.325, 13
M, 0.61, 0.485, 0.17, 1.0225, 0.419, 0.2405, 0.36, 12
M, 0.5, 0.405, 0.155, 0.772, 0.346, 0.1535, 0.245, 12
F, 0.53, 0.435, 0.17, 0.8155, 0.2985, 0.155, 0.275, 13
F, 0.47, 0.35, 0.145, 0.5175, 0.187, 0.1235, 0.18, 11
I, 0.425, 0.38, 0.105, 0.3265, 0.1285, 0.0785, 0.1, 10
I, 0.275, 0.215, 0.075, 0.1155, 0.0485, 0.029, 0.035, 7
M, 0.565, 0.425, 0.16, 0.9425, 0.3495, 0.2185, 0.275, 17
M, 0.52, 0.45, 0.15, 0.895, 0.3615, 0.186, 0.235, 14
F, 0.64, 0.525, 0.215, 1.779, 0.4535, 0.2855, 0.55, 22
M, 0.53, 0.435, 0.155, 0.699, 0.288, 0.1595, 0.205, 10
M, 0.54, 0.435, 0.18, 0.996, 0.3835, 0.226, 0.325, 17
I, 0.28, 0.21, 0.085, 0.1065, 0.039, 0.0295, 0.03, 4
I, 0.3, 0.22, 0.08, 0.121, 0.0475, 0.042, 0.035, 5
M, 0.575, 0.455, 0.145, 1.165, 0.581, 0.2275, 0.3, 14
M, 0.57, 0.46, 0.14, 0.9535, 0.4465, 0.2065, 0.245, 12
M, 0.605, 0.49, 0.18, 1.227, 0.48, 0.287, 0.35, 18
I, 0.465, 0.375, 0.12, 0.471, 0.222, 0.119, 0.14, 9
M, 0.535, 0.44, 0.15, 0.6765, 0.256, 0.139, 0.26, 12
F, 0.435, 0.325, 0.11, 0.4335, 0.178, 0.0985, 0.155, 7
M, 0.555, 0.45, 0.145, 0.915, 0.4, 0.246, 0.285, 11
F, 0.61, 0.485, 0.165, 1.0915, 0.3935, 0.2435, 0.33, 18
M, 0.6, 0.47, 0.155, 1.036, 0.4375, 0.196, 0.325, 20
F, 0.645, 0.55, 0.175, 1.2915, 0.57, 0.3045, 0.33, 14
F, 0.67, 0.55, 0.19, 1.3905, 0.5425, 0.3035, 0.4, 12
F, 0.545, 0.415, 0.16, 0.7715, 0.272, 0.1455, 0.2765, 10
M, 0.63, 0.48, 0.145, 1.0115, 0.4235, 0.237, 0.305, 12
F, 0.585, 0.465, 0.14, 0.908, 0.381, 0.1615, 0.315, 13
M, 0.55, 0.45, 0.13, 0.92, 0.378, 0.2385, 0.29, 11
M, 0.625, 0.5, 0.195, 1.369, 0.5875, 0.2185, 0.37, 17
F, 0.625, 0.5, 0.15, 0.953, 0.3445, 0.2235, 0.305, 15
F, 0.625, 0.485, 0.19, 1.1745, 0.4385, 0.2305, 0.42, 17
M, 0.275, 0.205, 0.07, 0.094, 0.0335, 0.02, 0.0325, 5
I, 0.5, 0.385, 0.15, 0.6265, 0.2605, 0.1665, 0.16, 10
F, 0.475, 0.35, 0.115, 0.452, 0.1715, 0.092, 0.155, 11
F, 0.41, 0.305, 0.1, 0.363, 0.1735, 0.065, 0.11, 11
I, 0.495, 0.39, 0.125, 0.6655, 0.284, 0.162, 0.2, 11
I, 0.52, 0.425, 0.17, 0.6805, 0.28, 0.174, 0.195, 10
M, 0.535, 0.42, 0.15, 0.6995, 0.2575, 0.153, 0.24, 12
F, 0.55, 0.43, 0.14, 0.7135, 0.2565, 0.186, 0.225, 9
F, 0.56, 0.445, 0.195, 0.981, 0.305, 0.2245, 0.335, 16
I, 0.515, 0.39, 0.14, 0.5555, 0.2, 0.1135, 0.2235, 12
F, 0.525, 0.405, 0.16, 0.658, 0.2655, 0.1125, 0.225, 12
M, 0.255, 0.18, 0.065, 0.079, 0.034, 0.014, 0.025, 5
F, 0.485, 0.38, 0.15, 0.605, 0.2155, 0.14, 0.18, 15
M, 0.49, 0.39, 0.15, 0.573, 0.225, 0.124, 0.17, 21
M, 0.485, 0.37, 0.14, 0.5725, 0.204, 0.1415, 0.175, 10
F, 0.535, 0.405, 0.125, 0.927, 0.26, 0.1425, 0.345, 16
F, 0.43, 0.335, 0.12, 0.444, 0.155, 0.1145, 0.14, 13
M, 0.315, 0.25, 0.09, 0.203, 0.0615, 0.037, 0.0795, 11
I, 0.295, 0.225, 0.09, 0.1105, 0.0405, 0.0245, 0.032, 7
M, 0.485, 0.355, 0.12, 0.547, 0.215, 0.1615, 0.14, 10
M, 0.62, 0.505, 0.185, 1.5275, 0.69, 0.368, 0.35, 13
M, 0.57, 0.43, 0.12, 1.0615, 0.348, 0.167, 0.31, 15
M, 0.505, 0.385, 0.145, 0.6775, 0.236, 0.179, 0.2, 15
M, 0.56, 0.41, 0.165, 0.93, 0.3505, 0.237, 0.3, 13
M, 0.505, 0.385, 0.15, 0.6415, 0.246, 0.152, 0.215, 12
M, 0.515, 0.405, 0.145, 0.695, 0.215, 0.1635, 0.234, 15
M, 0.53, 0.41, 0.155, 0.7155, 0.2805, 0.1685, 0.214, 11
M, 0.46, 0.34, 0.135, 0.495, 0.1655, 0.117, 0.185, 10
I, 0.255, 0.185, 0.06, 0.088, 0.0365, 0.021, 0.023, 5
I, 0.35, 0.25, 0.07, 0.18, 0.0655, 0.048, 0.054, 6
I, 0.41, 0.325, 0.1, 0.394, 0.208, 0.0655, 0.106, 6
