@relation abalone
@attribute Sex {M, F, I}
@attribute Length real [0.075,  0.815]
@attribute Diameter real [0.055,  0.65]
@attribute Height real [0.0,  1.13]
@attribute Whole_weight real [0.0020,  2.8255]
@attribute Shucked_weight real [0.0010,  1.488]
@attribute Viscera_weight real [5.0E-4,  0.76]
@attribute Shell_weight real [0.0015,  1.005]
@attribute Rings {15, 7, 9, 10, 8, 20, 16, 19, 14, 11, 12, 18, 13, 5, 4, 6, 21, 17, 22, 1, 3, 26, 23, 29, 2, 27, 25, 24}
@data
F, 0.53, 0.42, 0.135, 0.677, 0.2565, 0.1415, 0.21, 9
F, 0.535, 0.405, 0.145, 0.6845, 0.2725, 0.171, 0.205, 10
M, 0.5, 0.4, 0.13, 0.6645, 0.258, 0.133, 0.24, 12
F, 0.44, 0.34, 0.1, 0.451, 0.188, 0.087, 0.13, 10
M, 0.59, 0.445, 0.14, 0.931, 0.356, 0.234, 0.28, 12
M, 0.665, 0.525, 0.165, 1.338, 0.5515, 0.3575, 0.35, 18
F, 0.45, 0.355, 0.105, 0.5225, 0.237, 0.1165, 0.145, 8
F, 0.46, 0.375, 0.12, 0.4605, 0.1775, 0.11, 0.15, 7
M, 0.505, 0.405, 0.11, 0.625, 0.305, 0.16, 0.175, 9
M, 0.555, 0.425, 0.13, 0.7665, 0.264, 0.168, 0.275, 13
M, 0.595, 0.475, 0.14, 0.944, 0.3625, 0.189, 0.315, 9
F, 0.57, 0.465, 0.18, 1.295, 0.339, 0.2225, 0.44, 12
M, 0.595, 0.465, 0.175, 1.115, 0.4015, 0.254, 0.39, 13
M, 0.495, 0.395, 0.125, 0.5415, 0.2375, 0.1345, 0.155, 9
M, 0.425, 0.35, 0.105, 0.393, 0.13, 0.063, 0.165, 9
F, 0.565, 0.445, 0.155, 0.826, 0.341, 0.2055, 0.2475, 10
I, 0.175, 0.13, 0.055, 0.0315, 0.0105, 0.0065, 0.0125, 5
M, 0.705, 0.56, 0.22, 1.981, 0.8175, 0.3085, 0.76, 14
F, 0.585, 0.46, 0.17, 0.9325, 0.365, 0.271, 0.29, 9
F, 0.485, 0.395, 0.16, 0.66, 0.2475, 0.128, 0.235, 14
M, 0.45, 0.35, 0.13, 0.46, 0.174, 0.111, 0.135, 8
F, 0.445, 0.325, 0.125, 0.455, 0.1785, 0.1125, 0.14, 9
F, 0.49, 0.375, 0.15, 0.5755, 0.22, 0.144, 0.19, 9
M, 0.565, 0.44, 0.175, 0.9025, 0.31, 0.193, 0.325, 14
M, 0.625, 0.505, 0.215, 1.4455, 0.496, 0.287, 0.435, 22
I, 0.13, 0.1, 0.03, 0.013, 0.0045, 0.0030, 0.0040, 3
I, 0.27, 0.2, 0.07, 0.1, 0.034, 0.0245, 0.035, 5
I, 0.35, 0.26, 0.085, 0.174, 0.0705, 0.0345, 0.06, 10
I, 0.345, 0.27, 0.11, 0.2135, 0.082, 0.0545, 0.07, 7
F, 0.575, 0.46, 0.185, 1.094, 0.4485, 0.217, 0.345, 15
F, 0.45, 0.36, 0.125, 0.4995, 0.2035, 0.1, 0.17, 13
F, 0.66, 0.53, 0.185, 1.3485, 0.493, 0.245, 0.49, 12
I, 0.2, 0.145, 0.06, 0.037, 0.0125, 0.0095, 0.011, 4
M, 0.595, 0.455, 0.195, 1.3305, 0.4595, 0.3235, 0.345, 19
I, 0.235, 0.175, 0.04, 0.0705, 0.0335, 0.015, 0.02, 5
F, 0.46, 0.425, 0.155, 0.746, 0.3005, 0.152, 0.24, 8
F, 0.525, 0.42, 0.16, 0.756, 0.2745, 0.173, 0.275, 9
F, 0.61, 0.495, 0.185, 1.153, 0.536, 0.2905, 0.245, 8
F, 0.65, 0.525, 0.175, 1.4225, 0.61, 0.2995, 0.445, 20
F, 0.66, 0.565, 0.195, 1.7605, 0.692, 0.3265, 0.5, 16
M, 0.565, 0.465, 0.175, 0.995, 0.3895, 0.183, 0.37, 15
F, 0.61, 0.495, 0.185, 1.1085, 0.3705, 0.3135, 0.33, 12
M, 0.49, 0.42, 0.125, 0.609, 0.239, 0.1435, 0.22, 14
I, 0.345, 0.275, 0.095, 0.1995, 0.0755, 0.0535, 0.07, 6
M, 0.585, 0.475, 0.12, 0.945, 0.41, 0.2115, 0.28, 14
F, 0.58, 0.46, 0.12, 0.9935, 0.4625, 0.2385, 0.28, 11
M, 0.39, 0.3, 0.09, 0.3055, 0.143, 0.0645, 0.085, 9
I, 0.335, 0.26, 0.1, 0.192, 0.0785, 0.0585, 0.07, 8
F, 0.505, 0.425, 0.14, 0.85, 0.275, 0.1625, 0.285, 19
M, 0.725, 0.565, 0.215, 1.891, 0.6975, 0.4725, 0.58, 16
M, 0.53, 0.415, 0.175, 0.7395, 0.261, 0.1395, 0.2645, 17
M, 0.735, 0.59, 0.225, 1.756, 0.637, 0.3405, 0.58, 21
M, 0.66, 0.545, 0.185, 1.32, 0.5305, 0.2635, 0.455, 16
M, 0.57, 0.465, 0.125, 0.849, 0.3785, 0.1765, 0.24, 15
F, 0.625, 0.515, 0.15, 1.2415, 0.5235, 0.3065, 0.36, 15
I, 0.68, 0.53, 0.185, 1.1095, 0.439, 0.245, 0.34, 10
F, 0.345, 0.25, 0.09, 0.203, 0.078, 0.059, 0.055, 6
F, 0.36, 0.27, 0.09, 0.1885, 0.0845, 0.0385, 0.055, 5
I, 0.53, 0.42, 0.185, 0.752, 0.299, 0.156, 0.205, 20
F, 0.375, 0.29, 0.115, 0.2705, 0.093, 0.066, 0.0885, 10
F, 0.47, 0.355, 0.13, 0.5465, 0.2005, 0.126, 0.185, 14
M, 0.35, 0.255, 0.065, 0.179, 0.0705, 0.0385, 0.06, 10
M, 0.28, 0.21, 0.08, 0.1085, 0.041, 0.0265, 0.0345, 7
F, 0.55, 0.41, 0.145, 0.8285, 0.3095, 0.1905, 0.25, 13
I, 0.51, 0.4, 0.15, 0.745, 0.2865, 0.1675, 0.235, 13
I, 0.425, 0.345, 0.125, 0.425, 0.16, 0.0795, 0.154, 13
I, 0.485, 0.37, 0.13, 0.458, 0.181, 0.113, 0.136, 10
F, 0.5, 0.385, 0.115, 0.6785, 0.2945, 0.138, 0.195, 12
F, 0.5, 0.385, 0.105, 0.498, 0.1795, 0.1095, 0.17, 17
