@relation contraceptive

@attribute Wife_age numeric
@attribute Wife_education numeric
@attribute Children numeric
@attribute Contraceptive_method {1,2,3}

@data
28,2,1,1
47,2,0,1
49,4,7,1
20,2,2,1
49,4,6,1
20,2,1,1
22,2,1,1
24,2,1,1
46,2,6,1
41,1,10,1
17,2,3,1
26,3,2,1
44,2,3,1
48,1,8,1
22,2,1,1
22,3,2,1
25,2,3,1
27,2,2,1
22,2,2,1
26,3,3,1
31,2,5,1
45,3,6,1
28,3,1,1
23,3,2,1
29,2,2,1
23,2,4,1
40,4,3,1
36,2,0,1
28,1,2,1
40,1,2,1
45,3,2,1
28,4,1,1
25,4,1,1
35,2,8,1
23,3,6,1
49,1,0,1
44,4,3,1
19,3,1,1
42,2,2,1
46,4,5,2
46,4,2,2
32,4,2,2
33,2,6,2
35,3,4,2
35,4,5,2
32,4,2,2
25,3,4,2
45,3,8,2
28,4,2,2
35,4,4,2
47,4,4,2
24,4,1,2
17,4,1,2
42,4,5,2
35,2,6,2
37,4,4,2
47,1,8,2
41,4,4,2
29,3,4,3
27,2,1,3
27,3,1,3
43,4,3,3
35,4,2,3
37,3,5,3
34,3,4,3
27,2,4,3
29,3,1,3
22,4,1,3
30,3,7,3
19,2,1,3
34,2,7,3
31,2,7,3
23,4,2,3
28,2,5,3
38,4,5,3
38,4,6,3
25,3,3,3
26,2,2,3
34,1,4,3
28,2,3,3
26,1,3,3
22,3,1,3
28,3,4,3
23,3,1,3
39,4,2,3
47,4,5,3
26,4,2,3
36,4,3,3
37,2,5,3
45,4,3,3
33,4,2,3
23,4,0,1
38,1,12,1
47,2,4,1
43,2,3,1
33,1,0,1
49,1,8,1
37,3,7,1
25,3,3,1
25,3,1,1
39,3,1,1
31,3,1,1
25,2,2,1
45,2,6,1
34,2,6,1
48,3,11,1
48,4,1,1
45,4,1,1
25,3,1,1
31,3,3,1
36,3,3,1
41,3,3,1
25,4,0,1
34,3,6,1
26,1,1,1
42,4,6,2
40,4,4,2
26,2,2,2
27,4,3,2
34,4,4,2
21,4,1,2
24,4,1,2
34,3,4,2
41,4,3,2
33,4,2,2
41,4,4,2
36,3,4,2
37,4,4,2
34,4,2,2
41,4,4,2
17,3,1,3
44,4,4,3
21,3,1,3
25,2,2,3
24,3,4,3
32,3,4,3
22,3,2,3
36,2,6,3
25,4,2,3
30,3,3,3
36,3,9,3
28,4,2,3
47,4,5,3
44,4,5,3
24,4,1,3
30,2,5,3
36,4,3,3
35,2,5,3
