@relation segment
@attribute Region-centroid-col real [1.0,  254.0]
@attribute Region-centroid-row real [11.0,  251.0]
@attribute Region-pixel-count real [9.0,  10.0]
@attribute Short-line-density-5 real [0.0,  0.33333334]
@attribute Short-line-density-2 real [0.0,  0.22222222]
@attribute Vedge-mean real [0.0,  29.222221]
@attribute Vegde-sd real [0.0,  991.7184]
@attribute Hedge-mean real [0.0,  44.722225]
@attribute Hedge-sd real [-1.5894573E-8,  1386.3292]
@attribute Intensity-mean real [0.0,  143.44444]
@attribute Rawred-mean real [0.0,  137.11111]
@attribute Rawblue-mean real [0.0,  150.88889]
@attribute Rawgreen-mean real [0.0,  142.55556]
@attribute Exred-mean real [-49.666668,  9.888889]
@attribute Exblue-mean real [-12.444445,  82.0]
@attribute Exgreen-mean real [-33.88889,  24.666666]
@attribute Value-mean real [0.0,  150.88889]
@attribute Saturatoin-mean real [0.0,  1.0]
@attribute Hue-mean real [-3.0441751,  2.9124804]
@attribute Class {1, 2, 3, 4, 5, 6, 7}
@data
248.0, 153.0, 9.0, 0.0, 0.0, 0.2777778, 0.062962964, 0.11111113, 0.029629637, 0.37037036, 0.0, 1.1111112, 0.0, -1.1111112, 2.2222223, -1.1111112, 1.1111112, 0.8888889, -2.0943952, 5
184.0, 145.0, 9.0, 0.0, 0.0, 0.72222227, 0.6116159, 0.22222222, 0.2721655, 0.5555556, 0.33333334, 1.2222222, 0.11111111, -0.6666667, 2.0, -1.3333334, 1.2222222, 0.5277778, -1.9209436, 5
54.0, 142.0, 9.0, 0.0, 0.0, 0.7222223, 0.82775915, 2.0, 2.1081848, 1.8148148, 0.8888889, 3.6666667, 0.8888889, -2.7777777, 5.5555553, -2.7777777, 3.6666667, 0.76944447, -2.0943952, 5
48.0, 173.0, 9.0, 0.0, 0.0, 1.1666666, 1.0697874, 1.4444447, 1.6420407, 19.222221, 16.444445, 16.444445, 24.777779, -8.333333, -8.333333, 16.666666, 24.777779, 0.34965578, 2.0995574, 7
239.0, 122.0, 9.0, 0.0, 0.0, 0.27777776, 0.06296293, 0.33333334, 0.17777774, 5.5555553, 7.0, 6.6666665, 3.0, 4.3333335, 3.3333333, -7.6666665, 7.2222223, 0.5813492, -0.95343477, 1
184.0, 145.0, 9.0, 0.0, 0.0, 0.9444445, 0.49065363, 1.7777778, 0.93491936, 3.4074075, 2.3333335, 5.7777777, 2.1111112, -3.2222223, 7.111111, -3.8888888, 5.7777777, 0.65661377, -2.0365057, 5
209.0, 249.0, 9.0, 0.0, 0.0, 2.4444444, 3.6296306, 2.777778, 4.2074075, 10.518518, 7.5555553, 8.111112, 15.888889, -8.888889, -7.2222223, 16.11111, 15.888889, 0.5333069, 2.1567793, 7
50.0, 199.0, 9.0, 0.0, 0.0, 3.2222226, 2.9789395, 5.611111, 4.6159945, 55.666668, 49.11111, 69.77778, 48.11111, -19.666666, 42.333332, -22.666666, 69.77778, 0.31241447, -2.0454311, 6
41.0, 103.0, 9.0, 0.0, 0.0, 2.4444454, 3.0962982, 1.777778, 1.4962941, 61.25926, 56.0, 73.44444, 54.333332, -15.777778, 36.555557, -20.777779, 73.44444, 0.25960675, -2.0029202, 4
98.0, 41.0, 9.0, 0.0, 0.0, 1.7222265, 0.77407277, 1.1111145, 0.87406844, 137.14815, 130.66667, 147.22223, 133.55556, -19.444445, 30.222221, -10.777778, 147.22223, 0.112421244, -2.2685292, 2
