@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0,  8025.0]
@attribute A3 real [0.0,  26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0,  14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0,  67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0,  2000]
@attribute A15 integer [0,  100000]
@attribute Class {positive, negative}
@data
a,245.0,5.0,u,g,q,h,15.0,t,f,0,f,g,280,824,positive
b,425.0,4915.0,y,p,w,v,3165.0,t,f,0,t,g,52,1442,positive
b,2992.0,1835.0,u,g,c,h,4335.0,t,f,0,f,g,260,200,positive
a,2325.0,5875.0,u,g,q,v,317.0,t,t,10,f,g,120,245,positive
a,2742.0,145.0,u,g,x,h,3085.0,t,t,1,f,g,120,11,positive
a,47.0,13.0,u,g,i,bb,5165.0,t,t,9,t,g,0,0,positive
b,4433.0,5.0,u,g,i,h,5.0,t,f,0,t,g,320,0,positive
b,255.0,375.0,u,g,m,v,25.0,t,t,3,f,g,260,15108,positive
b,4425.0,5.0,u,g,m,v,1075.0,t,f,0,f,s,400,0,negative
b,2167.0,1165.0,y,p,k,v,25.0,t,t,1,f,g,180,20,negative
a,2767.0,15.0,u,g,m,v,2.0,t,f,0,f,s,368,0,negative
b,3142.0,155.0,u,g,c,v,5.0,t,f,0,f,g,120,0,negative
b,2875.0,15.0,y,p,c,v,15.0,t,f,0,t,g,0,225,negative
b,4092.0,225.0,y,p,x,h,10.0,t,f,0,t,g,176,0,negative
b,4767.0,25.0,u,g,m,bb,25.0,t,t,12,t,g,410,2510,positive
b,3442.0,425.0,u,g,i,bb,325.0,t,t,2,f,g,274,610,positive
b,3992.0,54.0,y,p,aa,v,5.0,t,t,3,f,g,200,1000,positive
b,28.0,2.0,u,g,k,h,4165.0,t,t,2,t,g,181,0,positive
a,3542.0,12.0,u,g,q,h,14.0,t,t,8,f,g,0,6590,positive
b,4817.0,35.0,u,g,aa,v,35.0,t,f,0,f,s,230,0,positive
a,1883.0,954.0,u,g,aa,v,85.0,t,f,0,f,g,100,0,positive
b,2133.0,75.0,u,g,aa,v,1415.0,t,t,1,f,g,80,9800,positive
b,3317.0,304.0,y,p,c,h,204.0,t,t,1,t,g,180,18027,positive
b,4142.0,5.0,u,g,q,h,5.0,t,t,6,t,g,470,0,positive
a,2042.0,105.0,y,p,x,h,0.0,f,f,0,t,g,154,32,negative
b,5075.0,585.0,u,g,ff,ff,0.0,f,f,0,f,g,145,0,negative
b,1808.0,675.0,y,p,m,v,4.0,f,f,0,f,g,140,0,negative
b,2325.0,12625.0,u,g,c,v,125.0,f,t,2,f,g,0,5552,negative
b,3575.0,2415.0,u,g,w,v,125.0,f,t,2,f,g,220,1,negative
a,2483.0,45.0,u,g,w,v,1.0,f,f,0,t,g,360,6,negative
