@relation tae

@attribute Native numeric
@attribute Size numeric
@attribute Class {1,2,3}

@data
1,13,1
2,19,1
2,29,1
2,48,1
2,51,1
2,30,1
2,12,1
1,38,1
2,19,1
2,19,1
2,42,1
2,28,1
2,21,1
2,27,1
2,48,1
2,38,1
2,11,1
2,34,1
2,30,1
2,66,1
2,24,1
2,19,1
2,15,1
2,3,1
2,23,1
2,29,1
1,48,1
2,19,1
2,37,1
2,12,1
2,42,1
1,13,1
2,14,1
2,28,1
2,51,1
2,51,1
2,38,1
2,37,1
2,36,1
2,36,1
2,27,1
2,31,1
2,29,1
1,32,1
2,11,2
2,13,2
2,37,2
2,31,2
2,42,2
2,10,2
1,27,2
2,17,2
1,22,2
2,18,2
2,37,2
2,24,2
2,43,2
2,24,2
2,22,2
2,31,2
2,21,2
2,10,2
2,14,2
2,10,2
1,15,2
2,38,2
2,27,2
2,46,2
2,23,2
2,42,2
2,10,2
2,16,2
1,20,2
2,42,2
2,20,2
2,27,2
2,24,2
2,46,2
2,37,2
2,43,2
2,38,2
2,20,2
1,35,2
2,42,2
2,13,2
2,10,2
2,25,2
2,22,2
2,5,2
1,20,3
2,19,3
1,49,3
2,30,3
2,31,3
2,55,3
1,29,3
1,25,3
2,39,3
2,39,3
2,19,3
2,20,3
2,17,3
2,17,3
2,29,3
2,24,3
2,30,3
1,49,3
2,25,3
1,19,3
1,58,3
2,45,3
2,36,3
1,38,3
2,27,3
2,11,3
2,55,3
2,9,3
1,19,3
2,19,3
2,9,3
2,20,3
2,29,3
2,20,3
1,31,3
1,17,3
1,33,3
1,45,3
1,54,3
1,33,3
2,20,3
2,11,3
2,39,3
1,19,3
2,17,3
1,21,3
2,20,3
