@relation tae

@attribute Size numeric
@attribute Class {1,2,3}

@data
27,1
14,1
15,1
38,1
42,1
24,1
29,1
51,1
36,1
37,1
12,1
19,1
19,1
19,1
28,1
38,1
29,1
13,1
11,1
48,1
29,1
26,1
31,1
30,1
36,1
12,1
31,1
21,1
27,1
51,1
28,1
48,1
34,1
37,1
21,1
19,1
3,1
10,1
51,1
32,1
38,1
19,1
42,1
48,1
11,2
27,2
10,2
22,2
18,2
10,2
38,2
10,2
38,2
18,2
13,2
17,2
42,2
14,2
37,2
31,2
43,2
31,2
10,2
46,2
37,2
42,2
27,2
16,2
23,2
10,2
20,2
27,2
20,2
35,2
13,2
43,2
24,2
25,2
20,2
23,2
42,2
20,2
22,2
5,2
24,2
24,2
44,2
22,2
42,2
11,3
27,3
9,3
30,3
24,3
11,3
20,3
25,3
39,3
17,3
20,3
9,3
20,3
49,3
29,3
20,3
45,3
33,3
49,3
19,3
58,3
17,3
36,3
45,3
19,3
55,3
20,3
17,3
19,3
54,3
31,3
7,3
38,3
20,3
17,3
20,3
33,3
58,3
31,3
55,3
19,3
39,3
17,3
29,3
19,3
21,3
39,3
