@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Major_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
100,216,225,195,saab
76,164,191,197,saab
63,142,162,185,saab
101,210,236,197,opel
98,193,214,204,opel
75,146,170,188,opel
78,142,168,201,van
80,147,172,193,opel
57,125,142,184,opel
80,159,169,193,van
68,150,171,183,bus
79,144,168,197,van
68,147,169,184,bus
73,151,175,205,bus
66,145,169,207,bus
98,240,258,184,bus
79,162,183,198,opel
64,149,167,182,bus
72,138,163,192,opel
106,208,217,199,saab
68,151,170,183,bus
104,208,220,198,saab
64,134,163,201,van
74,165,188,200,bus
65,151,170,184,bus
75,140,164,185,van
103,212,229,196,opel
68,142,164,203,bus
60,119,140,207,van
62,122,143,185,van
106,257,275,184,bus
73,154,171,206,bus
70,151,171,186,bus
100,192,210,202,opel
66,126,159,194,van
51,120,138,183,van
78,142,160,207,van
96,188,206,200,opel
75,140,158,190,opel
77,151,175,208,opel
105,198,213,205,saab
85,152,175,197,van
70,140,162,202,van
51,120,135,184,opel
60,119,139,198,van
73,142,169,199,van
101,225,225,198,opel
78,161,172,193,van
76,157,180,206,saab
66,151,173,183,bus
98,215,222,201,opel
108,218,223,204,saab
89,177,202,196,saab
83,160,189,191,saab
69,150,174,182,bus
108,222,226,203,saab
103,214,229,201,saab
65,150,169,183,bus
72,153,175,188,bus
70,137,156,205,van
69,140,165,206,opel
70,143,166,193,bus
76,178,194,200,bus
83,177,189,198,bus
78,161,182,211,opel
92,179,197,204,opel
60,128,147,209,van
83,164,189,193,saab
80,154,180,195,saab
69,130,147,200,opel
85,169,184,210,saab
105,201,214,204,saab
107,225,228,201,opel
74,145,173,200,bus
101,197,216,197,saab
68,150,169,184,bus
69,135,165,191,van
96,218,221,198,saab
52,115,135,190,van
82,154,180,193,saab
105,210,222,196,saab
71,137,158,186,saab
100,224,223,198,opel
76,151,173,200,van
101,222,228,201,saab
