@relation vehicle

@attribute Compactness numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
95,176,187,van
107,280,181,bus
89,173,187,van
85,169,188,van
107,229,187,saab
100,170,192,van
89,170,184,van
101,169,202,bus
86,165,180,saab
104,227,193,bus
99,232,191,bus
110,278,181,bus
89,229,184,van
90,172,201,saab
104,207,195,saab
94,208,196,bus
82,152,177,opel
92,169,203,saab
110,226,191,saab
98,157,186,van
100,204,197,bus
92,181,190,saab
86,163,189,van
93,165,195,van
85,166,179,bus
95,158,184,van
92,170,198,opel
82,178,185,bus
88,174,185,van
88,151,180,saab
87,184,189,bus
90,168,195,bus
98,197,199,bus
89,153,201,van
107,217,189,opel
98,207,191,saab
98,195,193,saab
109,225,191,saab
82,151,179,saab
80,151,179,opel
100,234,186,opel
108,285,182,bus
88,174,196,bus
80,170,180,bus
86,190,193,opel
112,223,191,saab
98,207,194,saab
92,181,197,opel
92,149,204,van
86,148,183,opel
97,224,188,opel
101,223,190,saab
89,167,189,van
89,148,186,van
92,179,195,bus
88,148,199,van
88,163,196,bus
107,226,188,saab
86,170,179,bus
105,231,187,opel
99,222,189,opel
89,166,187,opel
104,237,188,opel
93,149,198,saab
84,166,189,saab
98,199,196,bus
103,214,191,opel
108,228,190,opel
91,216,190,opel
90,178,198,bus
110,209,194,saab
90,173,182,van
93,197,187,opel
93,156,203,van
105,207,194,opel
91,157,191,van
96,179,202,bus
115,207,198,saab
103,220,187,saab
84,173,181,bus
94,161,192,van
100,217,188,opel
89,189,194,opel
105,214,190,opel
