@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
7,48,280,van
6,58,196,van
8,51,253,van
8,52,246,van
10,43,367,van
9,48,281,van
7,51,251,van
8,46,307,van
6,57,206,van
9,46,309,van
8,49,279,van
10,50,265,van
10,46,308,van
10,43,357,van
7,49,278,van
7,52,246,van
5,56,213,van
9,44,339,van
11,44,338,van
9,53,237,van
11,43,373,van
10,44,352,van
6,56,211,van
12,44,351,van
8,47,294,van
8,50,260,van
8,48,289,van
10,44,351,van
7,51,262,van
9,49,268,van
11,43,367,van
7,52,249,van
7,49,272,van
9,45,323,van
8,52,258,van
9,50,268,van
11,43,365,van
11,43,375,van
10,43,363,van
9,44,347,van
3,57,203,van
11,43,362,van
7,53,249,van
6,52,243,van
5,57,207,van
11,43,363,van
46,45,332,van
8,45,318,van
6,55,223,van
10,45,334,van
9,43,359,van
8,50,265,van
9,45,324,van
6,55,222,van
6,56,209,van
4,57,208,van
8,50,265,van
9,44,333,van
6,53,247,van
8,52,253,van
6,55,218,van
9,44,339,van
8,46,305,van
11,43,369,van
9,46,305,van
9,50,258,van
8,48,283,van
11,42,387,van
8,51,253,van
10,43,355,van
4,57,205,van
7,51,254,van
10,43,365,van
9,43,363,van
11,42,376,van
8,48,284,van
9,46,314,van
5,53,241,van
5,56,212,van
11,44,355,van
7,49,284,van
11,44,352,van
9,44,358,van
10,43,367,van
10,43,354,van
8,53,243,van
9,45,330,van
7,51,261,van
8,52,241,van
11,42,381,van
49,44,346,van
11,43,370,van
8,48,290,van
8,47,291,van
11,43,365,van
10,44,354,van
7,51,261,van
9,50,266,van
3,57,204,van
9,46,314,van
7,53,237,van
9,45,330,van
11,43,368,van
7,50,275,van
11,43,374,van
10,43,371,van
11,43,371,van
9,44,345,van
6,54,227,van
11,43,366,van
2,57,208,van
11,42,372,van
8,48,281,van
11,44,350,van
9,45,319,van
7,54,223,van
10,46,312,van
8,51,249,van
9,50,262,van
10,44,357,van
11,43,371,van
43,44,347,van
55,48,289,van
9,45,334,van
8,47,300,van
11,43,362,van
25,47,296,van
6,52,246,van
11,44,349,van
7,55,212,van
9,48,285,van
5,57,207,van
9,46,311,van
48,43,364,van
7,54,225,van
8,47,294,van
9,46,316,van
6,58,195,van
6,51,253,van
7,52,246,van
10,44,348,van
7,54,225,van
5,55,219,van
5,58,194,van
8,52,251,van
9,53,238,van
11,43,366,van
10,42,389,van
9,48,280,van
10,44,339,van
12,43,354,van
11,44,354,van
6,49,282,van
10,44,351,van
8,51,256,van
7,53,240,van
10,43,363,van
12,43,358,van
7,52,247,van
9,44,356,van
8,44,331,van
10,43,367,van
6,49,275,van
6,57,200,van
8,46,309,van
10,43,364,van
7,50,259,van
8,48,281,van
10,43,359,van
7,52,250,van
7,49,278,van
10,44,351,van
10,42,379,van
9,45,325,van
10,46,317,van
8,49,279,van
10,44,345,van
5,56,209,van
11,44,354,van
6,53,238,saab
3,61,184,saab
6,50,263,saab
7,42,373,saab
10,33,612,saab
4,59,196,saab
10,32,659,saab
11,31,661,saab
10,31,698,saab
8,37,486,saab
6,50,265,saab
7,46,314,saab
5,44,344,saab
7,44,335,saab
9,35,543,saab
10,32,664,saab
12,31,684,saab
9,36,512,saab
10,34,578,saab
6,48,295,saab
9,38,465,saab
6,56,216,saab
10,34,576,saab
12,31,687,saab
8,40,402,saab
10,34,559,saab
9,41,390,saab
8,38,458,saab
9,38,459,saab
10,32,635,saab
12,31,691,saab
10,32,642,saab
7,47,297,saab
10,34,572,saab
12,31,674,saab
9,33,583,saab
8,44,334,saab
11,31,712,saab
8,43,357,saab
8,43,349,saab
12,34,573,saab
6,49,274,saab
11,30,720,saab
7,41,381,saab
12,31,694,saab
11,31,703,saab
8,42,373,saab
5,46,319,saab
10,32,635,saab
10,36,520,saab
7,47,298,saab
11,32,667,saab
5,48,295,saab
10,36,489,saab
11,33,607,saab
4,50,271,saab
4,49,279,saab
11,31,705,saab
6,41,382,saab
6,58,197,saab
6,44,337,saab
12,30,713,saab
4,52,245,saab
11,32,648,saab
12,31,712,saab
8,46,308,saab
6,47,299,saab
9,40,415,saab
10,33,604,saab
8,43,353,saab
11,31,707,saab
11,34,586,saab
10,33,587,saab
7,52,246,saab
11,31,663,saab
6,46,318,saab
7,39,426,saab
11,31,675,saab
11,38,458,saab
9,35,525,saab
7,45,331,saab
11,30,710,saab
5,50,260,saab
10,35,533,saab
8,47,293,saab
10,32,635,saab
8,47,298,saab
7,43,355,saab
9,39,433,saab
10,38,440,saab
10,33,600,saab
7,38,455,saab
11,31,673,saab
11,31,709,saab
11,32,623,saab
10,31,680,saab
10,30,718,saab
5,50,262,saab
9,42,370,saab
8,38,460,saab
10,32,660,saab
9,37,480,saab
10,32,621,saab
9,32,645,saab
8,37,471,saab
6,54,224,saab
7,41,389,saab
7,37,467,saab
12,31,668,saab
11,32,650,saab
