@relation vehicle

@attribute Compactness numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
89,10,156,352,van
90,9,152,345,van
94,7,127,242,van
91,25,140,296,van
85,5,120,212,van
97,9,156,359,van
83,6,122,218,van
97,7,130,247,van
85,6,130,253,van
89,9,144,314,van
98,7,130,251,van
85,9,147,324,van
90,9,150,333,van
93,10,157,364,van
86,10,161,371,van
90,11,160,366,van
86,9,142,305,van
91,9,126,237,van
98,8,142,300,van
90,10,163,389,van
83,5,122,219,van
87,6,115,196,van
100,9,157,363,van
90,11,160,370,van
91,9,134,268,van
89,11,159,368,van
86,9,138,285,van
96,10,154,351,van
87,9,147,325,van
89,10,156,351,van
93,11,156,354,van
92,7,139,275,van
94,9,145,313,van
88,3,118,204,van
91,8,129,249,van
86,5,119,209,van
95,10,145,312,van
91,7,137,280,van
84,9,136,280,van
95,10,162,379,van
93,10,155,351,van
97,10,157,365,van
95,9,145,314,van
94,7,128,246,van
89,7,126,237,van
93,8,139,290,van
88,5,119,207,van
93,8,137,281,van
93,8,132,260,van
91,6,119,211,van
94,8,133,265,van
89,6,118,209,van
93,6,136,275,van
88,8,146,318,van
90,7,135,272,van
86,4,118,208,van
86,8,138,284,van
88,6,127,243,van
83,8,142,305,van
90,11,159,365,van
95,11,160,372,van
83,6,132,247,van
94,10,159,367,van
89,6,136,273,van
85,11,159,362,van
88,7,128,246,van
96,8,140,294,van
89,11,157,354,van
95,10,151,339,van
86,9,133,266,van
89,10,152,345,van
90,11,161,376,van
93,9,150,334,van
85,9,157,358,van
94,10,156,357,van
91,8,148,331,van
94,9,133,262,van
88,12,155,351,van
92,6,139,282,van
93,9,151,339,van
85,5,119,207,van
89,11,156,352,van
86,5,117,204,van
90,11,161,373,van
87,10,146,317,van
84,11,156,349,van
98,8,131,251,van
95,11,159,365,van
96,10,155,355,van
82,55,139,289,van
86,8,142,301,van
98,7,134,261,van
89,11,158,362,van
95,11,159,371,van
89,11,160,367,van
89,9,157,356,van
86,6,116,203,van
87,8,140,294,van
92,5,114,194,van
89,8,139,291,van
90,7,131,259,van
90,11,160,369,van
89,7,131,254,van
90,11,159,366,van
89,9,144,311,van
94,11,158,366,van
89,11,160,369,van
93,7,127,240,van
92,6,122,222,van
89,5,120,213,van
86,2,119,208,van
91,9,149,330,van
85,3,117,203,van
90,11,161,375,van
90,7,135,261,van
90,11,161,374,van
90,10,155,355,van
91,9,149,326,van
94,10,156,351,van
93,7,131,249,van
90,10,157,354,van
93,11,156,355,van
86,7,122,225,van
91,8,130,253,van
89,11,155,356,van
90,9,137,281,van
95,8,133,253,van
94,10,157,363,van
93,7,140,284,van
92,8,127,241,van
87,10,133,264,van
93,9,144,309,van
93,11,159,371,van
90,6,128,246,van
88,8,130,253,van
98,10,158,367,van
100,11,163,387,van
94,10,155,359,van
89,8,133,265,van
90,46,150,332,van
96,10,155,354,van
94,10,157,357,van
93,10,153,348,van
89,43,155,347,van
94,12,157,358,van
96,8,137,269,van
96,9,151,339,van
87,4,118,205,van
91,8,132,256,van
93,12,155,354,van
89,48,158,364,van
86,7,119,212,van
84,5,123,221,van
90,8,136,279,van
92,7,139,277,van
89,6,118,206,van
89,10,153,349,van
85,8,143,307,van
98,8,130,243,van
89,11,151,338,van
93,9,134,268,van
91,10,143,308,van
88,11,154,350,van
85,6,116,200,van
96,9,146,316,van
89,6,123,223,van
88,11,157,363,van
94,49,155,354,van
95,11,162,381,van
96,6,133,255,van
85,5,128,241,van
94,10,158,367,van
95,9,153,347,van
93,8,144,309,van
89,9,149,330,van
96,8,134,258,van
93,9,127,238,van
89,7,136,278,van
84,7,137,278,van
91,7,169,426,saab
110,10,211,659,saab
88,6,135,265,saab
101,11,214,667,saab
