@relation vehicle

@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
9,19,143,170,van
9,18,130,153,van
7,18,136,164,bus
11,23,165,221,saab
7,19,133,181,saab
9,22,144,202,saab
5,18,130,145,opel
7,22,145,203,bus
7,19,136,174,bus
9,19,145,172,van
10,24,156,232,opel
6,19,139,166,saab
9,19,144,168,van
7,18,143,154,van
8,19,145,170,bus
9,19,141,168,van
5,17,122,132,opel
11,20,157,176,van
11,20,160,173,van
6,17,127,137,saab
7,19,128,174,saab
7,19,135,169,bus
8,19,144,174,saab
7,19,128,168,opel
11,24,160,222,opel
4,27,166,266,bus
6,17,124,141,opel
10,23,149,217,saab
11,25,172,227,opel
11,24,175,217,opel
9,19,152,171,van
6,22,158,206,bus
6,18,136,155,saab
11,24,169,221,saab
3,17,122,136,van
7,20,146,182,opel
11,25,176,231,opel
11,20,157,166,van
11,24,159,232,saab
8,22,147,202,opel
9,21,135,194,saab
7,19,142,173,bus
10,22,150,202,saab
10,25,178,228,opel
6,19,147,171,bus
10,21,141,208,opel
6,20,150,188,bus
7,19,145,177,bus
11,24,168,226,saab
6,23,161,231,bus
6,18,144,164,van
6,18,141,149,van
11,25,179,234,opel
6,19,147,174,bus
7,19,134,174,opel
10,24,162,219,opel
10,25,170,231,opel
7,28,172,269,bus
7,17,139,145,van
12,20,158,176,van
4,18,133,162,saab
8,18,130,166,van
7,21,138,200,opel
10,25,174,232,saab
12,25,168,229,saab
7,19,141,174,opel
7,19,131,171,saab
7,19,143,179,bus
11,25,182,234,opel
6,22,159,214,bus
7,19,144,170,bus
6,28,171,285,bus
7,19,142,172,bus
9,21,141,199,opel
10,20,156,170,van
10,23,162,220,saab
7,19,140,168,saab
9,22,143,218,saab
6,19,145,166,bus
7,20,131,189,saab
9,18,143,161,van
6,18,140,142,van
7,19,146,172,bus
7,19,129,167,bus
