@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4,  72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250,  18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1,  4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1,  4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19,  75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1,  4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1,  2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@data
A14, 12, A34, A46, 2096, A61, A74, 2, A93, A101, 3, A121, 49, A143, A152, 1, A172, 2, A191, A201, 1
A11, 42, A32, A42, 7882, A61, A74, 2, A93, A103, 4, A122, 45, A143, A153, 1, A173, 2, A191, A201, 1
A14, 24, A34, A43, 2424, A65, A75, 4, A93, A101, 4, A122, 53, A143, A152, 2, A173, 1, A191, A201, 1
A14, 9, A34, A40, 2134, A61, A73, 4, A93, A101, 4, A123, 48, A143, A152, 3, A173, 1, A192, A201, 1
A12, 18, A32, A49, 1913, A64, A72, 3, A94, A101, 3, A121, 36, A141, A152, 1, A173, 1, A192, A201, 1
A12, 12, A32, A43, 1158, A63, A73, 3, A91, A101, 1, A123, 26, A143, A152, 1, A173, 1, A192, A201, 1
A12, 18, A33, A45, 6204, A61, A73, 2, A93, A101, 4, A121, 44, A143, A152, 1, A172, 2, A192, A201, 1
A14, 11, A34, A40, 1393, A61, A72, 4, A92, A101, 4, A123, 35, A143, A152, 2, A174, 1, A191, A201, 1
A11, 6, A32, A41, 1352, A63, A71, 1, A92, A101, 2, A122, 23, A143, A151, 1, A171, 1, A192, A201, 1
A14, 11, A34, A40, 7228, A61, A73, 1, A93, A101, 4, A122, 39, A143, A152, 2, A172, 1, A191, A201, 1
A14, 18, A32, A41, 3378, A65, A73, 2, A93, A101, 1, A122, 31, A143, A152, 1, A173, 1, A192, A201, 1
A12, 36, A33, A40, 2225, A61, A75, 4, A93, A101, 4, A124, 57, A141, A153, 2, A173, 1, A192, A201, 2
A11, 36, A34, A42, 6229, A61, A72, 4, A92, A102, 4, A124, 23, A143, A151, 2, A172, 1, A192, A201, 2
A11, 10, A32, A43, 2315, A61, A75, 3, A93, A101, 4, A121, 52, A143, A152, 1, A172, 1, A191, A201, 1
A12, 36, A32, A43, 2323, A61, A74, 4, A93, A101, 4, A123, 24, A143, A151, 1, A173, 1, A191, A201, 1
A12, 14, A32, A49, 1410, A63, A75, 1, A94, A101, 2, A121, 35, A143, A152, 1, A173, 1, A192, A201, 1
A12, 6, A33, A49, 1449, A62, A75, 1, A91, A101, 2, A123, 31, A141, A152, 2, A173, 2, A191, A201, 1
A14, 48, A34, A43, 3578, A65, A75, 4, A93, A101, 1, A121, 47, A143, A152, 1, A173, 1, A192, A201, 1
A12, 12, A34, A40, 2366, A63, A74, 3, A91, A101, 3, A123, 36, A143, A152, 1, A174, 1, A192, A201, 1
A14, 24, A34, A41, 3868, A61, A75, 4, A92, A101, 2, A123, 41, A143, A151, 2, A174, 1, A192, A201, 1
A14, 12, A32, A42, 1768, A61, A73, 3, A93, A101, 2, A121, 24, A143, A151, 1, A172, 1, A191, A201, 1
A13, 10, A34, A40, 781, A61, A75, 4, A93, A101, 4, A124, 63, A143, A153, 2, A173, 1, A192, A201, 1
