@relation german
@attribute StatusAccount {A11, A12, A14, A13}
@attribute DurationMonth integer [4,  72]
@attribute CreditHistory {A34, A32, A33, A30, A31}
@attribute Purpose {A43, A46, A42, A40, A41, A49, A44, A45, A410, A48}
@attribute CreditAmount integer [250,  18424]
@attribute SavingsAccount {A65, A61, A63, A64, A62}
@attribute EmploymentSince {A75, A73, A74, A71, A72}
@attribute InstallmentRate integer [1,  4]
@attribute StatusAndSex {A93, A92, A91, A94}
@attribute Guarantors {A101, A103, A102}
@attribute ResidenceSince integer [1,  4]
@attribute Property {A121, A122, A124, A123}
@attribute Age integer [19,  75]
@attribute InstallmentPlans {A143, A141, A142}
@attribute Housing {A152, A153, A151}
@attribute NCredits integer [1,  4]
@attribute Job {A173, A172, A174, A171}
@attribute NPeopleMain integer [1,  2]
@attribute Telephone {A192, A191}
@attribute ForeignWorker {A201, A202}
@attribute Customer {1,2}
@data
A11, 24, A33, A40, 4870, A61, A73, 3, A93, A101, 4, A124, 53, A143, A153, 2, A173, 2, A191, A201, 2
A14, 36, A32, A46, 9055, A65, A73, 2, A93, A101, 4, A124, 35, A143, A153, 1, A172, 2, A192, A201, 1
A12, 30, A34, A40, 5234, A61, A71, 4, A94, A101, 2, A123, 28, A143, A152, 2, A174, 1, A191, A201, 2
A12, 12, A32, A43, 1567, A61, A73, 1, A92, A101, 1, A123, 22, A143, A152, 1, A173, 1, A192, A201, 1
A11, 15, A32, A40, 1403, A61, A73, 2, A92, A101, 4, A123, 28, A143, A151, 1, A173, 1, A191, A201, 1
A13, 12, A32, A42, 1474, A61, A72, 4, A92, A101, 1, A122, 33, A141, A152, 1, A174, 1, A192, A201, 1
A14, 48, A34, A46, 6110, A61, A73, 1, A93, A101, 3, A124, 31, A141, A153, 1, A173, 1, A192, A201, 1
A13, 18, A32, A43, 2100, A61, A73, 4, A93, A102, 2, A121, 37, A142, A152, 1, A173, 1, A191, A201, 2
A12, 12, A32, A43, 6468, A65, A71, 2, A93, A101, 1, A124, 52, A143, A152, 1, A174, 1, A192, A201, 2
A14, 36, A32, A43, 2394, A65, A73, 4, A92, A101, 4, A123, 25, A143, A152, 1, A173, 1, A191, A201, 1
A12, 20, A33, A41, 7057, A65, A74, 3, A93, A101, 4, A122, 36, A141, A151, 2, A174, 2, A192, A201, 1
A14, 60, A32, A43, 10144, A62, A74, 2, A92, A101, 4, A121, 21, A143, A152, 1, A173, 1, A192, A201, 1
A11, 6, A34, A40, 860, A61, A75, 1, A92, A101, 4, A124, 39, A143, A152, 2, A173, 1, A192, A201, 1
A14, 15, A32, A44, 1262, A63, A74, 4, A93, A101, 3, A122, 36, A143, A152, 2, A173, 1, A192, A201, 1
A14, 36, A32, A40, 909, A63, A75, 4, A93, A101, 4, A122, 36, A143, A152, 1, A173, 1, A191, A201, 1
A12, 8, A32, A43, 1414, A61, A73, 4, A93, A103, 2, A121, 33, A143, A152, 1, A173, 1, A191, A202, 1
A11, 12, A32, A42, 2577, A61, A73, 2, A91, A101, 1, A123, 42, A143, A152, 1, A173, 1, A191, A201, 1
A12, 36, A33, A49, 4455, A61, A73, 2, A91, A101, 2, A121, 30, A142, A152, 2, A174, 1, A192, A201, 2
