@relation crx
@attribute A1 {b, a}
@attribute A2 real [16.0,  8025.0]
@attribute A3 real [0.0,  26335.0]
@attribute A4 {u, y, l}
@attribute A5 {g, p, gg}
@attribute A6 {w, q, m, r, cc, k, c, d, x, i, e, aa, ff, j}
@attribute A7 {v, h, bb, ff, j, z, o, dd, n}
@attribute A8 real [0.0,  14415.0]
@attribute A9 {t, f}
@attribute A10 {t, f}
@attribute A11 integer [0,  67]
@attribute A12 {f, t}
@attribute A13 {g, s, p}
@attribute A14 integer [0,  2000]
@attribute A15 integer [0,  100000]
@attribute Class {positive, negative}
@data
a,3825.0,6.0,u,g,k,v,1.0,t,f,0,t,g,0,0,positive
b,3667.0,4415.0,y,p,k,v,25.0,t,t,10,t,g,320,0,positive
b,2925.0,1479.0,u,g,aa,v,504.0,t,t,5,t,g,168,0,positive
b,2892.0,15.0,u,g,c,h,5335.0,t,t,11,f,g,0,2283,positive
b,415.0,154.0,u,g,i,bb,35.0,f,f,0,f,g,216,0,positive
b,26.0,1.0,u,g,q,v,175.0,t,f,0,t,g,280,0,positive
b,2333.0,11625.0,y,p,w,v,835.0,t,f,0,t,g,160,300,positive
b,3517.0,45.0,u,g,x,h,575.0,f,f,0,t,s,711,0,positive
a,2342.0,79.0,y,p,q,v,15.0,t,t,2,t,g,80,400,positive
b,4958.0,19.0,u,g,ff,ff,0.0,t,t,1,f,g,94,0,negative
b,625.0,1275.0,y,p,c,h,5.0,t,f,0,f,g,112,0,negative
b,23.0,625.0,y,p,aa,v,125.0,t,f,0,f,g,180,1,negative
b,3492.0,5.0,u,g,x,h,75.0,t,t,6,t,g,0,1000,positive
b,6775.0,55.0,u,g,e,z,13.0,t,t,1,t,g,0,0,positive
b,2233.0,11.0,u,g,w,v,2.0,t,t,1,f,g,80,278,positive
b,2725.0,1665.0,u,g,cc,h,5085.0,t,t,9,f,g,399,827,positive
b,3283.0,25.0,u,g,cc,h,275.0,t,t,6,f,g,160,2072,positive
a,4667.0,46.0,u,g,cc,h,415.0,t,t,11,t,g,440,6,positive
b,3275.0,15.0,u,g,cc,h,55.0,t,t,3,t,g,0,0,positive
b,2508.0,171.0,u,g,x,v,1665.0,t,t,1,t,g,395,20,positive
a,2508.0,254.0,y,p,aa,v,25.0,t,f,0,t,g,370,0,positive
b,2133.0,105.0,u,g,c,v,3.0,t,f,0,t,g,0,0,positive
b,42.0,205.0,u,g,i,h,5125.0,t,f,0,f,g,400,0,positive
a,2075.0,1025.0,u,g,q,v,71.0,t,t,2,t,g,49,0,positive
b,2433.0,6625.0,y,p,d,v,55.0,t,f,0,t,s,100,0,positive
b,6008.0,145.0,u,g,ff,ff,18.0,t,t,15,t,g,0,1000,positive
b,2308.0,115.0,u,g,i,v,35.0,t,t,9,f,g,56,742,positive
b,2325.0,4.0,u,g,c,bb,25.0,t,f,0,t,g,160,0,positive
b,2833.0,5.0,u,g,w,v,11.0,t,f,0,t,g,70,0,positive
b,1833.0,121.0,y,p,e,dd,0.0,f,f,0,f,g,100,0,negative
