@relation glass

@attribute RI numeric
@attribute Si numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.520991,71.9604,0.08694,1
1.517209,72.8508,0.50301,1
1.518371,72.8508,0.55269,1
1.515706,73.198,0.67068,1
1.51787,72.9516,0.621,1
1.516184,72.9908,0.39123,1
1.517688,73.0804,0.60858,1
1.521765,72.19,0.32913,2
1.515934,73.17,0.60858,2
1.518189,73.8084,0.34776,2
1.51844,72.4028,0.57753,2
1.515729,71.8708,0.16146,2
1.53393,70.1628,0.11799,2
1.521765,72.75,0.54027,2
1.522107,71.3612,0.22977,3
1.516549,72.638,0.52164,3
1.516663,73.8812,0.96876,5
1.512995,74.5476,0,6
1.523155,72.3804,0.60237,7
1.515137,73.7188,0,7
1.518371,71.2492,1.45935,7
