@relation crx

@attribute A9 {t,f}
@attribute A14 numeric
@attribute Class {positive,negative}

@data
t,280,positive
t,0,positive
t,400,positive
t,0,positive
t,0,positive
t,434,positive
f,150,positive
t,180,positive
t,120,positive
t,381,positive
t,250,positive
t,80,positive
t,120,positive
t,0,positive
t,0,positive
t,80,positive
t,80,positive
t,0,positive
t,274,positive
t,0,positive
t,99,positive
t,260,positive
t,0,positive
t,260,positive
t,515,positive
t,0,positive
t,320,positive
t,400,positive
t,80,positive
t,144,positive
t,200,positive
t,440,positive
t,0,positive
t,0,positive
f,200,positive
t,380,positive
t,60,positive
f,711,positive
t,100,positive
t,253,positive
t,100,positive
t,220,positive
t,0,positive
t,80,positive
t,352,positive
t,0,positive
t,110,positive
t,120,positive
t,0,positive
t,380,positive
t,0,positive
t,120,positive
t,239,positive
t,120,positive
t,303,positive
t,583,positive
t,260,positive
t,0,positive
t,240,positive
t,487,positive
t,140,positive
t,0,positive
t,56,positive
t,520,positive
t,480,positive
t,100,positive
t,0,positive
t,340,positive
t,0,positive
t,92,positive
t,20,positive
t,0,positive
t,360,positive
t,154,positive
t,500,positive
t,0,positive
t,160,positive
t,0,positive
t,120,positive
t,0,positive
t,0,positive
t,145,positive
f,128,positive
t,49,positive
t,349,positive
t,455,positive
t,510,positive
t,0,positive
t,232,positive
t,228,positive
t,0,positive
t,30,positive
t,280,positive
t,24,positive
t,32,positive
t,160,positive
t,100,positive
t,129,positive
t,0,positive
t,311,positive
t,0,positive
t,100,positive
t,0,positive
f,450,positive
t,96,positive
t,0,positive
t,400,positive
t,0,positive
t,100,positive
t,80,positive
t,0,positive
t,0,positive
t,0,positive
t,0,positive
t,408,positive
t,0,positive
t,0,positive
t,156,positive
t,100,positive
t,80,positive
t,0,positive
t,280,positive
t,380,positive
t,520,positive
t,21,positive
t,160,positive
t,0,positive
t,360,positive
t,420,positive
t,395,positive
t,0,positive
t,0,positive
t,0,positive
t,168,positive
t,108,positive
t,80,positive
t,80,positive
t,181,positive
t,80,positive
f,0,positive
t,180,positive
t,375,positive
t,100,positive
t,0,positive
t,230,positive
t,0,positive
t,60,positive
t,520,positive
t,0,positive
t,0,positive
t,371,positive
f,300,positive
t,200,positive
t,40,positive
t,160,positive
t,0,positive
t,120,positive
t,195,positive
t,202,positive
t,100,positive
t,360,positive
t,280,positive
t,260,positive
t,396,positive
t,150,positive
t,440,positive
t,0,positive
f,232,positive
f,216,positive
t,0,positive
t,200,positive
t,225,positive
t,220,positive
t,80,positive
t,393,positive
f,164,positive
t,0,positive
t,60,positive
t,396,positive
t,300,positive
t,320,positive
t,260,positive
t,0,positive
t,0,positive
t,0,positive
t,93,positive
t,0,positive
t,300,positive
t,333,positive
t,181,positive
t,70,positive
t,70,positive
t,0,positive
t,312,positive
t,121,positive
t,200,positive
t,160,positive
f,290,positive
t,0,positive
t,0,positive
t,70,positive
t,0,positive
t,204,positive
t,60,positive
t,80,positive
t,290,positive
t,280,positive
t,120,positive
t,102,positive
t,80,positive
t,0,positive
f,560,positive
t,117,positive
t,120,positive
t,0,positive
t,211,positive
t,80,positive
t,340,positive
t,422,positive
t,22,positive
t,200,positive
t,40,positive
t,0,positive
t,60,positive
t,60,positive
t,100,positive
t,0,positive
t,432,positive
t,240,positive
t,0,positive
t,0,positive
t,350,positive
t,330,positive
t,186,positive
t,80,positive
f,0,positive
t,240,positive
t,164,positive
t,370,positive
t,370,positive
t,160,positive
t,260,positive
t,96,positive
t,181,positive
t,0,positive
t,840,positive
t,80,positive
t,50,positive
t,52,positive
t,0,positive
t,399,positive
t,470,positive
f,431,positive
t,100,positive
t,410,positive
t,120,positive
t,100,positive
t,120,positive
t,88,positive
t,120,positive
t,0,positive
t,330,positive
t,100,positive
t,220,positive
t,0,positive
t,29,positive
t,50,positive
f,0,negative
f,240,negative
t,0,negative
f,0,negative
t,160,negative
f,0,negative
t,180,negative
f,80,negative
f,136,negative
f,160,negative
f,200,negative
f,200,negative
f,220,negative
f,100,negative
f,100,negative
f,232,negative
f,320,negative
f,176,negative
f,460,negative
f,228,negative
t,176,negative
f,0,negative
f,0,negative
t,100,negative
f,160,negative
f,220,negative
f,360,negative
t,180,negative
f,17,negative
f,120,negative
f,454,negative
f,0,negative
f,720,negative
f,292,negative
t,0,negative
f,100,negative
f,100,negative
